timestamp,isReIntervention,timezone,interventionType,interventionDuration,resolution,app,timeIntervalUntilReIntervention,purpose
1748598665.323835,False,Europe/Sofia,breathingExercise,6,dismissedAppOpening,instagram,,
1748598687.1950989,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748600353.3854442,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748600627.694669,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748612245.381569,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748612496.391967,False,Europe/Sofia,breathingExercise,6,dismissedAppOpening,instagram,,
1748612689.262464,False,Europe/Sofia,breathingExercise,6,dismissedAppOpening,instagram,,
1748612738.272293,False,Europe/Sofia,breathingExercise,6,dismissedAppOpening,instagram,,
1748614773.09298,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748621745.586076,False,Europe/Sofia,breathingExercise,6,dismissedAppOpening,instagram,,
1748622495.065606,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748622708.061548,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748631141.528372,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748631295.216191,False,Europe/Sofia,breathingExercise,6,dismissedAppOpening,instagram,,
1748631312.4746718,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748633469.702335,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748633482.401918,False,Europe/Sofia,breathingExercise,6,dismissedAppOpening,instagram,,
1748638499.501254,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748655696.449339,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748656894.587782,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748657785.407178,False,Europe/Sofia,breathingExercise,6,dismissedAppOpening,instagram,,
1748671082.624815,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748676284.069973,False,Europe/Sofia,breathingExercise,6,dismissedAppOpening,instagram,,
1748676302.242269,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748690407.4043732,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748690874.402736,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748692180.4101648,False,Europe/Sofia,breathingExercise,6,dismissedAppOpening,instagram,,
1748692226.0894399,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748693278.562433,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748694054.6566238,False,Europe/Sofia,breathingExercise,6,dismissedAppOpening,instagram,,
1748702194.885884,False,Europe/Sofia,breathingExercise,6,dismissedAppOpening,instagram,,
1748708207.4351301,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748710670.663399,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748711482.412215,False,Europe/Sofia,breathingExercise,6,dismissedAppOpening,instagram,,
1748713100.164641,False,Europe/Sofia,breathingExercise,6,dismissedAppOpening,instagram,,
1748713755.0795531,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748714482.064208,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748714552.814548,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748714804.8279781,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748715076.78339,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748715726.686625,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748717250.876745,False,Europe/Sofia,breathingExercise,6,openedApp,instagram,,
1748721445.3908901,False,Europe/Sofia,breathingExercise,6,dismissedAppOpening,instagram,,
