app,timeIntervalUntilReIntervention,isReIntervention,resolution,timestamp,interventionType,interventionDuration,timezone,purpose
tikTok,600.0,False,openedApp,1752409635.319103,askForTimeLimit,6,Europe/Moscow,
tikTok,600.0,False,openedApp,1752410338.6975598,breathingExercise,6,Europe/Moscow,Скука
tikTok,600.0,False,openedApp,1752410582.429885,askForTimeLimit,6,Europe/Moscow,
tikTok,600.0,False,openedApp,1752411177.718811,askForTimeLimit,6,Europe/Moscow,
tikTok,600.0,False,openedApp,1752411397.805812,askForTimeLimit,6,Europe/Moscow,
tikTok,300.0,True,openedApp,1752412023.8776941,breathingExercise,6,Europe/Moscow,Скука
tikTok,240.0,True,openedApp,1752412345.445187,breathingExercise,6,Europe/Moscow,Поискать информацию
tikTok,660.0,False,openedApp,1752427270.886419,askForTimeLimit,6,Europe/Moscow,
tikTok,900.0,True,openedApp,1752427961.926805,breathingExercise,6,Europe/Moscow,Поискать информацию
tikTok,,False,dismissedAppOpening,1752428636.9313679,askForTimeLimit,6,Europe/Moscow,
tikTok,480.0,False,openedApp,1752428674.0788178,askForTimeLimit,6,Europe/Moscow,
tikTok,840.0,True,openedApp,1752429177.354961,breathingExercise,6,Europe/Moscow,Скука
tikTok,420.0,True,openedApp,1752430050.289706,breathingExercise,6,Europe/Moscow,Опубликовать что-нибудь
tikTok,480.0,False,openedApp,1752430348.8417192,askForTimeLimit,6,Europe/Moscow,
tikTok,300.0,False,openedApp,1752437230.604814,askForTimeLimit,6,Europe/Moscow,
tikTok,,False,dismissedAppOpening,1752438563.953532,askForTimeLimit,6,Europe/Moscow,
tikTok,780.0,False,openedApp,1752438568.642067,askForTimeLimit,6,Europe/Moscow,
tikTok,300.0,False,openedApp,1752439040.428844,askForTimeLimit,6,Europe/Moscow,
tikTok,360.0,True,openedApp,1752439363.6583319,breathingExercise,6,Europe/Moscow,Поискать информацию
tikTok,480.0,True,openedApp,1752439747.756118,breathingExercise,6,Europe/Moscow,Скука
tikTok,360.0,True,openedApp,1752440250.1799521,breathingExercise,6,Europe/Moscow,Расслабиться
tikTok,,True,dismissedAppOpening,1752440618.820472,breathingExercise,6,Europe/Moscow,
tikTok,,False,dismissedAppOpening,1752440626.0684252,breathingExercise,6,Europe/Moscow,
tikTok,,False,dismissedAppOpening,1752440630.680022,breathingExercise,6,Europe/Moscow,
tikTok,300.0,False,openedApp,1752440647.811594,breathingExercise,6,Europe/Moscow,Расслабиться
tikTok,,True,dismissedAppOpening,1752441249.123359,breathingExercise,6,Europe/Moscow,
tikTok,240.0,False,openedApp,1752441756.24475,askForTimeLimit,6,Europe/Moscow,
tikTok,300.0,True,openedApp,1752442019.652433,breathingExercise,6,Europe/Moscow,Скука
tikTok,300.0,True,openedApp,1752442341.812526,breathingExercise,6,Europe/Moscow,Скука
tikTok,360.0,True,openedApp,1752442662.6683211,breathingExercise,6,Europe/Moscow,Оставайтесь в курсе событий
tikTok,360.0,True,openedApp,1752443044.8299499,breathingExercise,6,Europe/Moscow,Скука
tikTok,420.0,True,openedApp,1752443427.145224,breathingExercise,6,Europe/Moscow,Скука
tikTok,360.0,True,openedApp,1752443871.049861,breathingExercise,6,Europe/Moscow,Скука
tikTok,300.0,True,openedApp,1752444254.9248219,breathingExercise,6,Europe/Moscow,Скука
tikTok,300.0,True,openedApp,1752444578.071239,breathingExercise,6,Europe/Moscow,Скука
tikTok,420.0,True,openedApp,1752444901.7388859,breathingExercise,6,Europe/Moscow,Скука
tikTok,360.0,True,openedApp,1752445344.683686,breathingExercise,6,Europe/Moscow,Скука
tikTok,,True,dismissedAppOpening,1752445726.773277,breathingExercise,6,Europe/Moscow,
tikTok,300.0,False,openedApp,1752445749.287054,breathingExercise,6,Europe/Moscow,Написать сообщение
tikTok,300.0,True,openedApp,1752446072.230945,breathingExercise,6,Europe/Moscow,Скука
tikTok,360.0,False,openedApp,1752495110.587027,askForTimeLimit,6,Europe/Moscow,
tikTok,,True,dismissedAppOpening,1752495493.083914,breathingExercise,6,Europe/Moscow,
tikTok,660.0,False,openedApp,1752516421.922385,askForTimeLimit,6,Europe/Moscow,
tikTok,900.0,True,openedApp,1752517119.318719,breathingExercise,6,Europe/Moscow,зависнуть
tikTok,540.0,False,openedApp,1752517422.373516,askForTimeLimit,6,Europe/Moscow,
tikTok,900.0,True,openedApp,1752517995.454613,breathingExercise,6,Europe/Moscow,зависнуть
tikTok,420.0,True,openedApp,1752518921.889554,breathingExercise,6,Europe/Moscow,посмотреть фурей
tikTok,660.0,True,openedApp,1752607562.360793,breathingExercise,6,Europe/Moscow,господи
tikTok,360.0,True,openedApp,1752609429.1798549,breathingExercise,6,Europe/Moscow,зависнуть
tikTok,360.0,True,openedApp,1752609826.5660691,breathingExercise,6,Europe/Moscow,завтснуть
tikTok,660.0,True,openedApp,1752610209.6266022,breathingExercise,6,Europe/Moscow,ааааа
tikTok,360.0,True,openedApp,1752610899.540351,breathingExercise,6,Europe/Moscow,избегаю мытье посуды
tikTok,600.0,True,openedApp,1752611286.7789059,breathingExercise,6,Europe/Moscow,посула
tikTok,540.0,True,openedApp,1752611912.436882,breathingExercise,6,Europe/Moscow,ааа
tikTok,480.0,False,openedApp,1752612252.255007,askForTimeLimit,6,Europe/Moscow,
tikTok,240.0,True,openedApp,1752612906.985749,breathingExercise,6,Europe/Moscow,мантра
tikTok,240.0,True,openedApp,1752613169.822939,breathingExercise,6,Europe/Moscow,ррр
tikTok,480.0,False,openedApp,1752656625.642407,askForTimeLimit,6,Europe/Moscow,
tikTok,840.0,False,openedApp,1752670587.7653952,breathingExercise,6,Europe/Moscow,зависнуть
tikTok,240.0,True,openedApp,1752671461.605032,breathingExercise,6,Europe/Moscow,досмотреть выкрутасы
tikTok,540.0,False,openedApp,1752689954.735178,breathingExercise,6,Europe/Moscow,грустна
tikTok,900.0,True,openedApp,1752690522.718391,breathingExercise,6,Europe/Moscow,зависнуть
tikTok,900.0,True,openedApp,1752691447.041194,breathingExercise,6,Europe/Moscow,пизлец
tikTok,780.0,True,openedApp,1752692374.9891582,breathingExercise,6,Europe/Moscow,зависла
tikTok,360.0,False,openedApp,1752693640.290185,askForTimeLimit,6,Europe/Moscow,
tikTok,600.0,True,openedApp,1752694098.0551229,breathingExercise,6,Europe/Moscow,скучно
tikTok,,False,dismissedAppOpening,1752694344.1874309,askForTimeLimit,6,Europe/Moscow,
tikTok,600.0,False,openedApp,1752694349.989573,askForTimeLimit,6,Europe/Moscow,
tikTok,,True,dismissedAppOpening,1752694965.992155,breathingExercise,6,Europe/Moscow,
tikTok,420.0,False,openedApp,1752695019.157685,breathingExercise,6,Europe/Moscow,грусна
tikTok,,True,dismissedAppOpening,1752695453.394843,breathingExercise,6,Europe/Moscow,
tikTok,600.0,False,openedApp,1752695487.03265,breathingExercise,6,Europe/Moscow,understsnding
tikTok,660.0,True,openedApp,1752696122.0215921,breathingExercise,6,Europe/Moscow,i wanna be seen
tikTok,780.0,True,openedApp,1752696872.59151,breathingExercise,6,Europe/Moscow,bla
tikTok,900.0,True,openedApp,1752697687.1632729,breathingExercise,6,Europe/Moscow,зависнуть
tikTok,900.0,True,openedApp,1752698620.839963,breathingExercise,6,Europe/Moscow,потеряться
tikTok,900.0,True,openedApp,1752699544.667635,breathingExercise,6,Europe/Moscow,дадчда
tikTok,600.0,False,openedApp,1752828251.1197171,askForTimeLimit,6,Europe/Moscow,
tikTok,780.0,True,openedApp,1752829349.619374,breathingExercise,6,Europe/Moscow,покушат
tikTok,360.0,True,openedApp,1752830156.4367762,breathingExercise,6,Europe/Moscow,stimuling
tikTok,600.0,True,openedApp,1752830558.024953,breathingExercise,6,Europe/Moscow,зависеуть
tikTok,600.0,True,openedApp,1752831185.171098,breathingExercise,6,Europe/Moscow,зависнут
tikTok,300.0,True,openedApp,1752831815.749305,breathingExercise,6,Europe/Moscow,репосты
tikTok,360.0,False,openedApp,1752866471.679789,askForTimeLimit,6,Europe/Moscow,
tikTok,,True,dismissedAppOpening,1752866869.6880112,breathingExercise,6,Europe/Moscow,
tikTok,540.0,False,openedApp,1752866902.929568,breathingExercise,6,Europe/Moscow,посмеяца и посмотреть марьяны репосты
tikTok,420.0,False,openedApp,1752929412.061307,askForTimeLimit,6,Europe/Moscow,
tikTok,360.0,True,openedApp,1752929859.721169,breathingExercise,6,Europe/Moscow,посидет
tikTok,360.0,True,openedApp,1752930257.052232,breathingExercise,6,Europe/Moscow,прокрастинироваьь
tikTok,,True,dismissedAppOpening,1752930627.096461,breathingExercise,6,Europe/Moscow,
tikTok,,False,dismissedAppOpening,1752957801.3408031,askForTimeLimit,6,Europe/Moscow,
tikTok,900.0,False,openedApp,1752958002.3701901,askForTimeLimit,6,Europe/Moscow,
tikTok,900.0,False,openedApp,1752958656.28658,askForTimeLimit,6,Europe/Moscow,
tikTok,,False,dismissedAppOpening,1753002737.8153682,askForTimeLimit,6,Europe/Moscow,
tikTok,600.0,False,openedApp,1753002840.826355,askForTimeLimit,6,Europe/Moscow,
tikTok,900.0,True,openedApp,1753003490.074589,breathingExercise,6,Europe/Moscow,позавтсать
tikTok,900.0,False,openedApp,1753004533.1398768,askForTimeLimit,6,Europe/Moscow,
tikTok,600.0,True,openedApp,1753005465.245909,breathingExercise,6,Europe/Moscow,отдохнуть
tikTok,660.0,True,openedApp,1753006090.340723,breathingExercise,6,Europe/Moscow,репосты
tikTok,540.0,True,openedApp,1753006780.859216,breathingExercise,6,Europe/Moscow,постдеть
tikTok,,True,dismissedAppOpening,1753007348.564894,breathingExercise,6,Europe/Moscow,
tikTok,600.0,False,openedApp,1753007370.849221,breathingExercise,6,Europe/Moscow,funny
tikTok,,True,dismissedAppOpening,1753007983.329821,breathingExercise,6,Europe/Moscow,
tikTok,600.0,False,openedApp,1753022513.273119,askForTimeLimit,6,Europe/Moscow,
tikTok,600.0,True,openedApp,1753023156.665374,breathingExercise,6,Europe/Moscow,отдохнуть
tikTok,600.0,False,openedApp,1753023370.90971,askForTimeLimit,6,Europe/Moscow,
tikTok,600.0,False,openedApp,1753024007.183093,askForTimeLimit,6,Europe/Moscow,
tikTok,600.0,True,openedApp,1753024633.771851,breathingExercise,6,Europe/Moscow,rest
tikTok,240.0,True,openedApp,1753025261.5746179,breathingExercise,6,Europe/Moscow,wooo
tikTok,300.0,True,openedApp,1753025525.7288918,breathingExercise,6,Europe/Moscow,wio
tikTok,420.0,True,openedApp,1753025853.120089,breathingExercise,6,Europe/Moscow,hhh
tikTok,600.0,True,openedApp,1753026300.793326,breathingExercise,6,Europe/Moscow,woo
tikTok,420.0,True,openedApp,1753026927.212244,breathingExercise,6,Europe/Moscow,huii
tikTok,360.0,True,openedApp,1753027372.363128,breathingExercise,6,Europe/Moscow,gffg
tikTok,,True,dismissedAppOpening,1753028393.3274899,breathingExercise,6,Europe/Moscow,
tikTok,900.0,False,openedApp,1753028441.455132,breathingExercise,6,Europe/Moscow,bikini video
tikTok,900.0,False,openedApp,1753028658.065975,askForTimeLimit,6,Europe/Moscow,
tikTok,900.0,True,openedApp,1753029587.626416,breathingExercise,6,Europe/Moscow,nnn
tikTok,540.0,True,openedApp,1753030513.722964,breathingExercise,6,Europe/Moscow,ddd
tikTok,900.0,True,openedApp,1753031087.139468,breathingExercise,6,Europe/Moscow,cvbm
tikTok,900.0,True,openedApp,1753032026.158886,breathingExercise,6,Europe/Moscow,fff
tikTok,900.0,True,openedApp,1753032948.0688128,breathingExercise,6,Europe/Moscow,ffff
tikTok,,False,dismissedAppOpening,1753033266.1631498,askForTimeLimit,6,Europe/Moscow,
tikTok,900.0,False,openedApp,1753033273.087185,askForTimeLimit,6,Europe/Moscow,
