isReIntervention,interventionType,timezone,resolution,timestamp,interventionDuration,app,purpose
False,breathingExercise,Europe/Madrid,dismissedAppOpening,1751288577.937865,6.0,instagram,
False,breathingExercise,Europe/Madrid,dismissedAppOpening,1751288580.417227,6.0,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751288724.4910378,6.0,instagram,Toilet
False,,Europe/Madrid,closedApp,1751288911.9049969,,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751291572.241342,6.0,instagram,Stay In the Loop
False,,Europe/Madrid,closedApp,1751291625.8590841,,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751316806.767465,6.0,instagram,Stay In the Loop
False,,Europe/Madrid,closedApp,1751317178.839892,,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751349139.4716969,6.0,instagram,Stay In the Loop
False,,Europe/Madrid,closedApp,1751349415.6940532,,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751362295.234828,6.0,instagram,Stay In the Loop
False,,Europe/Madrid,closedApp,1751362681.873887,,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751387207.132216,6.0,instagram,Stay In the Loop
False,,Europe/Madrid,closedApp,1751387540.8350549,,instagram,
False,,Europe/Madrid,closedApp,1751387583.406311,,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751388333.152566,6.0,instagram,Stay In the Loop
False,,Europe/Madrid,closedApp,1751388497.360611,,instagram,
False,breathingExercise,Europe/Madrid,dismissedAppOpening,1751388588.768618,6.0,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751389416.898915,6.0,instagram,Stay In the Loop
False,,Europe/Madrid,closedApp,1751389534.939491,,instagram,
False,,Europe/Madrid,closedApp,1751389753.7612128,,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751389795.465059,6.0,instagram,Stay In the Loop
False,breathingExercise,Europe/Madrid,openedApp,1751390308.938338,6.0,instagram,Stay In the Loop
False,breathingExercise,Europe/Madrid,openedApp,1751397430.271689,6.0,instagram,Stay In the Loop
False,,Europe/Madrid,closedApp,1751397529.92297,,instagram,
False,breathingExercise,Europe/Madrid,dismissedAppOpening,1751398038.715413,6.0,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751402235.230977,6.0,instagram,Stay In the Loop
False,,Europe/Madrid,closedApp,1751402323.783616,,instagram,
False,,Europe/Madrid,closedApp,1751402401.2052732,,instagram,
False,,Europe/Madrid,closedApp,1751402820.483432,,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751432788.4634051,6.0,instagram,Stay In the Loop
False,,Europe/Madrid,closedApp,1751432925.613975,,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751436217.579729,6.0,instagram,Stay In the Loop
False,,Europe/Madrid,closedApp,1751436382.5345569,,instagram,
False,,Europe/Madrid,closedApp,1751436570.2223492,,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751437516.883107,6.0,instagram,Stay In the Loop
False,,Europe/Madrid,closedApp,1751437772.779807,,instagram,
False,,Europe/Madrid,closedApp,1751438003.0069299,,instagram,
False,,Europe/Madrid,closedApp,1751438904.36865,,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751439354.82717,6.0,instagram,Escape / Avoid
False,,Europe/Madrid,closedApp,1751439511.328726,,instagram,
False,breathingExercise,Europe/Madrid,dismissedAppOpening,1751439589.602569,6.0,instagram,
False,breathingExercise,Europe/Madrid,dismissedAppOpening,1751446752.071391,6.0,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751455202.605237,6.0,instagram,Escape / Avoid
False,,Europe/Madrid,closedApp,1751455300.505903,,instagram,
False,,Europe/Madrid,closedApp,1751455487.2902389,,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751456991.725774,6.0,instagram,Escape / Avoid
False,,Europe/Madrid,closedApp,1751457197.063617,,instagram,
False,,Europe/Madrid,closedApp,1751462498.255865,,instagram,
False,,Europe/Madrid,closedApp,1751462548.621644,,instagram,
False,breathingExercise,Europe/Madrid,dismissedAppOpening,1751468899.765907,6.0,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751470192.859276,6.0,instagram,Stay In the Loop
False,,Europe/Madrid,closedApp,1751470381.721836,,instagram,
False,breathingExercise,Europe/Madrid,dismissedAppOpening,1751470496.578117,6.0,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751470539.468305,6.0,instagram,Stay In the Loop
False,,Europe/Madrid,closedApp,1751470593.701313,,instagram,
False,,Europe/Madrid,closedApp,1751470656.156976,,instagram,
False,breathingExercise,Europe/Madrid,dismissedAppOpening,1751470787.1718569,6.0,instagram,
False,breathingExercise,Europe/Madrid,dismissedAppOpening,1751471300.384912,6.0,instagram,
False,breathingExercise,Europe/Madrid,dismissedAppOpening,1751471356.30074,6.0,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751471374.8844728,6.0,instagram,Stay In the Loop
False,,Europe/Madrid,closedApp,1751471805.7173839,,instagram,
False,,Europe/Madrid,closedApp,1751473579.571203,,instagram,
False,breathingExercise,Europe/Madrid,dismissedAppOpening,1751473635.205268,6.0,instagram,
False,breathingExercise,Europe/Madrid,dismissedAppOpening,1751477075.1632729,6.0,instagram,
False,breathingExercise,Europe/Madrid,openedApp,1751477504.413392,6.0,instagram,Stay In the Loop
