resolution,interventionDuration,isReIntervention,interventionType,timestamp,timezone,app
dismissedAppOpening,6,False,breathingExercise,1752559061.073626,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752559194.019032,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752559232.154742,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752559234.449905,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752559237.2352629,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752559240.572575,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752559243.556508,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752559246.2904959,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752559249.210257,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752559251.433882,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752559253.971205,America/Chicago,youtube
openedApp,6,False,breathingExercise,1752559270.0376701,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752559554.464205,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752559557.618647,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752559638.8190498,America/Chicago,youtube
openedApp,6,False,breathingExercise,1752559654.68434,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752559669.573369,America/Chicago,youtube
openedApp,6,False,breathingExercise,1752559685.5231109,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752560079.5401459,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752560126.72784,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752560131.011992,America/Chicago,youtube
openedApp,6,False,breathingExercise,1752560637.755372,America/Chicago,instagram
openedApp,6,False,breathingExercise,1752561096.607626,America/Chicago,instagram
openedApp,6,False,breathingExercise,1752561198.104148,America/Chicago,roblox
dismissedAppOpening,6,False,breathingExercise,1752563253.564259,America/Chicago,instagram
dismissedAppOpening,6,False,breathingExercise,1752563265.168911,America/Chicago,instagram
dismissedAppOpening,6,False,breathingExercise,1752563482.252112,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752563484.2275128,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752563486.0295138,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752564457.5123758,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752565665.146733,America/Chicago,youtube
openedApp,6,False,breathingExercise,1752567162.128796,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752568015.930709,America/Chicago,youtube
openedApp,6,False,breathingExercise,1752570601.3076081,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752571828.226165,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752571829.991889,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752571831.865547,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752571834.660376,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752571836.3080568,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752571839.477315,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752571841.893837,America/Chicago,youtube
dismissedAppOpening,6,False,breathingExercise,1752683286.625008,America/Chicago,roblox
dismissedAppOpening,6,False,breathingExercise,1752683295.9465508,America/Chicago,roblox
dismissedAppOpening,6,False,breathingExercise,1752683298.115572,America/Chicago,roblox
dismissedAppOpening,6,False,breathingExercise,1752683300.29982,America/Chicago,roblox
