timestamp,interventionType,app,interventionDuration,resolution,timezone,isReIntervention,terminationReason
1750056085.63557,,facebook,,closedApp,Europe/Zurich,0.0,
1750057944.971262,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750058058.8765712,,facebook,,closedApp,Europe/Zurich,0.0,
1750068200.502141,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750068211.037422,,facebook,,closedApp,Europe/Zurich,0.0,
1750085599.3287292,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750085634.964247,,facebook,,closedApp,Europe/Zurich,0.0,
1750085694.384626,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750085780.58609,,facebook,,closedApp,Europe/Zurich,0.0,
1750085785.6763349,,facebook,,closedApp,Europe/Zurich,0.0,
1750101625.272902,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750103326.2369099,,facebook,,closedApp,Europe/Zurich,0.0,
1750103735.854456,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750104055.637484,,facebook,,closedApp,Europe/Zurich,0.0,
1750107666.529202,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750107962.572098,,facebook,,closedApp,Europe/Zurich,0.0,
1750137790.728826,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750138127.954215,,facebook,,closedApp,Europe/Zurich,0.0,
1750140057.796041,breathingExercise,facebook,6.0,dismissedAppOpening,Europe/Zurich,0.0,
1750142791.026968,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750142983.452856,,facebook,,closedApp,Europe/Zurich,0.0,
1750157107.6809459,breathingExercise,facebook,6.0,dismissedAppOpening,Europe/Zurich,0.0,
1750157125.631773,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750157304.3671222,,facebook,,closedApp,Europe/Zurich,0.0,
1750168894.2803612,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750169218.028081,,facebook,,closedApp,Europe/Zurich,0.0,
1750172717.742206,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750172801.465781,,facebook,,closedApp,Europe/Zurich,0.0,
1750172844.84546,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750172958.177939,,facebook,,closedApp,Europe/Zurich,0.0,
1750173060.6443849,breathingExercise,facebook,6.0,dismissedAppOpening,Europe/Zurich,0.0,
1750178054.087511,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750178257.8979511,,facebook,,closedApp,Europe/Zurich,0.0,
1750195847.194588,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750196117.602607,,facebook,,closedApp,Europe/Zurich,0.0,
1750223148.662365,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750223183.1955771,,facebook,,closedApp,Europe/Zurich,0.0,
1750223273.158098,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750223314.8900418,,facebook,,closedApp,Europe/Zurich,0.0,
1750243389.3272672,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750272003.22333,breathingExercise,facebook,6.0,openedApp,Europe/Zurich,0.0,
1750272186.1537461,,facebook,,closedApp,Europe/Zurich,0.0,
1750424162.6151829,breathingExercise,facebook,6.0,dismissedAppOpening,Europe/Zurich,0.0,
1751401462.267992,,tikTok,,closedApp,Europe/Zurich,0.0,
