resolution,purpose,timestamp,interventionType,isReIntervention,timezone,app,interventionDuration
openedApp,Message,1750050442.808608,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Snap back Stella 💔,1750050995.110547,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Snap back Stella 💔,1750051412.648994,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750051828.558951,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Snap back Stella 💔,1750052319.239223,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Snap back Stella 💔,1750052671.876545,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Stay In the Loop,1750052776.80636,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Message,1750052878.531158,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Snap back Stella 💔,1750053166.532826,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Snap back Stella 💔,1750053341.815915,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Snap back Stella 💔,1750053703.867889,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Snap back Stella 💔,1750054494.906952,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Snap back Stella 💔,1750054940.342136,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Snap back Stella 💔,1750055336.686631,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750055564.817142,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Snap back Stella 💔,1750055586.1982641,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Snap back Stella 💔,1750055937.472598,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Snap back Stella 💔,1750056723.9173942,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750057169.267095,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Message,1750059238.7134252,breathingExercise,False,America/Los_Angeles,snapchat,6.0
dismissedAppOpening,,1750086452.741489,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Stay In the Loop,1750088931.9099998,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Search Info,1750090582.653168,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Snap back Stella 💔,1750095219.821842,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Snap back Stella 💔,1750098530.870765,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Snap back Stella 💔,1750100453.919784,breathingExercise,False,America/Los_Angeles,snapchat,6.0
openedApp,Stay In the Loop,1750102079.3497381,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Post something,1750102580.738793,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Post something,1750103071.319854,breathingExercise,False,America/Los_Angeles,instagram,6.0
dismissedAppOpening,,1750103214.239434,breathingExercise,False,America/Los_Angeles,instagram,6.0
openedApp,Post something,1750103229.5417871,breathingExercise,False,America/Los_Angeles,instagram,6.0
