interventionType,isReIntervention,resolution,timestamp,interventionDuration,timezone,app,purpose
breathingExercise,False,dismissedAppOpening,1753643177.595381,6,America/Los_Angeles,facebook,
breathingExercise,False,openedApp,1753646012.747232,6,America/Los_Angeles,facebook,Message
breathingExercise,False,openedApp,1753666270.1710138,6,America/Chicago,facebook,Message
breathingExercise,False,dismissedAppOpening,1753668166.660517,6,America/Chicago,facebook,
breathingExercise,False,openedApp,1753668996.647227,6,America/Chicago,facebook,Message
breathingExercise,False,openedApp,1753669141.17747,6,America/Chicago,snapchat,Message
breathingExercise,False,openedApp,1753669876.661926,6,America/Chicago,facebook,Message
breathingExercise,False,openedApp,1753670429.3025079,6,America/Chicago,facebook,Message
breathingExercise,False,dismissedAppOpening,1753670532.002068,6,America/Chicago,facebook,
breathingExercise,False,dismissedAppOpening,1753671729.066947,6,America/Chicago,facebook,
breathingExercise,False,dismissedAppOpening,1753671742.721383,6,America/Chicago,facebook,
breathingExercise,False,openedApp,1753674200.884328,6,America/Chicago,facebook,Message
breathingExercise,False,openedApp,1753674293.51739,6,America/Chicago,facebook,Message
breathingExercise,False,dismissedAppOpening,1753680383.9582891,6,America/New_York,snapchat,
breathingExercise,False,openedApp,1753705809.9689531,6,America/New_York,facebook,Message
breathingExercise,False,dismissedAppOpening,1753705901.951819,6,America/New_York,facebook,
breathingExercise,False,dismissedAppOpening,1753706101.291681,6,America/New_York,facebook,
breathingExercise,False,dismissedAppOpening,1753708762.190356,6,America/New_York,facebook,
breathingExercise,False,openedApp,1753717514.228407,6,America/New_York,tikTok,Message
breathingExercise,False,openedApp,1753717549.397778,6,America/New_York,tikTok,Message
breathingExercise,False,openedApp,1753718458.773052,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753722300.786368,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753725031.896381,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753725338.394376,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1753728213.670146,6,America/New_York,facebook,Message
breathingExercise,False,dismissedAppOpening,1753728529.1090631,6,America/New_York,facebook,
breathingExercise,False,openedApp,1753746353.135227,6,America/New_York,tikTok,Message
breathingExercise,False,openedApp,1753746411.432837,6,America/New_York,tikTok,Message
breathingExercise,False,dismissedAppOpening,1753746676.540491,6,America/New_York,tikTok,
breathingExercise,False,openedApp,1753746716.539658,6,America/New_York,tikTok,Message
breathingExercise,False,openedApp,1753793107.606534,6,America/New_York,snapchat,Message
breathingExercise,False,openedApp,1753829753.0123692,6,America/New_York,snapchat,Message
breathingExercise,False,dismissedAppOpening,1753829829.223686,6,America/New_York,snapchat,
breathingExercise,False,openedApp,1754104919.268095,6,America/New_York,facebook,Message
breathingExercise,False,dismissedAppOpening,1754105273.969808,6,America/New_York,facebook,
breathingExercise,False,openedApp,1754106105.1153169,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1754164035.321169,6,America/New_York,facebook,Message
breathingExercise,False,dismissedAppOpening,1754164130.029728,6,America/New_York,facebook,
breathingExercise,False,dismissedAppOpening,1754217140.336514,6,America/New_York,facebook,
breathingExercise,False,openedApp,1754217155.0294042,6,America/New_York,snapchat,Message
breathingExercise,False,openedApp,1754243543.8742251,6,America/New_York,tikTok,Message
breathingExercise,False,dismissedAppOpening,1754244578.700597,6,America/New_York,facebook,
breathingExercise,False,openedApp,1754254962.8725262,6,America/New_York,snapchat,Message
breathingExercise,False,openedApp,1754330536.25737,6,America/New_York,tikTok,Message
breathingExercise,False,openedApp,1754330774.019431,6,America/New_York,tikTok,Message
breathingExercise,False,openedApp,1754336613.201939,6,America/New_York,snapchat,Message
breathingExercise,False,openedApp,1754340023.3062038,6,America/New_York,tikTok,Message
breathingExercise,False,openedApp,1754340303.3278599,6,America/New_York,tikTok,Message
breathingExercise,False,openedApp,1754341131.903836,6,America/New_York,tikTok,Message
breathingExercise,False,dismissedAppOpening,1754348659.368178,6,America/New_York,tikTok,
breathingExercise,False,openedApp,1754348690.581841,6,America/New_York,tikTok,Message
breathingExercise,False,openedApp,1754355065.766327,6,America/New_York,tikTok,Message
breathingExercise,False,openedApp,1754355732.426451,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1754355883.997422,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1754357652.112605,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1754358325.1934838,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1754359047.9076052,6,America/New_York,facebook,Message
breathingExercise,False,dismissedAppOpening,1754359293.671084,6,America/New_York,facebook,
breathingExercise,False,dismissedAppOpening,1754359393.162037,6,America/New_York,facebook,
breathingExercise,False,dismissedAppOpening,1754360426.0432749,6,America/New_York,facebook,
breathingExercise,False,dismissedAppOpening,1754360679.6184912,6,America/New_York,facebook,
breathingExercise,False,openedApp,1754361436.437086,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1754363261.8995628,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1754363330.829554,6,America/New_York,facebook,Message
breathingExercise,False,dismissedAppOpening,1754363449.507312,6,America/New_York,facebook,
breathingExercise,False,dismissedAppOpening,1754363460.842943,6,America/New_York,facebook,
breathingExercise,False,dismissedAppOpening,1754363844.213838,6,America/New_York,facebook,
breathingExercise,False,openedApp,1754363862.97713,6,America/New_York,facebook,Message
breathingExercise,False,openedApp,1754363956.021635,6,America/New_York,facebook,Toilet
