timezone,resolution,timestamp,isReIntervention,app,interventionType,interventionDuration
Africa/Johannesburg,openedApp,1749220050.3364491,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749284405.0697742,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749294982.16131,False,pinterest,breathingExercise,6
Africa/Johannesburg,dismissedAppOpening,1749295144.7455258,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749295186.884089,False,pinterest,breathingExercise,6
Africa/Johannesburg,dismissedAppOpening,1749295271.081286,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749306473.4139,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749374298.313672,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749408503.966239,False,pinterest,breathingExercise,6
Africa/Johannesburg,dismissedAppOpening,1749461175.476358,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749461194.9344702,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749556126.486658,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749565208.2637172,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749565725.7198749,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749575509.271381,False,pinterest,breathingExercise,6
Africa/Johannesburg,dismissedAppOpening,1749576303.195863,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749616757.732028,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749651145.180715,False,pinterest,breathingExercise,6
Africa/Johannesburg,dismissedAppOpening,1749651389.673459,False,pinterest,breathingExercise,6
Africa/Johannesburg,dismissedAppOpening,1749651521.692697,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749651578.054367,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749655169.124944,False,pinterest,breathingExercise,6
Africa/Johannesburg,dismissedAppOpening,1749701358.041428,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749734317.7466168,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749878198.8927069,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749917888.6949492,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749918431.2738528,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749976940.659652,False,pinterest,breathingExercise,6
Africa/Johannesburg,dismissedAppOpening,1749985265.65992,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1749985306.37993,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750005884.5275102,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750061618.005299,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750067820.741694,False,pinterest,breathingExercise,6
Africa/Johannesburg,dismissedAppOpening,1750068412.357843,False,pinterest,breathingExercise,6
Africa/Johannesburg,dismissedAppOpening,1750097888.853605,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750097905.572431,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750183837.183302,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750184152.839674,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750219747.9790258,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750257265.150772,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750271644.761304,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750335101.986757,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750436208.115598,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750444957.831491,False,pinterest,breathingExercise,6
Africa/Johannesburg,openedApp,1750500709.57837,False,pinterest,breathingExercise,6
