interventionDuration,timezone,app,resolution,isReIntervention,timestamp,interventionType,timeIntervalUntilReIntervention
6,America/Santiago,instagram,dismissedAppOpening,False,1751812572.2196689,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1751821117.4564738,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1751840029.3466458,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1751842545.57378,breathingExercise,
6,America/Santiago,instagram,dismissedAppOpening,False,1751849642.4548059,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1751890600.261342,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1751906452.480263,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1751921035.051941,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1751937814.635859,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1751971782.2127972,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752000206.332776,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752016301.992103,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752024661.2830691,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752062712.9247432,breathingExercise,
6,America/Santiago,instagram,dismissedAppOpening,False,1752065569.604737,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752078726.602705,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752111046.43062,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752113451.5358129,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752121998.38699,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752152721.047484,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752181798.9982429,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752192836.750608,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752198155.745216,breathingExercise,
6,America/Santiago,instagram,dismissedAppOpening,False,1752198194.520834,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752205106.305912,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752207713.6553578,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752238007.274699,breathingExercise,
6,America/Santiago,instagram,dismissedAppOpening,False,1752238540.124555,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752242809.409596,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752244136.1796122,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752255743.489078,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752262803.8663511,breathingExercise,
6,America/Santiago,instagram,dismissedAppOpening,False,1752262962.363058,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752263034.644809,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752271249.580179,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752292614.360456,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752302736.639885,breathingExercise,
6,America/Santiago,instagram,dismissedAppOpening,False,1752303529.209978,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752326463.906495,breathingExercise,
6,America/Santiago,instagram,dismissedAppOpening,False,1752331748.985509,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752345171.094033,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752357240.8822222,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752362796.56565,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752363207.801893,breathingExercise,
6,America/Santiago,instagram,dismissedAppOpening,False,1752363628.8714929,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752374228.622184,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752378004.811116,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752410645.177552,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752423274.246889,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752440475.667235,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752450273.751085,breathingExercise,
6,America/Santiago,instagram,dismissedAppOpening,False,1752451703.908519,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752461222.806915,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752495734.042025,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752517610.993294,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752517853.9155989,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752526657.372676,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752533814.855407,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752535537.783361,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752540446.150563,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752543131.887707,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752583281.762164,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752609406.349907,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752619423.570414,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752666987.081095,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752672305.540703,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752687119.995737,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752690670.958,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752696936.793093,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752704205.9999452,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752705459.7736979,breathingExercise,
6,America/Santiago,instagram,dismissedAppOpening,False,1752707422.273869,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752717173.5375519,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752720902.747795,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752754055.677837,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752789999.134747,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752791080.96085,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752830154.5591369,breathingExercise,
6,America/Santiago,instagram,dismissedAppOpening,False,1752842606.01617,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1752843333.8399749,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753032746.535126,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753045465.054342,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753051076.833848,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753053154.8722029,breathingExercise,
6,America/Santiago,instagram,openedApp,False,1753054970.03507,breathingExercise,
