timestamp,isReIntervention,app,resolution,timezone,interventionType,interventionDuration
1750478198.780202,False,instagram,dismissedAppOpening,America/Santiago,,
1750477969.6230621,False,instagram,openedApp,America/Santiago,,
1750478269.6230621,False,instagram,closedApp,America/Santiago,,
1750478269.6230621,False,instagram,dismissedAppOpening,America/Santiago,,
1750479653.62551,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750481129.513657,False,instagram,openedApp,America/Santiago,,
1750481429.513657,False,instagram,closedApp,America/Santiago,,
1750481429.513657,False,instagram,dismissedAppOpening,America/Santiago,,
1750481716.3538961,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750482315.370408,False,instagram,dismissedAppOpening,America/Santiago,breathingExercise,6.0
1750508602.397787,False,instagram,openedApp,America/Santiago,,
1750508902.397788,False,instagram,closedApp,America/Santiago,,
1750508902.397788,False,instagram,dismissedAppOpening,America/Santiago,,
1750508956.546967,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750510641.517026,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750514073.7418451,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750514073.992284,False,instagram,dismissedAppOpening,America/Santiago,breathingExercise,6.0
1750528896.709316,False,instagram,openedApp,America/Santiago,,
1750529196.709316,False,instagram,closedApp,America/Santiago,,
1750529196.709316,False,instagram,dismissedAppOpening,America/Santiago,,
1750529400.1125588,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750534730.632978,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750536710.398068,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750538212.344143,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750540668.709759,False,instagram,dismissedAppOpening,America/Santiago,breathingExercise,6.0
1750540776.115234,False,instagram,dismissedAppOpening,America/Santiago,breathingExercise,6.0
1750541159.530334,False,instagram,dismissedAppOpening,America/Santiago,breathingExercise,6.0
1750541374.3269129,False,instagram,dismissedAppOpening,America/Santiago,breathingExercise,6.0
1750541665.409943,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750544039.861412,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750544045.4043798,False,instagram,openedApp,America/Santiago,,
1750544345.4043798,False,instagram,closedApp,America/Santiago,,
1750544345.4043798,False,instagram,dismissedAppOpening,America/Santiago,,
1750544383.990147,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750546150.162159,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750546153.711652,False,instagram,openedApp,America/Santiago,,
1750546453.711652,False,instagram,closedApp,America/Santiago,,
1750546453.711652,False,instagram,dismissedAppOpening,America/Santiago,,
1750547106.442395,False,instagram,openedApp,America/Santiago,,
1750547406.442395,False,instagram,closedApp,America/Santiago,,
1750547406.442395,False,instagram,dismissedAppOpening,America/Santiago,,
1750547671.823797,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750547676.938987,False,instagram,openedApp,America/Santiago,,
1750547976.938987,False,instagram,closedApp,America/Santiago,,
1750547976.938987,False,instagram,dismissedAppOpening,America/Santiago,,
1750549231.221118,False,instagram,openedApp,America/Santiago,breathingExercise,6.0
1750549949.887831,False,instagram,openedApp,America/Santiago,,
1750550249.8878322,False,instagram,closedApp,America/Santiago,,
1750550249.8878322,False,instagram,dismissedAppOpening,America/Santiago,,
1750551943.867245,False,instagram,openedApp,America/Santiago,,
1750552243.8672462,False,instagram,closedApp,America/Santiago,,
1750552243.8672462,False,instagram,dismissedAppOpening,America/Santiago,,
1750556005.87672,False,instagram,openedApp,America/Santiago,,
1750556305.876721,False,instagram,closedApp,America/Santiago,,
1750556305.876721,False,instagram,dismissedAppOpening,America/Santiago,,
