resolution,isReIntervention,timestamp,timezone,app,interventionDuration,interventionType
openedApp,False,1751328006.368808,America/Sao_Paulo,instagram,,
closedApp,False,1751328186.368808,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751328186.368808,America/Sao_Paulo,instagram,,
openedApp,False,1751344978.650897,America/Sao_Paulo,instagram,,
closedApp,False,1751345158.650897,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751345158.650898,America/Sao_Paulo,instagram,,
openedApp,False,1751371568.792675,America/Sao_Paulo,instagram,,
closedApp,False,1751371748.792675,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751371748.792675,America/Sao_Paulo,instagram,,
openedApp,False,1751375116.606299,America/Sao_Paulo,instagram,,
closedApp,False,1751375296.6062999,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751375296.6062999,America/Sao_Paulo,instagram,,
openedApp,False,1751380593.540834,America/Sao_Paulo,instagram,,
closedApp,False,1751380773.540834,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751380773.540834,America/Sao_Paulo,instagram,,
openedApp,False,1751384455.186442,America/Sao_Paulo,instagram,,
closedApp,False,1751384635.186442,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751384635.186442,America/Sao_Paulo,instagram,,
openedApp,False,1751386212.5342999,America/Sao_Paulo,instagram,,
closedApp,False,1751386392.5342999,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751386392.5342999,America/Sao_Paulo,instagram,,
openedApp,False,1751399087.1014671,America/Sao_Paulo,instagram,,
closedApp,False,1751399267.101468,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751399267.101468,America/Sao_Paulo,instagram,,
openedApp,False,1751402542.469312,America/Sao_Paulo,instagram,,
closedApp,False,1751402722.469312,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751402722.469312,America/Sao_Paulo,instagram,,
openedApp,False,1751406493.339672,America/Sao_Paulo,instagram,,
closedApp,False,1751406673.339672,America/Sao_Paulo,instagram,,
dismissedAppOpening,False,1751406673.339672,America/Sao_Paulo,instagram,,
openedApp,False,1751427889.17745,America/Sao_Paulo,instagram,,
closedApp,False,1751428069.17745,America/Sao_Paulo,instagram,,
