resolution,isReIntervention,timeIntervalUntilReIntervention,timestamp,app,interventionType,interventionDuration,timezone,purpose
openedApp,False,300.0,1752229019.727339,icecubes,askForTimeLimit,6.0,Europe/Berlin,
openedApp,False,60.0,1752229041.2317061,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752229110.05938,icecubes,,,Europe/Berlin,
openedApp,False,,1752229055.936332,beReal,,,Europe/Berlin,
closedApp,False,,1752229235.936332,beReal,,,Europe/Berlin,
dismissedAppOpening,False,,1752229235.936333,beReal,,,Europe/Berlin,
openedApp,False,,1752229348.998126,linkedin,breathingExercise,6.0,Europe/Berlin,Ablenkung
closedApp,False,,1752229468.192645,linkedin,,,Europe/Berlin,
openedApp,False,240.0,1752229722.113885,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752229971.175747,icecubes,,,Europe/Berlin,
dismissedAppOpening,True,,1752229984.6164222,icecubes,breathingExercise,6.0,Europe/Berlin,
openedApp,False,240.0,1752231018.416965,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752231061.027042,icecubes,,,Europe/Berlin,
openedApp,False,600.0,1752237686.095948,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752237711.618592,icecubes,,,Europe/Berlin,
closedApp,False,,1752237796.3891,icecubes,,,Europe/Berlin,
openedApp,False,180.0,1752242504.357572,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752242580.226935,icecubes,,,Europe/Berlin,
openedApp,False,,1752263695.4865131,tradeRepublic,breathingExercise,6.0,Europe/Berlin,Langeweile
closedApp,False,,1752263731.2691278,tradeRepublic,,,Europe/Berlin,
openedApp,False,180.0,1752266116.304483,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752266152.598536,icecubes,,,Europe/Berlin,
openedApp,False,900.0,1752267213.479257,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1752267668.2837029,youtube,,,Europe/Berlin,
openedApp,False,180.0,1752267676.544261,icecubes,askForTimeLimit,6.0,Europe/Berlin,
closedApp,False,,1752267740.671084,icecubes,,,Europe/Berlin,
openedApp,False,900.0,1752267936.4589438,youtube,breathingExercise,6.0,Europe/Berlin,Unterhaltung
closedApp,False,,1752268843.983674,youtube,,,Europe/Berlin,
