resolution,timestamp,interventionDuration,interventionType,timezone,isReIntervention,app,timeIntervalUntilReIntervention
dismissedAppOpening,1752619146.167537,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1752619150.4644442,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
openedApp,1752619238.888531,6,askForTimeLimit,Europe/Paris,False,instagram,600.0
openedApp,1752619314.00385,6,askForTimeLimit,Europe/Paris,False,instagram,540.0
openedApp,1752619685.7169561,6,askForTimeLimit,Europe/Paris,False,instagram,480.0
dismissedAppOpening,1752620758.273848,6,askForTimeLimit,Europe/Paris,False,instagram,
dismissedAppOpening,1752620765.5693722,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1752647320.3463778,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
openedApp,1752647408.004716,6,askForTimeLimit,Europe/Paris,False,instagram,1080.0
dismissedAppOpening,1752647532.584894,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1752649748.9705071,6,askForTimeLimit,Europe/Paris,False,instagram,1200.0
openedApp,1752650070.5141249,6,askForTimeLimit,Europe/Paris,False,instagram,420.0
openedApp,1752651074.783092,6,askForTimeLimit,Europe/Paris,False,instagram,1380.0
openedApp,1752651283.812379,6,askForTimeLimit,Europe/Paris,False,instagram,660.0
openedApp,1752651434.3953161,6,askForTimeLimit,Europe/Paris,False,instagram,900.0
openedApp,1752651481.0361161,6,askForTimeLimit,Europe/Paris,False,instagram,540.0
openedApp,1752651644.780136,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
openedApp,1752657972.841557,6,askForTimeLimit,Europe/Paris,False,instagram,660.0
openedApp,1752658969.294848,6,askForTimeLimit,Europe/Paris,False,instagram,660.0
openedApp,1752660320.995532,6,askForTimeLimit,Europe/Paris,False,instagram,540.0
openedApp,1752661335.8764,6,askForTimeLimit,Europe/Paris,False,instagram,900.0
openedApp,1752661369.335301,6,askForTimeLimit,Europe/Paris,False,instagram,480.0
dismissedAppOpening,1752661883.9178991,6,askForTimeLimit,Europe/Paris,False,instagram,
dismissedAppOpening,1752661888.769829,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1752661896.550568,6,askForTimeLimit,Europe/Paris,False,instagram,300.0
openedApp,1752666397.65306,6,askForTimeLimit,Europe/Paris,False,instagram,480.0
openedApp,1752671169.3168101,6,askForTimeLimit,Europe/Paris,False,instagram,660.0
openedApp,1752671207.177501,6,askForTimeLimit,Europe/Paris,False,instagram,540.0
openedApp,1752673318.783881,6,askForTimeLimit,Europe/Paris,False,instagram,600.0
openedApp,1752673565.778733,6,askForTimeLimit,Europe/Paris,False,instagram,480.0
openedApp,1752673882.1652389,6,askForTimeLimit,Europe/Paris,False,instagram,420.0
openedApp,1752673911.9407802,6,askForTimeLimit,Europe/Paris,False,instagram,840.0
openedApp,1752674111.9988341,6,askForTimeLimit,Europe/Paris,False,instagram,480.0
openedApp,1752674867.979388,6,askForTimeLimit,Europe/Paris,False,instagram,420.0
openedApp,1752675338.9591808,6,askForTimeLimit,Europe/Paris,False,instagram,840.0
openedApp,1752676465.104105,6,askForTimeLimit,Europe/Paris,False,instagram,360.0
openedApp,1752676537.566927,6,askForTimeLimit,Europe/Paris,False,instagram,300.0
openedApp,1752677018.513053,6,askForTimeLimit,Europe/Paris,False,instagram,60.0
openedApp,1752677555.474103,6,askForTimeLimit,Europe/Paris,False,instagram,360.0
openedApp,1752678495.126782,6,askForTimeLimit,Europe/Paris,False,instagram,300.0
openedApp,1752678509.275655,6,askForTimeLimit,Europe/Paris,False,instagram,480.0
dismissedAppOpening,1752678828.002805,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1752678834.095244,6,askForTimeLimit,Europe/Paris,False,instagram,540.0
dismissedAppOpening,1752680330.896924,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1752680405.681723,6,askForTimeLimit,Europe/Paris,False,instagram,360.0
openedApp,1752680747.855411,6,askForTimeLimit,Europe/Paris,False,instagram,420.0
openedApp,1752682506.038573,6,askForTimeLimit,Europe/Paris,False,instagram,720.0
openedApp,1752682912.11622,6,askForTimeLimit,Europe/Paris,False,instagram,840.0
dismissedAppOpening,1752683038.213723,6,askForTimeLimit,Europe/Paris,False,instagram,
dismissedAppOpening,1752683043.1093202,6,askForTimeLimit,Europe/Paris,False,instagram,
openedApp,1752683765.976274,6,askForTimeLimit,Europe/Paris,False,instagram,660.0
openedApp,1752684213.720969,6,askForTimeLimit,Europe/Paris,False,instagram,420.0
dismissedAppOpening,1752684427.828474,6,askForTimeLimit,Europe/Paris,False,instagram,
dismissedAppOpening,1752684856.713983,6,askForTimeLimit,Europe/Paris,False,instagram,
dismissedAppOpening,1752684920.7202811,6,askForTimeLimit,Europe/Paris,False,instagram,
