isReIntervention,interventionType,timezone,app,resolution,timestamp,interventionDuration,purpose
False,breathingExercise,America/Chicago,tikTok,dismissedAppOpening,1748787106.891942,6,
False,breathingExercise,America/Chicago,tikTok,openedApp,1748787136.9462461,6,Search Info
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1748789047.9047542,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1748789949.175243,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1748808923.284713,6,
False,breathingExercise,America/Chicago,tikTok,openedApp,1748826282.359878,6,Search Info
False,breathingExercise,America/Chicago,tikTok,openedApp,1748826990.6446362,6,Search Info
False,breathingExercise,America/Chicago,tikTok,openedApp,1748827732.101747,6,Search Info
False,breathingExercise,America/Chicago,tikTok,openedApp,1748827846.5191789,6,Search Info
False,breathingExercise,America/Chicago,instagram,openedApp,1748870505.336646,6,Search Info
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1748870911.196734,6,
False,breathingExercise,America/Chicago,tikTok,openedApp,1748874819.204874,6,Search Info
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1748875510.4239001,6,
False,breathingExercise,America/Chicago,tikTok,openedApp,1748877293.4648209,6,Entertainment
False,breathingExercise,America/Chicago,tikTok,dismissedAppOpening,1748878236.8895369,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1748879804.090605,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1748880268.5099459,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1748881604.1029239,6,Check likes
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1748881977.624939,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1748882004.0166988,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1748882019.0798712,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1748885976.205306,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1748886825.092665,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1748891634.3126369,6,Stay In the Loop
False,breathingExercise,America/Chicago,instagram,openedApp,1748907809.036372,6,Message
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1748908143.674701,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1748908145.889947,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1748908227.409992,6,Search Info
False,breathingExercise,America/Chicago,instagram,openedApp,1748958357.336604,6,Message
False,breathingExercise,America/Chicago,instagram,openedApp,1748958511.422337,6,Message
False,breathingExercise,America/Chicago,instagram,openedApp,1748960658.897212,6,Post something
False,breathingExercise,America/Chicago,instagram,openedApp,1748961603.231398,6,Stay In the Loop
False,breathingExercise,America/Chicago,tikTok,dismissedAppOpening,1748961875.0121942,6,
False,breathingExercise,America/Chicago,tikTok,dismissedAppOpening,1748961882.091411,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1748976446.253336,6,
False,breathingExercise,America/Chicago,tikTok,openedApp,1748985447.290314,6,Search Info
False,breathingExercise,America/Chicago,tikTok,openedApp,1748985594.545723,6,Search Info
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1748990774.930812,6,
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1748990820.760871,6,
False,breathingExercise,America/Chicago,instagram,openedApp,1749000681.274324,6,Message
False,breathingExercise,America/Chicago,instagram,dismissedAppOpening,1749001839.7083158,6,
