interventionDuration,timezone,timestamp,purpose,resolution,isReIntervention,interventionType,app
,Africa/Algiers,1753023437.940995,,closedApp,False,,xvideos
6.0,Africa/Algiers,1753108247.8654861,,dismissedAppOpening,False,breathingExercise,youtube
,Africa/Algiers,1753108723.9710479,,closedApp,False,,steam
,Africa/Algiers,1753108740.318361,,closedApp,False,,steam
,Africa/Algiers,1753109042.435698,,closedApp,False,,xhamster
,Africa/Algiers,1753109054.6985002,,closedApp,False,,xhamster
,Africa/Algiers,1753109068.900968,,closedApp,False,,xhamster
,Africa/Algiers,1753109078.607668,,closedApp,False,,xhamster
,Africa/Algiers,1753109081.4618812,,closedApp,False,,xhamster
,Africa/Algiers,1753109118.1220021,,closedApp,False,,xhamster
,Africa/Algiers,1753109186.7908401,,closedApp,False,,xhamster
,Africa/Algiers,1753109187.7683349,,closedApp,False,,xhamster
,Africa/Algiers,1753143314.5175161,,closedApp,False,,xhamster
,Africa/Algiers,1753143340.4660969,,closedApp,False,,xhamster
,Africa/Algiers,1753143346.742962,,closedApp,False,,xhamster
,Africa/Algiers,1753143358.279261,,closedApp,False,,xhamster
,Africa/Algiers,1753143359.5856729,,closedApp,False,,xhamster
,Africa/Algiers,1753143375.303139,,closedApp,False,,xhamster
,Africa/Algiers,1753143378.44174,,closedApp,False,,xhamster
,Africa/Algiers,1753143382.102905,,closedApp,False,,xhamster
,Africa/Algiers,1753143387.279845,,closedApp,False,,xhamster
,Africa/Algiers,1753143390.131895,,closedApp,False,,xhamster
,Africa/Algiers,1753143390.9836478,,closedApp,False,,xhamster
,Africa/Algiers,1753143392.71152,,closedApp,False,,xhamster
,Africa/Algiers,1753143394.89207,,closedApp,False,,xhamster
,Africa/Algiers,1753143394.942584,,closedApp,False,,xhamster
,Africa/Algiers,1753143400.6111531,,closedApp,False,,xhamster
,Africa/Algiers,1753143406.661932,,closedApp,False,,xhamster
,Africa/Algiers,1753143408.764364,,closedApp,False,,xhamster
,Africa/Algiers,1753145317.353193,,closedApp,False,,xhamster
,Africa/Algiers,1753145321.7969499,,closedApp,False,,xhamster
,Africa/Algiers,1753145347.156774,,closedApp,False,,xhamster
,Africa/Algiers,1753145347.929693,,closedApp,False,,xhamster
,Africa/Algiers,1753145359.784051,,closedApp,False,,xhamster
,Africa/Algiers,1753145365.174578,,closedApp,False,,xhamster
,Africa/Algiers,1753145366.254272,,closedApp,False,,xhamster
,Africa/Algiers,1753145378.101194,,closedApp,False,,xhamster
,Africa/Algiers,1753145378.110386,,closedApp,False,,xhamster
,Africa/Algiers,1753145386.619477,,closedApp,False,,xhamster
,Africa/Algiers,1753145409.138191,,closedApp,False,,xhamster
,Africa/Algiers,1753145411.052141,,closedApp,False,,xhamster
,Africa/Algiers,1753145442.058783,,closedApp,False,,xhamster
,Africa/Algiers,1753145445.9283829,,closedApp,False,,xhamster
,Africa/Algiers,1753145489.6710901,,closedApp,False,,xhamster
,Africa/Algiers,1753145510.678073,,closedApp,False,,xhamster
,Africa/Algiers,1753145516.967891,,closedApp,False,,xhamster
,Africa/Algiers,1753145530.6566792,,closedApp,False,,xhamster
,Africa/Algiers,1753145531.127176,,closedApp,False,,xhamster
,Africa/Algiers,1753145532.583967,,closedApp,False,,xhamster
,Africa/Algiers,1753145533.5748081,,closedApp,False,,xhamster
,Africa/Algiers,1753145534.898347,,closedApp,False,,xhamster
,Africa/Algiers,1753145535.692601,,closedApp,False,,xhamster
,Africa/Algiers,1753145536.470487,,closedApp,False,,xhamster
,Africa/Algiers,1753145536.763294,,closedApp,False,,xhamster
,Africa/Algiers,1753145537.133504,,closedApp,False,,xhamster
,Africa/Algiers,1753145555.451717,,closedApp,False,,xhamster
,Africa/Algiers,1753145561.299745,,closedApp,False,,xhamster
,Africa/Algiers,1753145567.774661,,closedApp,False,,xhamster
,Africa/Algiers,1753145571.641087,,closedApp,False,,xhamster
,Africa/Algiers,1753145572.073072,,closedApp,False,,xhamster
,Africa/Algiers,1753145641.802165,,closedApp,False,,xhamster
,Africa/Algiers,1753108541.664534,,closedApp,False,,xvideos
,Africa/Algiers,1753108620.94868,,closedApp,False,,xvideos
,Africa/Algiers,1753108765.240031,,closedApp,False,,xvideos
,Africa/Algiers,1753108810.263884,,closedApp,False,,xvideos
,Africa/Algiers,1753108854.019325,,closedApp,False,,xvideos
6.0,Africa/Algiers,1753167838.6496959,sport,openedApp,False,breathingExercise,youtube
6.0,Africa/Algiers,1753168225.853627,,dismissedAppOpening,False,breathingExercise,youtube
6.0,Africa/Algiers,1753173399.251755,Aburrido,openedApp,False,breathingExercise,youtube
,Africa/Algiers,1753196598.174386,,closedApp,False,,amazon
,Africa/Algiers,1753180362.6595922,,closedApp,False,,pornhub
,Africa/Algiers,1753180366.85747,,closedApp,False,,pornhub
,Africa/Algiers,1753180367.3099189,,closedApp,False,,pornhub
,Africa/Algiers,1753180375.867192,,closedApp,False,,pornhub
,Africa/Algiers,1753180380.291296,,closedApp,False,,pornhub
,Africa/Algiers,1753180381.837634,,closedApp,False,,pornhub
,Africa/Algiers,1753180386.209038,,closedApp,False,,pornhub
,Africa/Algiers,1753180387.0555,,closedApp,False,,pornhub
,Africa/Algiers,1753180393.4035091,,closedApp,False,,pornhub
,Africa/Algiers,1753180407.896533,,closedApp,False,,pornhub
,Africa/Algiers,1753180410.0305948,,closedApp,False,,pornhub
,Africa/Algiers,1753180418.3618798,,closedApp,False,,pornhub
,Africa/Algiers,1753180419.765105,,closedApp,False,,pornhub
,Africa/Algiers,1753180422.157662,,closedApp,False,,pornhub
,Africa/Algiers,1753180424.337624,,closedApp,False,,pornhub
,Africa/Algiers,1753180425.28715,,closedApp,False,,pornhub
,Africa/Algiers,1753180425.6314058,,closedApp,False,,pornhub
,Africa/Algiers,1753180427.188045,,closedApp,False,,pornhub
,Africa/Algiers,1753180461.9474878,,closedApp,False,,pornhub
,Africa/Algiers,1753180468.320266,,closedApp,False,,pornhub
,Africa/Algiers,1753180470.218447,,closedApp,False,,pornhub
,Africa/Algiers,1753180473.9210548,,closedApp,False,,pornhub
,Africa/Algiers,1753180482.602781,,closedApp,False,,pornhub
,Africa/Algiers,1753180486.8215141,,closedApp,False,,pornhub
,Africa/Algiers,1753180513.74349,,closedApp,False,,pornhub
,Africa/Algiers,1753180553.864059,,closedApp,False,,pornhub
,Africa/Algiers,1753180608.275578,,closedApp,False,,pornhub
,Africa/Algiers,1753180609.170202,,closedApp,False,,pornhub
,Africa/Algiers,1753180626.028758,,closedApp,False,,pornhub
,Africa/Algiers,1753180626.035001,,closedApp,False,,pornhub
,Africa/Algiers,1753180637.357119,,closedApp,False,,pornhub
,Africa/Algiers,1753180645.382406,,closedApp,False,,pornhub
,Africa/Algiers,1753180667.336555,,closedApp,False,,pornhub
,Africa/Algiers,1753180679.947091,,closedApp,False,,pornhub
,Africa/Algiers,1753180692.435999,,closedApp,False,,pornhub
,Africa/Algiers,1753180717.420255,,closedApp,False,,pornhub
,Africa/Algiers,1753180747.325877,,closedApp,False,,pornhub
,Africa/Algiers,1753180757.6464481,,closedApp,False,,pornhub
,Africa/Algiers,1753181067.0448852,,closedApp,False,,pornhub
,Africa/Algiers,1753181132.271821,,closedApp,False,,pornhub
,Africa/Algiers,1753195850.995795,,closedApp,False,,pornhub
,Africa/Algiers,1753195856.43463,,closedApp,False,,pornhub
,Africa/Algiers,1753195864.952847,,closedApp,False,,pornhub
,Africa/Algiers,1753195869.265325,,closedApp,False,,pornhub
,Africa/Algiers,1753195898.634266,,closedApp,False,,pornhub
,Africa/Algiers,1753196309.740261,,closedApp,False,,pornhub
,Africa/Algiers,1753196361.4021258,,closedApp,False,,pornhub
,Africa/Algiers,1753196373.725585,,closedApp,False,,pornhub
,Africa/Algiers,1753196395.7616181,,closedApp,False,,pornhub
,Africa/Algiers,1753196416.575788,,closedApp,False,,pornhub
,Africa/Algiers,1753196426.497293,,closedApp,False,,pornhub
,Africa/Algiers,1753196433.81141,,closedApp,False,,pornhub
,Africa/Algiers,1753196468.243669,,closedApp,False,,pornhub
,Africa/Algiers,1753196519.466224,,closedApp,False,,pornhub
,Africa/Algiers,1753196523.603064,,closedApp,False,,pornhub
,Africa/Algiers,1753196540.482311,,closedApp,False,,pornhub
,Africa/Algiers,1753196583.5988889,,closedApp,False,,pornhub
,Africa/Algiers,1753196590.854322,,closedApp,False,,pornhub
,Africa/Algiers,1753196621.823555,,closedApp,False,,pornhub
,Africa/Algiers,1753196623.058766,,closedApp,False,,pornhub
,Africa/Algiers,1753196624.888525,,closedApp,False,,pornhub
,Africa/Algiers,1753196632.403798,,closedApp,False,,pornhub
,Europe/Zurich,1753300886.002585,,closedApp,False,,instagram
,Europe/Zurich,1753300913.717797,,closedApp,False,,instagram
,Europe/Zurich,1753300984.659909,,closedApp,False,,instagram
,Europe/Zurich,1753301059.177706,,closedApp,False,,instagram
,Europe/Zurich,1753301101.6663241,,closedApp,False,,instagram
,Europe/Zurich,1753197657.887006,,closedApp,False,,pornhub
,Europe/Zurich,1753197677.343515,,closedApp,False,,pornhub
,Europe/Zurich,1753197690.872153,,closedApp,False,,pornhub
,Europe/Zurich,1753199506.247107,,closedApp,False,,pornhub
,Europe/Zurich,1753199525.211917,,closedApp,False,,pornhub
,Europe/Zurich,1753199530.9670901,,closedApp,False,,pornhub
,Europe/Zurich,1753199545.558712,,closedApp,False,,pornhub
,Europe/Zurich,1753199545.594228,,closedApp,False,,pornhub
,Europe/Zurich,1753199574.996831,,closedApp,False,,pornhub
,Europe/Zurich,1753199592.428705,,closedApp,False,,pornhub
,Europe/Zurich,1753199867.647999,,closedApp,False,,pornhub
,Europe/Zurich,1753199885.057266,,closedApp,False,,pornhub
,Europe/Zurich,1753201023.735289,,closedApp,False,,xhamster
,Europe/Zurich,1753201040.472721,,closedApp,False,,xhamster
,Europe/Zurich,1753201063.387816,,closedApp,False,,xhamster
,Europe/Zurich,1753201068.613524,,closedApp,False,,xhamster
,Europe/Zurich,1753201084.625918,,closedApp,False,,xhamster
,Europe/Zurich,1753201114.0370588,,closedApp,False,,xhamster
,Europe/Zurich,1753201115.935283,,closedApp,False,,xhamster
,Europe/Zurich,1753201123.493604,,closedApp,False,,xhamster
,Europe/Zurich,1753201251.283342,,closedApp,False,,xhamster
,Europe/Zurich,1753201270.283111,,closedApp,False,,xhamster
,Europe/Zurich,1753201308.6299682,,closedApp,False,,xhamster
,Europe/Zurich,1753201367.458885,,closedApp,False,,xhamster
,Europe/Zurich,1753201454.645437,,closedApp,False,,xhamster
,Europe/Zurich,1753281462.8657842,,closedApp,False,,xvideos
,Europe/Zurich,1753281467.983916,,closedApp,False,,xvideos
,Europe/Zurich,1753281469.966223,,closedApp,False,,xvideos
,Europe/Zurich,1753281472.6118279,,closedApp,False,,xvideos
,Europe/Zurich,1753281480.7205691,,closedApp,False,,xvideos
,Europe/Zurich,1753281497.174316,,closedApp,False,,xvideos
,Europe/Zurich,1753281497.829627,,closedApp,False,,xvideos
,Europe/Zurich,1753281505.696202,,closedApp,False,,xvideos
,Europe/Zurich,1753281506.314704,,closedApp,False,,xvideos
,Europe/Zurich,1753281520.100616,,closedApp,False,,xvideos
,Europe/Zurich,1753281522.531166,,closedApp,False,,xvideos
,Europe/Zurich,1753281644.0453959,,closedApp,False,,xvideos
,Europe/Zurich,1753281646.19887,,closedApp,False,,xvideos
,Europe/Zurich,1753282051.717019,,closedApp,False,,xvideos
,Europe/Zurich,1753282098.5307221,,closedApp,False,,xvideos
,Europe/Zurich,1753282377.944888,,closedApp,False,,xvideos
,Europe/Zurich,1753282379.248516,,closedApp,False,,xvideos
,Europe/Zurich,1753282385.562911,,closedApp,False,,xvideos
,Europe/Zurich,1753282385.707845,,closedApp,False,,xvideos
,Europe/Zurich,1753282387.585352,,closedApp,False,,xvideos
,Europe/Zurich,1753282391.7792969,,closedApp,False,,xvideos
,Europe/Zurich,1753282433.241294,,closedApp,False,,xvideos
,Europe/Zurich,1753282433.958983,,closedApp,False,,xvideos
,Europe/Zurich,1753282566.406042,,closedApp,False,,xvideos
6.0,Europe/Zurich,1753651342.978802,sport,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1753687333.784254,sport,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1753706902.066056,sport,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1753715018.3857021,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1753773927.649387,,dismissedAppOpening,False,breathingExercise,youtube
6.0,Europe/Zurich,1753774401.069809,Mantente Informado,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1753779077.975191,,dismissedAppOpening,False,breathingExercise,youtube
6.0,Europe/Zurich,1753791017.4279099,Aburrido,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1753792452.429288,Buscar info,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1753802869.0418758,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1753802940.63304,Mensaje,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1753818740.388221,Mensaje,openedApp,False,breathingExercise,youtube
,Europe/Zurich,1753824079.234737,,closedApp,False,,pornhub
,Europe/Zurich,1753824187.301518,,closedApp,False,,xvideos
,Europe/Zurich,1753824464.190826,,closedApp,False,,xvideos
,Europe/Zurich,1753824464.527104,,closedApp,False,,xvideos
,Europe/Zurich,1753824469.250863,,closedApp,False,,xvideos
,Europe/Zurich,1753824554.7270498,,closedApp,False,,xvideos
,Europe/Zurich,1753824640.669476,,closedApp,False,,xvideos
6.0,Europe/Zurich,1753858395.018822,Entretenimiento,openedApp,False,breathingExercise,youtube
6.0,Europe/Zurich,1753861671.928613,Buscar info,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753861927.121773,,dismissedAppOpening,False,breathingExercise,safari
6.0,Europe/Zurich,1753863687.052229,Mensaje,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753864641.380066,Mensaje,openedApp,False,breathingExercise,safari
6.0,Europe/Zurich,1753864673.877629,Mensaje,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753865648.925025,,dismissedAppOpening,False,breathingExercise,instagram
6.0,Europe/Zurich,1753866148.069684,Mensaje,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753867488.272968,Mensaje,openedApp,False,breathingExercise,youtube
,Europe/Zurich,1753867657.805054,,closedApp,False,,youtube
,Europe/Zurich,1753867710.482036,,closedApp,False,,youtube
6.0,Europe/Zurich,1753872603.795119,Mensaje,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753873094.6661348,Mensaje,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753873999.215884,Mantente Informado,openedApp,False,breathingExercise,instagram
6.0,Europe/Zurich,1753874858.082601,Mensaje,openedApp,False,breathingExercise,instagram
