interventionDuration,app,interventionType,isReIntervention,timezone,timestamp,resolution
6,tikTok,breathingExercise,False,Europe/London,1749595343.94509,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749595447.6722422,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749630468.116253,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749631478.113953,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749642803.603816,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749644060.873663,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749646331.5234551,dismissedAppOpening
6,tikTok,breathingExercise,False,Europe/London,1749652811.382498,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749653240.018478,dismissedAppOpening
6,tikTok,breathingExercise,False,Europe/London,1749653809.9377089,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749653909.978228,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749655451.50359,dismissedAppOpening
6,tikTok,breathingExercise,False,Europe/London,1749655472.808292,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749679350.8878322,dismissedAppOpening
6,tikTok,breathingExercise,False,Europe/London,1749679548.939054,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749680364.607881,dismissedAppOpening
6,tikTok,breathingExercise,False,Europe/London,1749680424.724255,dismissedAppOpening
6,tikTok,breathingExercise,False,Europe/London,1749680442.413163,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749682889.56288,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749683146.397923,dismissedAppOpening
6,tikTok,breathingExercise,False,Europe/London,1749686417.947181,dismissedAppOpening
6,tikTok,breathingExercise,False,Europe/London,1749718928.229713,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749718985.4961529,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749720298.89165,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749723558.964555,dismissedAppOpening
6,tikTok,breathingExercise,False,Europe/London,1749723598.486692,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749727030.8925982,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749729128.458743,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749729227.711022,dismissedAppOpening
6,tikTok,breathingExercise,False,Europe/London,1749729233.5158901,dismissedAppOpening
6,tikTok,breathingExercise,False,Europe/London,1749729952.488059,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749730770.162247,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749733683.202724,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749735074.651198,openedApp
6,tikTok,breathingExercise,False,Europe/London,1749735233.519203,dismissedAppOpening
6,tikTok,breathingExercise,False,Europe/London,1749735254.958157,dismissedAppOpening
6,tikTok,breathingExercise,False,Europe/London,1749735374.665083,dismissedAppOpening
6,tikTok,breathingExercise,False,Europe/London,1749735835.719149,openedApp
