app,isReIntervention,timestamp,interventionType,timezone,resolution,interventionDuration
instagram,False,1751298090.291424,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751298473.414329,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751301775.8698301,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751301941.481936,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751303318.366716,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751303453.0067601,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751303456.477817,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751303698.651722,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751303702.2713919,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751372779.422182,breathingExercise,Europe/Berlin,openedApp,6
instagram,False,1751372903.988127,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751374098.158091,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751378223.444999,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751379934.40138,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751383847.5927138,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751383956.695013,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751384147.876385,breathingExercise,Europe/Berlin,openedApp,6
instagram,False,1751384544.830301,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751384899.92974,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751389292.097066,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751389351.991852,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751393530.8912048,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751402664.689104,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751404952.684061,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751405780.06066,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751452656.591899,breathingExercise,Europe/Berlin,openedApp,6
instagram,False,1751453271.7166991,breathingExercise,Europe/Berlin,openedApp,6
instagram,False,1751459439.6633592,breathingExercise,Europe/Berlin,openedApp,6
instagram,False,1751462925.2208362,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751462953.526044,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751463295.718718,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751465471.2538838,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751466436.9719992,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751467251.892268,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751472981.357799,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751476115.4628491,breathingExercise,Europe/Berlin,openedApp,6
instagram,False,1751476162.188641,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751476273.401482,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751476915.715131,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751478384.0471702,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751483128.603904,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751544538.734251,breathingExercise,Europe/Berlin,openedApp,6
instagram,False,1751544574.844698,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751544605.8604279,breathingExercise,Europe/Berlin,openedApp,6
instagram,False,1751549204.1609302,breathingExercise,Europe/Berlin,openedApp,6
instagram,False,1751550684.770763,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751551685.3912868,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751551770.2614121,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751553139.8083382,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751553400.047554,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751553680.139406,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751553689.353878,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751555078.408155,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751557547.503746,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751557747.3852348,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751563815.4948292,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751570961.027219,breathingExercise,Europe/Berlin,openedApp,6
instagram,False,1751572513.341135,breathingExercise,Europe/Berlin,openedApp,6
instagram,False,1751572786.37948,breathingExercise,Europe/Berlin,openedApp,6
instagram,False,1751572872.333613,breathingExercise,Europe/Berlin,openedApp,6
instagram,False,1751572940.560114,breathingExercise,Europe/Berlin,openedApp,6
instagram,False,1751628228.45732,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751628242.252822,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751628260.687808,breathingExercise,Europe/Berlin,openedApp,6
instagram,False,1751628397.050581,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751628425.018884,breathingExercise,Europe/Berlin,openedApp,6
instagram,False,1751628601.615303,breathingExercise,Europe/Berlin,openedApp,6
instagram,False,1751628977.1880221,breathingExercise,Europe/Berlin,dismissedAppOpening,6
instagram,False,1751636844.05824,breathingExercise,Europe/Berlin,dismissedAppOpening,6
