resolution,isReIntervention,interventionType,timestamp,app,interventionDuration,timezone,purpose
openedApp,False,breathingExercise,1750301124.842073,instagram,6,America/Toronto,Entertainment
openedApp,False,breathingExercise,1750339109.36899,instagram,6,America/Toronto,Toilet
dismissedAppOpening,False,breathingExercise,1750340658.852408,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750342660.211849,instagram,6,America/Toronto,Entertainment
dismissedAppOpening,False,breathingExercise,1750342810.0952458,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750343387.7726932,instagram,6,America/Toronto,Toilet
dismissedAppOpening,False,breathingExercise,1750346005.210315,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750346054.532392,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750346091.3119059,instagram,6,America/Toronto,Search Info
dismissedAppOpening,False,breathingExercise,1750351833.988771,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750354143.219624,instagram,6,America/Toronto,Relax
openedApp,False,breathingExercise,1750357078.966749,instagram,6,America/Toronto,Entertainment
openedApp,False,breathingExercise,1750359743.965147,instagram,6,America/Toronto,Relax
dismissedAppOpening,False,breathingExercise,1750364338.430651,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750366446.773967,instagram,6,America/Toronto,Escape / Avoid
dismissedAppOpening,False,breathingExercise,1750366641.3601809,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750376782.703044,instagram,6,America/Toronto,Entertainment
dismissedAppOpening,False,breathingExercise,1750377081.393159,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750378693.992074,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750378729.2420568,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750378830.1846042,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750378920.6246161,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750378941.6785002,instagram,6,America/Toronto,Search Info
openedApp,False,breathingExercise,1750380929.454803,instagram,6,America/Toronto,Entertainment
dismissedAppOpening,False,breathingExercise,1750383512.793021,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750383847.684801,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750383855.124926,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750383954.634208,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750384079.377394,instagram,6,America/Toronto,Search Info
openedApp,False,breathingExercise,1750390101.817618,instagram,6,America/Toronto,Escape / Avoid
dismissedAppOpening,False,breathingExercise,1750421082.19777,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750421207.0641952,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750423422.6049051,instagram,6,America/Toronto,Toilet
openedApp,False,breathingExercise,1750424298.264978,instagram,6,America/Toronto,Entertainment
openedApp,False,breathingExercise,1750424861.386436,instagram,6,America/Toronto,Message
dismissedAppOpening,False,breathingExercise,1750436728.4378052,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750436752.936913,instagram,6,America/Toronto,Entertainment
dismissedAppOpening,False,breathingExercise,1750437099.9301682,instagram,6,America/Toronto,
dismissedAppOpening,False,breathingExercise,1750444224.3253288,instagram,6,America/Toronto,
openedApp,False,breathingExercise,1750446564.690244,instagram,6,America/Toronto,Entertainment
dismissedAppOpening,False,breathingExercise,1750447510.6306581,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1750447525.065403,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750447543.922993,instagram,6,America/Vancouver,Message
openedApp,False,breathingExercise,1750447573.9620152,instagram,6,America/Vancouver,Message
openedApp,False,breathingExercise,1750447738.726861,instagram,6,America/Vancouver,Message
openedApp,False,breathingExercise,1750447863.599577,instagram,6,America/Vancouver,Post something
openedApp,False,breathingExercise,1750447919.3557072,instagram,6,America/Vancouver,Message
openedApp,False,breathingExercise,1750448271.5424252,instagram,6,America/Vancouver,Search Info
openedApp,False,breathingExercise,1750448552.514427,instagram,6,America/Vancouver,Message
openedApp,False,breathingExercise,1750448942.8120131,instagram,6,America/Vancouver,Message
dismissedAppOpening,False,breathingExercise,1750449467.525012,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750451832.75978,instagram,6,America/Vancouver,Search Info
openedApp,False,breathingExercise,1750454642.322727,instagram,6,America/Vancouver,Search Info
openedApp,False,breathingExercise,1750455521.775686,instagram,6,America/Vancouver,Search Info
dismissedAppOpening,False,breathingExercise,1750455880.4698858,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750456001.688961,instagram,6,America/Vancouver,Stay In the Loop
dismissedAppOpening,False,breathingExercise,1750457135.943104,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1750460451.293367,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750460473.573781,instagram,6,America/Vancouver,Escape / Avoid
dismissedAppOpening,False,breathingExercise,1750464147.193304,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750464181.8887448,instagram,6,America/Vancouver,Message
openedApp,False,breathingExercise,1750474170.408844,instagram,6,America/Vancouver,Message
openedApp,False,breathingExercise,1750474397.767264,instagram,6,America/Vancouver,Message
openedApp,False,breathingExercise,1750479661.33389,instagram,6,America/Vancouver,Message
openedApp,False,breathingExercise,1750487901.787866,instagram,6,America/Vancouver,Entertainment
openedApp,False,breathingExercise,1750523995.773642,instagram,6,America/Vancouver,Stay In the Loop
dismissedAppOpening,False,breathingExercise,1750535435.632801,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1750535439.917622,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750535700.2864451,instagram,6,America/Vancouver,Escape / Avoid
dismissedAppOpening,False,breathingExercise,1750536047.282117,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1750537148.087111,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750537165.0513759,instagram,6,America/Vancouver,Toilet
dismissedAppOpening,False,breathingExercise,1750541513.734384,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750541836.5922232,instagram,6,America/Vancouver,Escape / Avoid
dismissedAppOpening,False,breathingExercise,1750546933.01918,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750562375.0941582,instagram,6,America/Vancouver,Toilet
dismissedAppOpening,False,breathingExercise,1750571274.095998,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1750571278.137734,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1750571284.271075,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750571302.2600389,instagram,6,America/Vancouver,Stay In the Loop
dismissedAppOpening,False,breathingExercise,1750572093.679189,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1750618446.563555,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750629993.3197908,instagram,6,America/Vancouver,Post something
openedApp,False,breathingExercise,1750631859.478046,instagram,6,America/Vancouver,Stay In the Loop
openedApp,False,breathingExercise,1750634140.23569,instagram,6,America/Vancouver,Search Info
openedApp,False,breathingExercise,1750634321.147645,instagram,6,America/Vancouver,Post something
openedApp,False,breathingExercise,1750637061.7654638,instagram,6,America/Vancouver,Stay In the Loop
openedApp,False,breathingExercise,1750638390.6767359,instagram,6,America/Vancouver,Post something
openedApp,False,breathingExercise,1750638555.410954,instagram,6,America/Vancouver,Post something
openedApp,False,breathingExercise,1750638800.434319,instagram,6,America/Vancouver,Post something
openedApp,False,breathingExercise,1750639158.4678202,instagram,6,America/Vancouver,Entertainment
openedApp,False,breathingExercise,1750642093.7679071,instagram,6,America/Vancouver,Post something
openedApp,False,breathingExercise,1750657118.807879,instagram,6,America/Vancouver,Message
openedApp,False,breathingExercise,1750687176.6337671,instagram,6,America/Vancouver,Toilet
dismissedAppOpening,False,breathingExercise,1750688965.612711,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750691736.495801,instagram,6,America/Vancouver,Escape / Avoid
dismissedAppOpening,False,breathingExercise,1750693598.881377,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750694787.057421,instagram,6,America/Vancouver,Toilet
dismissedAppOpening,False,breathingExercise,1750697279.135456,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750705788.468995,instagram,6,America/Vancouver,Entertainment
dismissedAppOpening,False,breathingExercise,1750707285.913002,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750708939.472705,instagram,6,America/Vancouver,Escape / Avoid
openedApp,False,breathingExercise,1750709083.349437,instagram,6,America/Vancouver,Escape / Avoid
openedApp,False,breathingExercise,1750715922.000875,instagram,6,America/Vancouver,Escape / Avoid
dismissedAppOpening,False,breathingExercise,1750720193.3825269,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750720624.240381,instagram,6,America/Vancouver,Entertainment
openedApp,False,breathingExercise,1750722428.222794,instagram,6,America/Vancouver,Message
dismissedAppOpening,False,breathingExercise,1750722682.145667,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1750722835.945729,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1750723666.914037,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1750724956.5382981,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1750726352.8205829,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750728423.737595,instagram,6,America/Vancouver,Entertainment
openedApp,False,breathingExercise,1750751835.8210502,instagram,6,America/Vancouver,Toilet
openedApp,False,breathingExercise,1750775629.980037,instagram,6,America/Vancouver,Entertainment
dismissedAppOpening,False,breathingExercise,1750779253.140851,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750800446.323576,instagram,6,America/Vancouver,Toilet
dismissedAppOpening,False,breathingExercise,1750800614.272637,instagram,6,America/Vancouver,
openedApp,False,breathingExercise,1750806714.4122682,instagram,6,America/Vancouver,Relax
dismissedAppOpening,False,breathingExercise,1750806947.704428,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1750806953.6519861,instagram,6,America/Vancouver,
dismissedAppOpening,False,breathingExercise,1750806956.4843202,instagram,6,America/Vancouver,
