timezone,timestamp,app,isReIntervention,resolution,interventionType,interventionDuration,timeIntervalUntilReIntervention
Europe/Ljubljana,1751127341.6284652,snapchat,False,closedApp,,,
Europe/Ljubljana,1751127381.4439101,snapchat,False,openedApp,breathingExercise,6.0,300.0
Europe/Ljubljana,1751128095.587322,appStore,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751128121.725734,appStore,False,openedApp,breathingExercise,6.0,360.0
Europe/Ljubljana,1751128198.881836,appStore,False,closedApp,,,
Europe/Ljubljana,1751128227.2139502,appStore,False,closedApp,,,
Europe/Ljubljana,1751128561.374475,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751129362.3086119,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751129392.004973,snapchat,False,openedApp,breathingExercise,6.0,300.0
Europe/Ljubljana,1751130532.249733,appStore,False,openedApp,breathingExercise,6.0,240.0
Europe/Ljubljana,1751130654.209711,appStore,False,closedApp,,,
Europe/Ljubljana,1751130670.323977,appStore,False,closedApp,,,
Europe/Ljubljana,1751133939.303738,appStore,False,openedApp,breathingExercise,6.0,300.0
Europe/Ljubljana,1751133972.505,appStore,False,closedApp,,,
Europe/Ljubljana,1751133996.6533551,appStore,False,openedApp,breathingExercise,6.0,300.0
Europe/Ljubljana,1751134387.404605,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751134515.354166,appStore,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751176318.474547,appStore,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751176670.896497,snapchat,False,openedApp,breathingExercise,6.0,360.0
Europe/Ljubljana,1751176806.851965,snapchat,False,closedApp,,,
Europe/Ljubljana,1751177730.482767,snapchat,False,closedApp,,,
Europe/Ljubljana,1751179532.5250468,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751182508.785996,appStore,False,openedApp,breathingExercise,6.0,300.0
Europe/Ljubljana,1751182536.425642,appStore,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751182681.889203,appStore,False,openedApp,breathingExercise,6.0,60.0
Europe/Ljubljana,1751185315.01196,snapchat,False,openedApp,breathingExercise,6.0,360.0
Europe/Ljubljana,1751185443.292856,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751185436.019341,snapchat,False,closedApp,,,
Europe/Ljubljana,1751190524.836584,snapchat,False,openedApp,breathingExercise,6.0,180.0
Europe/Ljubljana,1751190539.304409,snapchat,False,closedApp,,,
Europe/Ljubljana,1751190562.903222,appStore,False,openedApp,breathingExercise,6.0,300.0
Europe/Ljubljana,1751190607.6988668,appStore,False,closedApp,,,
Europe/Ljubljana,1751190811.925596,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751193998.794366,snapchat,False,openedApp,breathingExercise,6.0,60.0
Europe/Ljubljana,1751196797.7547998,snapchat,False,closedApp,,,
Europe/Ljubljana,1751198753.3519,snapchat,False,openedApp,breathingExercise,6.0,300.0
Europe/Ljubljana,1751198812.2887502,snapchat,False,closedApp,,,
Europe/Ljubljana,1751198968.3770452,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751198970.7474442,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751199155.018022,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751199187.08583,snapchat,False,openedApp,breathingExercise,6.0,360.0
Europe/Ljubljana,1751199213.0301728,snapchat,False,closedApp,,,
Europe/Ljubljana,1751199302.8612761,snapchat,False,closedApp,,,
Europe/Ljubljana,1751199416.838728,snapchat,False,closedApp,,,
Europe/Ljubljana,1751199494.221236,snapchat,False,closedApp,,,
Europe/Ljubljana,1751199578.952802,snapchat,False,closedApp,,,
Europe/Ljubljana,1751200280.1313891,snapchat,False,closedApp,,,
Europe/Ljubljana,1751200318.1623158,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751200386.627077,snapchat,False,openedApp,breathingExercise,6.0,60.0
Europe/Ljubljana,1751201678.9094,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751204035.718001,snapchat,False,openedApp,breathingExercise,6.0,240.0
Europe/Ljubljana,1751204725.635473,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751205814.4163451,snapchat,False,openedApp,breathingExercise,6.0,60.0
Europe/Ljubljana,1751208611.775134,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751209108.249258,snapchat,False,dismissedAppOpening,breathingExercise,6.0,
Europe/Ljubljana,1751211949.392026,snapchat,False,openedApp,breathingExercise,6.0,360.0
