interventionDuration,timezone,interventionType,timestamp,resolution,app,isReIntervention
6,Europe/Madrid,breathingExercise,1749195528.508537,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749196639.104054,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749203626.621352,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749204134.14748,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749205369.449122,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749205906.510643,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749207012.410656,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749207740.831362,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749208931.001612,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749209141.613439,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749216689.021404,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749221740.368976,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749224874.259029,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749227252.130389,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749231349.443253,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749236636.6182761,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749238328.334045,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749239014.649606,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749241239.1404529,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749282783.512996,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749303586.292591,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749304750.7362142,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749308506.1081262,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749308762.724483,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749308779.445078,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749315037.6074228,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749315274.666605,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749323858.3079638,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749323878.992368,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749327518.221245,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749329657.950345,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749329718.728076,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749329739.332336,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749330308.2412891,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749331454.007211,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749332072.83674,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749366647.3922958,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749369145.14286,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749369965.508346,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749401301.494065,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749407507.533207,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749408170.157874,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749408875.782162,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749409539.304957,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749409771.426772,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749409841.585053,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749410642.1497679,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749411048.252569,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749413606.5662498,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749414414.013835,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749451334.2035131,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749454724.562247,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749456303.38867,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749459804.871352,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749464539.358115,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749465434.6785688,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749466267.404873,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749466835.991823,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749466915.487111,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749480060.376896,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749481426.818898,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749481431.735501,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749481879.886112,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749483393.2548342,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749485015.4464889,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749485394.667444,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749486372.1427,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749494530.5442681,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749494650.683568,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749495601.558492,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749495617.5533009,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749495769.534268,dismissedAppOpening,instagram,False
6,Europe/Madrid,breathingExercise,1749498129.936297,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749501653.7597098,openedApp,instagram,False
6,Europe/Madrid,breathingExercise,1749502801.776573,openedApp,instagram,False
