timezone,resolution,app,timestamp,isReIntervention,interventionDuration,interventionType
Asia/Kolkata,openedApp,instagram,1753552853.562501,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753587149.048856,False,,
Asia/Kolkata,closedApp,instagram,1753588049.048856,False,,
Asia/Kolkata,dismissedAppOpening,instagram,1753588049.048856,False,,
Asia/Kolkata,openedApp,instagram,1753588071.297992,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753596898.363037,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753599121.084787,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753600120.159735,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753610949.153096,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753625816.171485,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753635285.475313,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753636630.477591,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753638345.212192,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753639328.932774,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753640190.626625,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753679639.575819,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753699773.18663,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753700518.874614,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753701739.676693,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753703124.229388,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753719960.051635,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753721368.799432,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753721694.163598,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753722371.533867,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753723003.111,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753725709.675859,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753726330.7149858,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753728319.646543,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753728582.906776,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753732207.740635,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753764573.627475,False,6.0,breathingExercise
Asia/Kolkata,dismissedAppOpening,instagram,1753765205.319375,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753765258.7959108,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753769467.5605521,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753775983.146574,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753780107.5823069,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753795130.0404382,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753798167.573698,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753798426.754884,False,6.0,breathingExercise
Asia/Kolkata,dismissedAppOpening,instagram,1753799391.185919,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753800383.371728,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753801687.516389,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753802627.128139,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753804521.587537,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753805773.4512339,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753843978.7819638,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753849245.861897,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753852301.38779,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753855445.68266,False,6.0,breathingExercise
Asia/Kolkata,dismissedAppOpening,instagram,1753859265.321562,False,6.0,breathingExercise
Asia/Kolkata,dismissedAppOpening,instagram,1753873680.045932,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753898123.491188,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753899169.1429958,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753978359.363809,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1753985605.188726,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1754068159.44804,False,6.0,breathingExercise
Asia/Kolkata,dismissedAppOpening,instagram,1754072336.564897,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1754072364.740394,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1754107685.168128,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1754112523.6594539,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1754115084.918472,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1754120921.835084,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1754132788.18923,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1754135999.919403,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1754139564.153755,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1754147292.194528,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1754212235.0049682,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1754237752.880481,False,6.0,breathingExercise
Asia/Kolkata,openedApp,instagram,1754240559.2496362,False,6.0,breathingExercise
