resolution,timestamp,app,interventionDuration,timezone,isReIntervention,interventionType
openedApp,1752463425.432451,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752466408.456088,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752466602.4495149,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752480384.204965,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752480385.217561,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752480419.020877,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752511398.2752662,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752511921.3589559,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752520608.086588,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752520615.852209,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752520616.952431,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752520618.5599,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752520619.9515529,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752551430.3499389,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752552137.596827,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752552731.236588,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752553024.200623,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752553057.245185,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752553072.523055,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752567370.933444,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752587418.178862,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752587577.736215,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752587662.086168,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752587699.144816,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752587809.592052,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752587839.453206,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752588028.065577,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752599169.8736858,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752599173.142133,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752637614.560322,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752641459.829237,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752645479.301313,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752647648.625153,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752649774.290018,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752651454.4629989,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752657838.0927029,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752666099.323847,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752666451.30098,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752666689.599619,youtube,6.0,Asia/Kolkata,False,breathingExercise
openedApp,1752671510.9890928,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752671637.832932,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752671647.133795,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1752671937.3634849,youtube,,Asia/Kolkata,False,
dismissedAppOpening,1752671959.458115,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752672032.997179,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752672035.345552,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1752723964.707623,youtube,,Asia/Kolkata,False,
closedApp,1752724472.597756,youtube,,Asia/Kolkata,False,
closedApp,1752725710.200711,youtube,,Asia/Kolkata,False,
openedApp,1752730580.929677,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1752730581.262085,youtube,,Asia/Kolkata,False,
closedApp,1752730678.7630181,youtube,,Asia/Kolkata,False,
closedApp,1752730730.353082,youtube,,Asia/Kolkata,False,
closedApp,1752730751.972765,youtube,,Asia/Kolkata,False,
closedApp,1752730755.511303,youtube,,Asia/Kolkata,False,
closedApp,1752730771.921156,youtube,,Asia/Kolkata,False,
closedApp,1752730785.25598,youtube,,Asia/Kolkata,False,
closedApp,1752730812.933819,youtube,,Asia/Kolkata,False,
closedApp,1752730823.162483,youtube,,Asia/Kolkata,False,
closedApp,1752730853.621603,youtube,,Asia/Kolkata,False,
closedApp,1752730858.603131,youtube,,Asia/Kolkata,False,
openedApp,1752730877.67507,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1752730877.983747,youtube,,Asia/Kolkata,False,
closedApp,1752730921.241943,youtube,,Asia/Kolkata,False,
closedApp,1752730933.0652661,youtube,,Asia/Kolkata,False,
closedApp,1752731346.330634,youtube,,Asia/Kolkata,False,
closedApp,1752732237.418079,youtube,,Asia/Kolkata,False,
dismissedAppOpening,1752732245.423928,youtube,6.0,Asia/Kolkata,False,breathingExercise
dismissedAppOpening,1752751000.911479,youtube,6.0,Asia/Kolkata,False,breathingExercise
closedApp,1752738300.375153,youtube,,Asia/Kolkata,False,
closedApp,1752741781.5526628,youtube,,Asia/Kolkata,False,
closedApp,1752742827.588985,youtube,,Asia/Kolkata,False,
closedApp,1752742929.6912851,youtube,,Asia/Kolkata,False,
closedApp,1752743015.909256,youtube,,Asia/Kolkata,False,
closedApp,1752743026.947804,youtube,,Asia/Kolkata,False,
closedApp,1752743240.378415,youtube,,Asia/Kolkata,False,
closedApp,1752743261.974313,youtube,,Asia/Kolkata,False,
closedApp,1752743596.149401,youtube,,Asia/Kolkata,False,
closedApp,1752810202.3064718,youtube,,Asia/Kolkata,False,
closedApp,1752810220.677741,youtube,,Asia/Kolkata,False,
closedApp,1752810953.390774,youtube,,Asia/Kolkata,False,
