isReIntervention,timezone,interventionType,resolution,app,timestamp,interventionDuration,purpose
False,Asia/Taipei,breathingExercise,dismissedAppOpening,threads,1749433638.082539,6.0,
False,Asia/Taipei,,openedApp,threads,1749435171.880631,,
False,Asia/Taipei,,closedApp,threads,1749435231.880631,,
False,Asia/Taipei,,dismissedAppOpening,threads,1749435231.880631,,
False,Asia/Taipei,breathingExercise,dismissedAppOpening,threads,1749435252.6918402,6.0,
False,Asia/Taipei,breathingExercise,dismissedAppOpening,threads,1749435338.03986,6.0,
False,Asia/Taipei,breathingExercise,dismissedAppOpening,threads,1749435401.633651,6.0,
False,Asia/Taipei,,openedApp,threads,1749435385.023005,,
False,Asia/Taipei,,closedApp,threads,1749435445.023005,,
False,Asia/Taipei,,dismissedAppOpening,threads,1749435445.023005,,
False,Asia/Taipei,,openedApp,threads,1749435387.060855,,
False,Asia/Taipei,,closedApp,threads,1749435447.060855,,
False,Asia/Taipei,,dismissedAppOpening,threads,1749435447.060855,,
False,Asia/Taipei,breathingExercise,dismissedAppOpening,threads,1749435574.668678,6.0,
False,Asia/Taipei,breathingExercise,dismissedAppOpening,threads,1749453197.4434981,6.0,
False,Asia/Taipei,,openedApp,threads,1749453437.20111,,
False,Asia/Taipei,,closedApp,threads,1749453497.20111,,
False,Asia/Taipei,,dismissedAppOpening,threads,1749453497.20111,,
False,Asia/Taipei,,openedApp,instagram,1749460652.7716022,,
False,Asia/Taipei,,closedApp,instagram,1749460712.7716022,,
False,Asia/Taipei,,dismissedAppOpening,instagram,1749460712.7716022,,
False,Asia/Taipei,breathingExercise,openedApp,instagram,1749460750.3676162,6.0,跟上動態
False,Asia/Taipei,breathingExercise,openedApp,instagram,1749469231.864053,6.0,跟上動態
False,Asia/Taipei,breathingExercise,openedApp,threads,1749469333.166163,6.0,跟上動態
False,Asia/Taipei,breathingExercise,openedApp,threads,1749469680.9684,6.0,跟上動態
False,Asia/Taipei,breathingExercise,openedApp,threads,1749471006.802861,6.0,跟上動態
False,Asia/Taipei,breathingExercise,dismissedAppOpening,instagram,1749474331.956791,6.0,
False,Asia/Taipei,breathingExercise,openedApp,facebook,1749479003.2486482,6.0,跟上動態
False,Asia/Taipei,breathingExercise,openedApp,threads,1749522342.041549,6.0,跟上動態
False,Asia/Taipei,breathingExercise,openedApp,threads,1749522726.571522,6.0,跟上動態
False,Asia/Taipei,breathingExercise,dismissedAppOpening,threads,1749522727.15559,6.0,
False,Asia/Taipei,breathingExercise,openedApp,745643B5-1A1A-403F-93B3-7424801F2C2E,1749530933.235681,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,threads,1749531751.997373,6.0,跟上動態
False,Asia/Taipei,breathingExercise,openedApp,threads,1749538178.962758,6.0,跟上動態
False,Asia/Taipei,breathingExercise,openedApp,threads,1749546628.749916,6.0,跟上動態
False,Asia/Taipei,breathingExercise,dismissedAppOpening,threads,1749547240.734076,6.0,
False,Asia/Taipei,breathingExercise,openedApp,threads,1749547262.0255752,6.0,跟上動態
False,Asia/Taipei,breathingExercise,openedApp,instagram,1749551021.646225,6.0,跟上動態
False,Asia/Taipei,breathingExercise,openedApp,threads,1749558997.650312,6.0,跟上動態
False,Asia/Taipei,breathingExercise,openedApp,facebook,1749561657.255556,6.0,跟上動態
False,Asia/Taipei,breathingExercise,openedApp,threads,1749561780.048792,6.0,跟上動態
False,Asia/Taipei,breathingExercise,openedApp,745643B5-1A1A-403F-93B3-7424801F2C2E,1749564624.053097,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,745643B5-1A1A-403F-93B3-7424801F2C2E,1749566198.824862,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,745643B5-1A1A-403F-93B3-7424801F2C2E,1749566941.450142,6.0,娛樂
False,Asia/Taipei,breathingExercise,dismissedAppOpening,instagram,1749567131.476781,6.0,
False,Asia/Taipei,breathingExercise,openedApp,instagram,1749567152.328961,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,threads,1749567446.766298,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,745643B5-1A1A-403F-93B3-7424801F2C2E,1749570231.820281,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,instagram,1749571292.703278,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,threads,1749571437.10467,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,threads,1749572135.170702,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,instagram,1749576994.868933,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,facebook,1749598328.224004,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,threads,1749598442.2827082,6.0,跟上動態
False,Asia/Taipei,breathingExercise,openedApp,threads,1749599671.116091,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,instagram,1749600154.565336,6.0,跟上動態
False,Asia/Taipei,breathingExercise,dismissedAppOpening,threads,1749603161.714978,6.0,
False,Asia/Taipei,,openedApp,instagram,1749622068.6839929,,
False,Asia/Taipei,,closedApp,instagram,1749622368.683994,,
False,Asia/Taipei,,dismissedAppOpening,instagram,1749622368.683994,,
False,Asia/Taipei,breathingExercise,openedApp,745643B5-1A1A-403F-93B3-7424801F2C2E,1749641587.968021,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,745643B5-1A1A-403F-93B3-7424801F2C2E,1749643846.77792,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,threads,1749652134.858583,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,openedApp,threads,1749655860.77909,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,openedApp,threads,1749656850.246356,6.0,娛樂
False,Asia/Taipei,breathingExercise,dismissedAppOpening,threads,1749697660.8931088,6.0,
False,Asia/Taipei,breathingExercise,openedApp,threads,1749710538.131452,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,745643B5-1A1A-403F-93B3-7424801F2C2E,1749727752.059077,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,745643B5-1A1A-403F-93B3-7424801F2C2E,1749732896.591148,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,745643B5-1A1A-403F-93B3-7424801F2C2E,1749733821.085524,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,threads,1749735672.9293342,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,threads,1749740289.397918,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,threads,1749744763.688815,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,openedApp,instagram,1749745909.254987,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,threads,1749776398.551311,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,threads,1749786479.614222,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,threads,1749791197.2654061,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,threads,1749797923.994492,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,openedApp,threads,1749798330.8600578,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,dismissedAppOpening,threads,1749806459.594325,6.0,
False,Asia/Taipei,breathingExercise,openedApp,threads,1749806480.769249,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,openedApp,745643B5-1A1A-403F-93B3-7424801F2C2E,1749812240.408144,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,openedApp,threads,1749820272.236249,6.0,娛樂
False,Asia/Taipei,breathingExercise,dismissedAppOpening,threads,1749820272.4197102,6.0,
False,Asia/Taipei,breathingExercise,openedApp,instagram,1749826179.501807,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,threads,1749826776.2991428,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,745643B5-1A1A-403F-93B3-7424801F2C2E,1749831213.9746242,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,instagram,1749833018.153054,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,threads,1749861498.950979,6.0,跟上動態
False,Asia/Taipei,breathingExercise,openedApp,threads,1749862118.290173,6.0,娛樂
False,Asia/Taipei,breathingExercise,dismissedAppOpening,threads,1749862118.774076,6.0,
False,Asia/Taipei,breathingExercise,openedApp,threads,1749866257.567596,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,threads,1749866719.47199,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,openedApp,facebook,1749873360.6065822,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,dismissedAppOpening,threads,1749880723.0805879,6.0,
False,Asia/Taipei,breathingExercise,openedApp,threads,1749880748.264472,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,745643B5-1A1A-403F-93B3-7424801F2C2E,1749883687.479949,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,instagram,1749884199.4451652,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,instagram,1749886823.799669,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,openedApp,threads,1749887605.93589,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,openedApp,745643B5-1A1A-403F-93B3-7424801F2C2E,1749890219.37694,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,745643B5-1A1A-403F-93B3-7424801F2C2E,1749895855.6622481,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,dismissedAppOpening,threads,1749897304.193314,6.0,
False,Asia/Taipei,breathingExercise,openedApp,threads,1749902124.3492131,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,instagram,1749913691.4495301,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,openedApp,threads,1749914117.4490418,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,openedApp,threads,1749922030.033843,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,openedApp,threads,1749947500.136115,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,openedApp,facebook,1749959534.985389,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,openedApp,threads,1749962822.889992,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,dismissedAppOpening,threads,1749980839.191502,6.0,
False,Asia/Taipei,breathingExercise,openedApp,threads,1749981530.228785,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,openedApp,threads,1749982814.4785461,6.0,無聊
False,Asia/Taipei,breathingExercise,openedApp,threads,1749984599.4735742,6.0,逃避 / 避免
False,Asia/Taipei,,openedApp,threads,1749985289.590466,,
False,Asia/Taipei,,closedApp,threads,1749985589.590467,,
False,Asia/Taipei,,dismissedAppOpening,threads,1749985589.590467,,
False,Asia/Taipei,breathingExercise,openedApp,threads,1749985608.2963018,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,threads,1749986795.616426,6.0,無聊
False,Asia/Taipei,breathingExercise,openedApp,745643B5-1A1A-403F-93B3-7424801F2C2E,1749993319.9417439,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,instagram,1749997927.385324,6.0,無聊
False,Asia/Taipei,breathingExercise,dismissedAppOpening,instagram,1750035448.333353,6.0,
False,Asia/Taipei,breathingExercise,openedApp,instagram,1750035473.468999,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,instagram,1750035970.924989,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,threads,1750037220.7574,6.0,逃避 / 避免
False,Asia/Taipei,breathingExercise,openedApp,threads,1750075656.419127,6.0,娛樂
False,Asia/Taipei,breathingExercise,openedApp,745643B5-1A1A-403F-93B3-7424801F2C2E,1750078625.035285,6.0,無聊
False,Asia/Taipei,breathingExercise,openedApp,threads,1750085741.911893,6.0,無聊
False,Asia/Taipei,breathingExercise,dismissedAppOpening,threads,1750085742.3788881,6.0,
