interventionDuration,timezone,interventionType,resolution,app,isReIntervention,timestamp
,America/Toronto,,closedApp,instagram,False,1749752761.605377
,America/Toronto,,closedApp,instagram,False,1749753544.4731731
,America/Toronto,,closedApp,instagram,False,1749753602.3805761
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749754363.271858
,America/Toronto,,closedApp,instagram,False,1749754364.00238
,America/Toronto,,closedApp,instagram,False,1749756049.1547089
,America/Toronto,,closedApp,instagram,False,1749756845.291467
,America/Toronto,,closedApp,instagram,False,1749758252.139781
,America/Toronto,,closedApp,instagram,False,1749758256.554131
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749780091.368123
,America/Toronto,,closedApp,instagram,False,1749780092.868542
,America/Toronto,,closedApp,instagram,False,1749780557.398145
,America/Toronto,,closedApp,instagram,False,1749780564.062378
,America/Toronto,,closedApp,instagram,False,1749780567.7011762
,America/Toronto,,closedApp,instagram,False,1749781690.008857
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749809134.839061
,America/Toronto,,closedApp,instagram,False,1749809135.31299
,America/Toronto,,closedApp,instagram,False,1749809292.827244
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749819541.798326
,America/Toronto,,closedApp,instagram,False,1749819543.2183409
,America/Toronto,,closedApp,instagram,False,1749819563.0294352
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749828997.071531
,America/Toronto,,closedApp,instagram,False,1749828997.648499
,America/Toronto,,closedApp,instagram,False,1749829017.168457
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749832384.991293
,America/Toronto,,closedApp,instagram,False,1749832385.595823
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749846935.5316958
,America/Toronto,,closedApp,instagram,False,1749846937.430313
,America/Toronto,,closedApp,instagram,False,1749847056.55985
,America/Toronto,,closedApp,instagram,False,1749847134.135611
,America/Toronto,,closedApp,instagram,False,1749847143.321584
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749848043.014697
,America/Toronto,,closedApp,instagram,False,1749848044.845654
,America/Toronto,,closedApp,instagram,False,1749848889.691042
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749852210.712338
6.0,America/Toronto,breathingExercise,dismissedAppOpening,instagram,False,1749857717.802273
,America/Toronto,,closedApp,instagram,False,1749852212.8189402
,America/Toronto,,closedApp,instagram,False,1749855044.044028
,America/Toronto,,closedApp,instagram,False,1749855394.0029402
,America/Toronto,,closedApp,instagram,False,1749856469.8806028
,America/Toronto,,closedApp,instagram,False,1749856504.533505
,America/Toronto,,closedApp,instagram,False,1749856638.814348
,America/Toronto,,closedApp,instagram,False,1749857731.2521682
,America/Toronto,,closedApp,instagram,False,1749859574.431968
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749866255.207848
,America/Toronto,,closedApp,instagram,False,1749866256.859233
,America/Toronto,,closedApp,instagram,False,1749870643.5054688
,America/Toronto,,closedApp,instagram,False,1749870646.986649
,America/Toronto,,closedApp,instagram,False,1749872145.54407
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749874083.86193
,America/Toronto,,closedApp,instagram,False,1749874085.22549
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749920386.143956
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749931425.313993
,America/Toronto,,closedApp,instagram,False,1749920387.596313
,America/Toronto,,closedApp,instagram,False,1749920715.443622
,America/Toronto,,closedApp,instagram,False,1749931427.1277409
,America/Toronto,,closedApp,instagram,False,1749931550.674134
,America/Toronto,,closedApp,instagram,False,1749937003.587963
,America/Toronto,,closedApp,instagram,False,1749937656.79988
,America/Toronto,,closedApp,instagram,False,1749937661.258498
,America/Toronto,,closedApp,instagram,False,1749937687.518992
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749945071.5455232
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749954625.753634
,America/Toronto,,closedApp,instagram,False,1749945073.30568
,America/Toronto,,closedApp,instagram,False,1749945090.811652
,America/Toronto,,closedApp,instagram,False,1749945092.947764
,America/Toronto,,closedApp,instagram,False,1749945094.0174232
,America/Toronto,,closedApp,instagram,False,1749945133.345341
,America/Toronto,,closedApp,instagram,False,1749945262.415806
,America/Toronto,,closedApp,instagram,False,1749945282.906297
,America/Toronto,,closedApp,instagram,False,1749954626.369811
,America/Toronto,,closedApp,instagram,False,1749956746.3269892
,America/Toronto,,closedApp,instagram,False,1749956810.2485309
,America/Toronto,,closedApp,instagram,False,1749957145.3598099
,America/Toronto,,closedApp,instagram,False,1749957567.5040689
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749957668.843291
,America/Toronto,,closedApp,instagram,False,1749957669.397266
6.0,America/Toronto,breathingExercise,dismissedAppOpening,instagram,False,1749958218.9636889
,America/Toronto,,closedApp,instagram,False,1749957718.658341
6.0,America/Toronto,breathingExercise,dismissedAppOpening,instagram,False,1749958222.9815779
,America/Toronto,,closedApp,instagram,False,1749958421.002551
,America/Toronto,,closedApp,instagram,False,1749958473.579862
,America/Toronto,,closedApp,instagram,False,1749958507.673058
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749958765.091625
,America/Toronto,,closedApp,instagram,False,1749958765.988336
,America/Toronto,,closedApp,instagram,False,1749958857.458961
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749959259.086598
,America/Toronto,,closedApp,instagram,False,1749959261.29614
,America/Toronto,,closedApp,instagram,False,1749959911.085768
,America/Toronto,,closedApp,instagram,False,1749960330.007535
,America/Toronto,,closedApp,instagram,False,1749960358.625619
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1749997921.913897
,America/Toronto,,closedApp,instagram,False,1749997922.501917
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1750001268.2002702
,America/Toronto,,closedApp,instagram,False,1750001268.71446
,America/Toronto,,closedApp,instagram,False,1750006713.237756
,America/Toronto,,closedApp,instagram,False,1750006715.938074
,America/Toronto,,closedApp,instagram,False,1750006755.79392
,America/Toronto,,closedApp,instagram,False,1750009893.734993
,America/Toronto,,closedApp,instagram,False,1750010067.893629
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1750021546.825584
,America/Toronto,,closedApp,instagram,False,1750021547.50681
,America/Toronto,,closedApp,instagram,False,1750021571.916212
,America/Toronto,,closedApp,instagram,False,1750021992.7652268
,America/Toronto,,closedApp,instagram,False,1750022347.051557
,America/Toronto,,closedApp,instagram,False,1750028519.0301108
,America/Toronto,,closedApp,instagram,False,1750028600.759006
,America/Toronto,,closedApp,instagram,False,1750028608.369451
,America/Toronto,,closedApp,instagram,False,1750029006.182514
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1750029277.7494168
,America/Toronto,,closedApp,instagram,False,1750029279.303009
,America/Toronto,,closedApp,instagram,False,1750029369.74614
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1750030960.4578562
,America/Toronto,,closedApp,instagram,False,1750030962.0191731
,America/Toronto,,closedApp,instagram,False,1750036884.252277
,America/Toronto,,closedApp,instagram,False,1750037351.7620401
,America/Toronto,,closedApp,instagram,False,1750039248.422653
,America/Toronto,,closedApp,instagram,False,1750039295.909663
,America/Toronto,,closedApp,instagram,False,1750039361.703545
,America/Toronto,,closedApp,instagram,False,1750039364.9191961
6.0,America/Toronto,breathingExercise,dismissedAppOpening,instagram,False,1750085813.475659
6.0,America/Toronto,breathingExercise,dismissedAppOpening,instagram,False,1750085834.807473
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1750092172.331747
,America/Toronto,,closedApp,instagram,False,1750085845.7562141
,America/Toronto,,closedApp,instagram,False,1750092172.874208
,America/Toronto,,closedApp,instagram,False,1750092201.671976
,America/Toronto,,closedApp,instagram,False,1750092206.543003
,America/Toronto,,closedApp,instagram,False,1750092274.942375
,America/Toronto,,closedApp,instagram,False,1750092275.6674871
,America/Toronto,,closedApp,instagram,False,1750092302.7659202
,America/Toronto,,closedApp,instagram,False,1750093530.545743
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1750093577.9695249
6.0,America/Toronto,breathingExercise,dismissedAppOpening,instagram,False,1750101879.731966
,America/Toronto,,closedApp,instagram,False,1750093755.8130941
,America/Toronto,,closedApp,instagram,False,1750093756.131937
,America/Toronto,,closedApp,instagram,False,1750093756.5310922
,America/Toronto,,closedApp,instagram,False,1750098765.747212
,America/Toronto,,closedApp,instagram,False,1750098781.565566
,America/Toronto,,closedApp,instagram,False,1750098788.365364
,America/Toronto,,closedApp,instagram,False,1750098852.048964
,America/Toronto,,closedApp,instagram,False,1750098987.263458
,America/Toronto,,closedApp,instagram,False,1750099361.711897
,America/Toronto,,closedApp,instagram,False,1750099373.115601
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1750102162.826892
6.0,America/Toronto,breathingExercise,openedApp,instagram,False,1750128180.2790508
,America/Toronto,,closedApp,instagram,False,1750102164.693445
,America/Toronto,,closedApp,instagram,False,1750102651.747874
,America/Toronto,,closedApp,instagram,False,1750103759.724777
,America/Toronto,,closedApp,instagram,False,1750103777.7584682
,America/Toronto,,closedApp,instagram,False,1750103917.1611571
,America/Toronto,,closedApp,instagram,False,1750128185.5089412
