timezone,resolution,timestamp,interventionDuration,app,interventionType,isReIntervention,timeIntervalUntilReIntervention,purpose
Australia/Melbourne,openedApp,1750337853.713348,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750338115.998537,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1750338150.82791,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1750338185.271854,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,dismissedAppOpening,1750338286.977431,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750338227.940318,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1750338292.2090921,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1750338312.631758,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,dismissedAppOpening,1750364829.259474,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750338326.554439,,tikTok,,False,,
Australia/Melbourne,openedApp,1750395648.796457,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750395741.705683,,tikTok,,False,,
Australia/Melbourne,closedApp,1750395947.243655,,tikTok,,False,,
Australia/Melbourne,openedApp,1750418811.334505,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750420398.2916431,,tikTok,,False,,
Australia/Melbourne,closedApp,1750421519.122206,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1750455709.995432,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,dismissedAppOpening,1750456116.3416781,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1750473794.5638108,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750473990.399599,,tikTok,,False,,
Australia/Melbourne,openedApp,1750492613.5617971,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750492868.299549,,tikTok,,False,,
Australia/Melbourne,openedApp,1750495028.086818,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750495043.984523,,tikTok,,False,,
Australia/Melbourne,openedApp,1750498664.5921159,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750499144.673059,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1750499205.789834,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1750499266.909461,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750499454.980514,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1750499660.88798,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,dismissedAppOpening,1750499737.527991,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,dismissedAppOpening,1750499741.051032,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1750514697.543608,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750515210.386623,,tikTok,,False,,
Australia/Melbourne,openedApp,1750550372.521093,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750550624.3839211,,tikTok,,False,,
Australia/Melbourne,openedApp,1750559245.78812,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750559486.305067,,tikTok,,False,,
Australia/Melbourne,openedApp,1750559536.089376,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750560713.62639,,tikTok,,False,,
Australia/Melbourne,openedApp,1750560816.421238,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750561288.569629,,tikTok,,False,,
Australia/Melbourne,openedApp,1750576649.4912739,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1750577405.344077,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,dismissedAppOpening,1750599007.4290218,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750576972.0447679,,tikTok,,False,,
Australia/Melbourne,closedApp,1750577202.567472,,tikTok,,False,,
Australia/Melbourne,closedApp,1750578976.646914,,tikTok,,False,,
Australia/Melbourne,openedApp,1750655597.460689,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750657948.168994,,tikTok,,False,,
Australia/Melbourne,openedApp,1750675891.943304,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750676151.5472531,,tikTok,,False,,
Australia/Melbourne,openedApp,1750676364.537209,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750676725.8807092,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1750676843.068492,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,dismissedAppOpening,1750676847.5023298,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1750677599.127965,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1750728849.7383351,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750729009.114649,,tikTok,,False,,
Australia/Melbourne,openedApp,1750729687.124401,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750730279.520889,,tikTok,,False,,
Australia/Melbourne,openedApp,1750730550.235828,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750732642.769897,,tikTok,,False,,
Australia/Melbourne,openedApp,1750734101.833332,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750734853.734006,,tikTok,,False,,
Australia/Melbourne,closedApp,1750735314.494646,,tikTok,,False,,
Australia/Melbourne,openedApp,1750764770.937834,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1750836254.758045,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750836403.232456,,tikTok,,False,,
Australia/Melbourne,closedApp,1750836469.377491,,tikTok,,False,,
Australia/Melbourne,closedApp,1750836725.645471,,tikTok,,False,,
Australia/Melbourne,openedApp,1750842438.5946321,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750843467.692734,,tikTok,,False,,
Australia/Melbourne,closedApp,1750843966.567101,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1750843976.278681,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1750843994.015778,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750844096.441495,,tikTok,,False,,
Australia/Melbourne,openedApp,1750844139.088583,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750845160.364337,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1750845224.862831,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1750846534.305064,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750846629.48195,,tikTok,,False,,
Australia/Melbourne,closedApp,1750848224.159985,,tikTok,,False,,
Australia/Melbourne,openedApp,1750848440.117799,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750848571.516973,,tikTok,,False,,
Australia/Melbourne,closedApp,1750849140.045813,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1750850050.185944,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1750850477.583755,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750850520.305762,,tikTok,,False,,
Australia/Melbourne,dismissedAppOpening,1750850570.027467,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,dismissedAppOpening,1750908201.319355,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,openedApp,1750926781.413235,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750927146.770234,,tikTok,,False,,
Australia/Melbourne,closedApp,1750927262.575572,,tikTok,,False,,
Australia/Melbourne,closedApp,1750927462.601831,,tikTok,,False,,
Australia/Melbourne,openedApp,1750934869.1542091,6.0,tikTok,breathingExercise,False,,
Australia/Melbourne,closedApp,1750934930.020864,,tikTok,,False,,
