timestamp,interventionType,timezone,isReIntervention,app,resolution,interventionDuration
1751973996.431987,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1751975864.9868798,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1751976124.859647,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1751982495.6717448,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1751982522.464552,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1751982571.9786801,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1751983385.461509,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1751983468.2902179,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1751985772.58632,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1751986344.825512,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1751986349.657743,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1751987270.244988,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1751987305.0580878,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1752013080.319648,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1752013096.662724,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1752050478.384853,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1752050694.596321,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1752054565.9901118,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1752057170.488778,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1752059012.057615,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1752059536.449462,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1752059613.139127,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1752061148.653466,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1752062593.052608,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1752063667.2306461,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1752064742.00947,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1752091067.617517,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1752094161.669011,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1754040225.206458,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1754049621.550055,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1754076191.678876,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1754081683.924474,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1754083894.5847101,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1754086131.3855329,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1754125450.2411098,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1754150034.602823,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1754151047.023556,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1754159043.8233829,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1754164089.952949,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1754164161.997764,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1754164916.317634,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1754166189.789748,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1754166192.609093,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1754224276.4259791,breathingExercise,Europe/Amsterdam,False,instagram,openedApp,6
1754225119.327122,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1754289364.525971,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
1754289519.363447,breathingExercise,Europe/Amsterdam,False,instagram,dismissedAppOpening,6
