resolution,timezone,timestamp,interventionType,isReIntervention,interventionDuration,app
openedApp,America/Mexico_City,1750002994.196012,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750008017.678783,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750019153.0384269,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750019338.012429,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750021368.5361362,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750022961.237443,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750028272.851338,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750028475.889556,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750028792.9803782,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750028900.905477,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750030131.414016,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750030148.087039,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750030221.456948,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750030665.524915,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750037021.6196442,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750037163.194718,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750040522.464418,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750041590.773392,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750044353.210081,breathingExercise,False,6,instagram
dismissedAppOpening,America/Mexico_City,1750045292.947849,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750064448.95136,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750064914.915462,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750084703.2156482,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750086765.357362,breathingExercise,False,6,instagram
openedApp,America/Mexico_City,1750093224.8710551,breathingExercise,False,6,instagram
