interventionDuration,app,resolution,isReIntervention,timezone,interventionType,timestamp,timeIntervalUntilReIntervention,purpose
,instagram,closedApp,False,Asia/Kolkata,,1751167560.624465,,
6.0,instagram,openedApp,True,Asia/Kolkata,breathingExercise,1751167574.920237,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751167923.773078,,
6.0,instagram,openedApp,True,Asia/Kolkata,breathingExercise,1751167937.759544,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751168038.8458939,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751168070.130187,180.0,
,instagram,closedApp,False,Asia/Kolkata,,1751168182.563004,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751168211.619106,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751168337.101227,,
6.0,instagram,dismissedAppOpening,True,Asia/Kolkata,breathingExercise,1751170983.703711,,
,instagram,closedApp,False,Asia/Kolkata,,1751172755.499707,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751188511.986116,120.0,
,instagram,closedApp,False,Asia/Kolkata,,1751188638.419143,,
6.0,instagram,openedApp,True,Asia/Kolkata,breathingExercise,1751188652.927182,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751188957.102221,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751188975.07975,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751189194.537915,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751206607.727726,,
,instagram,closedApp,False,Asia/Kolkata,,1751210586.492557,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,journaling,1751210952.774185,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751220536.112112,120.0,
,instagram,closedApp,False,Asia/Kolkata,,1751220636.230504,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751222611.5179029,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751222630.8466868,,
,instagram,closedApp,False,Asia/Kolkata,,1751222649.6223512,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751222672.9387422,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751222869.849941,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751222965.382818,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751223272.6977038,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751223469.280009,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751223494.746012,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751225065.093081,60.0,
,instagram,closedApp,False,Asia/Kolkata,,1751225130.9020061,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751255728.36379,,
,instagram,closedApp,False,Asia/Kolkata,,1751284893.10955,,
6.0,instagram,openedApp,True,Asia/Kolkata,breathingExercise,1751284906.439965,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751285208.478615,,
6.0,instagram,openedApp,True,Asia/Kolkata,breathingExercise,1751285221.791048,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751285526.5678558,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751303146.095128,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751303335.33585,,
,instagram,closedApp,False,Asia/Kolkata,,1751303420.213375,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751304520.145545,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751304570.6704211,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751341299.95956,120.0,
,instagram,closedApp,False,Asia/Kolkata,,1751341323.6235142,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751341519.6800761,120.0,
,instagram,closedApp,False,Asia/Kolkata,,1751341645.5949411,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751342051.9526649,60.0,
,instagram,closedApp,False,Asia/Kolkata,,1751342116.822626,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751347652.612033,180.0,
,instagram,closedApp,False,Asia/Kolkata,,1751347803.4570131,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751347855.021853,,
,instagram,closedApp,False,Asia/Kolkata,,1751369564.823199,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751369583.8314219,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751369883.731489,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751380580.296321,240.0,
,instagram,closedApp,False,Asia/Kolkata,,1751380606.6486979,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751425358.298499,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751425395.148758,,
,instagram,closedApp,False,Asia/Kolkata,,1751426142.770177,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751446866.844753,300.0,
,instagram,closedApp,False,Asia/Kolkata,,1751446982.514786,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751458809.107877,180.0,
,instagram,closedApp,False,Asia/Kolkata,,1751458901.5355449,,
,instagram,closedApp,False,Asia/Kolkata,,1751458951.576089,,
,instagram,dismissedAppOpening,False,Asia/Kolkata,journaling,1751458982.644701,,
6.0,instagram,dismissedAppOpening,False,Asia/Kolkata,breathingExercise,1751458999.333528,,
6.0,instagram,openedApp,False,Asia/Kolkata,breathingExercise,1751459560.00805,300.0,
