interventionType,app,interventionDuration,timestamp,isReIntervention,resolution,timezone,purpose
,youtube,,1748955544.8498821,False,closedApp,Asia/Kolkata,
,youtube,,1748981513.5296102,False,closedApp,Asia/Kolkata,
,youtube,,1749014731.51541,False,closedApp,Asia/Kolkata,
,youtube,,1749014790.1074781,False,closedApp,Asia/Kolkata,
,youtube,,1749015068.180788,False,closedApp,Asia/Kolkata,
,youtube,,1749016568.576675,False,closedApp,Asia/Kolkata,
,youtube,,1749028403.162493,False,closedApp,Asia/Kolkata,
,youtube,,1749035508.903856,False,closedApp,Asia/Kolkata,
,youtube,,1749056808.6402879,False,closedApp,Asia/Kolkata,
,youtube,,1749059984.296525,False,closedApp,Asia/Kolkata,
,youtube,,1749062429.3472362,False,closedApp,Asia/Kolkata,
,youtube,,1749063981.425962,False,closedApp,Asia/Kolkata,
,youtube,,1749068548.2970052,False,closedApp,Asia/Kolkata,
,youtube,,1749071198.8915591,False,closedApp,Asia/Kolkata,
,youtube,,1749071219.853818,False,closedApp,Asia/Kolkata,
,youtube,,1749071263.24508,False,closedApp,Asia/Kolkata,
,youtube,,1749071278.683738,False,closedApp,Asia/Kolkata,
,youtube,,1749071304.746691,False,closedApp,Asia/Kolkata,
,youtube,,1749071386.730036,False,closedApp,Asia/Kolkata,
,youtube,,1749071406.207903,False,closedApp,Asia/Kolkata,
,youtube,,1749071429.5267,False,closedApp,Asia/Kolkata,
,youtube,,1749071435.345541,False,closedApp,Asia/Kolkata,
,youtube,,1749071440.657495,False,closedApp,Asia/Kolkata,
,youtube,,1749071443.6260018,False,closedApp,Asia/Kolkata,
,youtube,,1749071451.724196,False,closedApp,Asia/Kolkata,
,youtube,,1749071453.056119,False,closedApp,Asia/Kolkata,
,youtube,,1749071463.676052,False,closedApp,Asia/Kolkata,
,youtube,,1749071507.376512,False,closedApp,Asia/Kolkata,
,youtube,,1749071510.428355,False,closedApp,Asia/Kolkata,
,youtube,,1749072855.845027,False,closedApp,Asia/Kolkata,
,youtube,,1749072865.9606252,False,closedApp,Asia/Kolkata,
,youtube,,1749072866.457735,False,closedApp,Asia/Kolkata,
,youtube,,1749072878.767838,False,closedApp,Asia/Kolkata,
,youtube,,1749073031.671544,False,closedApp,Asia/Kolkata,
,youtube,,1749073270.073238,False,closedApp,Asia/Kolkata,
,youtube,,1749073510.345109,False,closedApp,Asia/Kolkata,
,youtube,,1749074107.902097,False,closedApp,Asia/Kolkata,
,youtube,,1749074219.515174,False,closedApp,Asia/Kolkata,
,youtube,,1749074296.133704,False,closedApp,Asia/Kolkata,
,youtube,,1749074603.525741,False,closedApp,Asia/Kolkata,
,youtube,,1749122226.4191961,False,closedApp,Asia/Kolkata,
,youtube,,1749122232.1626348,False,closedApp,Asia/Kolkata,
,youtube,,1749122709.658667,False,closedApp,Asia/Kolkata,
,youtube,,1749127965.5575628,False,closedApp,Asia/Kolkata,
,youtube,,1749129079.964299,False,closedApp,Asia/Kolkata,
,youtube,,1749135077.8142881,False,closedApp,Asia/Kolkata,
,youtube,,1749151150.6156101,False,closedApp,Asia/Kolkata,
,youtube,,1749152628.366562,False,closedApp,Asia/Kolkata,
,youtube,,1749153218.2805429,False,closedApp,Asia/Kolkata,
,youtube,,1749206665.275207,False,closedApp,Asia/Kolkata,
,youtube,,1749217291.2744431,False,closedApp,Asia/Kolkata,
,youtube,,1749233997.3807402,False,closedApp,Asia/Kolkata,
,youtube,,1749234547.39591,False,closedApp,Asia/Kolkata,
,youtube,,1749235801.6996322,False,closedApp,Asia/Kolkata,
,youtube,,1749236005.322288,False,closedApp,Asia/Kolkata,
,youtube,,1749238014.3175511,False,closedApp,Asia/Kolkata,
,youtube,,1749239553.898709,False,closedApp,Asia/Kolkata,
,youtube,,1749240783.7248921,False,closedApp,Asia/Kolkata,
,youtube,,1749241303.456839,False,closedApp,Asia/Kolkata,
,youtube,,1749245179.320934,False,closedApp,Asia/Kolkata,
breathingExercise,youtube,6.0,1749268514.457137,False,openedApp,Asia/Kolkata,Escape / Avoid
,youtube,,1749268523.608572,False,closedApp,Asia/Kolkata,
,youtube,,1749269314.029774,False,closedApp,Asia/Kolkata,
breathingExercise,youtube,6.0,1749270364.653823,False,dismissedAppOpening,Asia/Kolkata,
breathingExercise,youtube,6.0,1749270514.37998,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749279707.940806,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749283787.1142879,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749326873.1028929,False,openedApp,Asia/Kolkata,Escape / Avoid
breathingExercise,youtube,6.0,1749331110.087256,False,openedApp,Asia/Kolkata,Escape / Avoid
