timezone,interventionType,isReIntervention,interventionDuration,resolution,timestamp,purpose,app,timeIntervalUntilReIntervention
Asia/Bishkek,breathingExercise,False,6,openedApp,1751433533.3392758,Message,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751439018.8187551,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751439058.893934,dm,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751439265.665152,dm,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751442381.509839,dm,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751443646.717875,dm,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751450763.27964,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751450765.2215362,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751450766.778141,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751451082.896342,stories,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751459477.089847,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751459479.910783,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751460366.5400472,dm,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751462970.719469,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751465640.831712,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751465643.8943129,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751467192.824113,dm,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751470451.964108,dm,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751475068.686686,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751501025.09077,stories,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751517642.654186,dm,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751518427.625443,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751518492.400054,дм,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751519049.3429952,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751524596.180367,dm,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751526471.6761842,dm,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751528145.4393091,dm,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751529029.2213778,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751529044.351235,ди,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751530290.679044,дм,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751530519.645813,иснт,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751534412.943126,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751534431.301697,ди,instagram,720.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751535160.0668368,дм,instagram,600.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751535821.8707929,dm,instagram,360.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751537244.2034001,dm,instagram,360.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751537584.282017,dm,instagram,300.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751538257.334536,dm,instagram,300.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751538600.024139,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751539459.129582,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751540392.901145,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751540958.6752582,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751547464.0574489,дм,instagram,600.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751549359.523683,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751549763.143801,dm,instagram,600.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751554641.251831,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751554658.3806748,dm,instagram,600.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1751555280.923194,dm,instagram,540.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1751555845.9943628,dm,instagram,660.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1751556530.972781,reels,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751557740.4187841,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751558358.725249,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751606583.6389298,dm,instagram,540.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1751607144.3554401,inst,instagram,360.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751611097.311177,dm,instagram,480.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1751611667.135772,рилс,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751617125.047312,dm,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751620702.8566241,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751621174.545566,reels,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751622227.1167421,inst,instagram,360.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751629894.522842,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751638020.37184,story,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751641220.222522,стори,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751641529.1990318,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751644731.0501652,дм,instagram,480.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751652310.4662108,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751690677.3484,story,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751694373.011096,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751694374.643189,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751700679.7296062,dm,instagram,540.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1751701304.758439,dm,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751706481.592812,story,instagram,480.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1751706986.368263,reels,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751710355.8349252,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751712429.957295,dm,instagram,720.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751714073.479301,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751714075.171612,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751716235.738038,dm,instagram,600.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751717118.69414,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751717955.9760308,dmss,instagram,300.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751718186.9469938,dm,instagram,540.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751719088.5747619,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751720330.6006641,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751720982.1865082,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751721521.824666,dm,instagram,360.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751721812.466454,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751723384.4235759,дм,instagram,660.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751723599.432822,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751724503.8029552,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751737841.945603,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751740535.680595,,instagram,
Asia/Bishkek,breathingExercise,False,6,openedApp,1751780622.867976,dm,instagram,480.0
Asia/Bishkek,breathingExercise,True,6,openedApp,1751781177.4051719,dm,instagram,360.0
Asia/Bishkek,breathingExercise,False,6,openedApp,1751781566.0925488,dm,instagram,420.0
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751790786.196693,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751791553.711903,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751799266.856863,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751799268.171799,,instagram,
Asia/Bishkek,breathingExercise,False,6,dismissedAppOpening,1751801959.888157,,instagram,
