interventionType,isReIntervention,timezone,interventionDuration,timestamp,resolution,app,purpose,timeIntervalUntilReIntervention
breathingExercise,False,Asia/Kolkata,6.0,1752474237.0514169,openedApp,youtube,Search Info,
breathingExercise,False,Asia/Kolkata,6.0,1752478976.276459,openedApp,youtube,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752479357.989758,openedApp,youtube,Relax,
breathingExercise,False,Asia/Kolkata,6.0,1752479805.023911,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752479944.077417,openedApp,youtube,Escape / Avoid,
,False,Asia/Kolkata,,1752480187.311825,openedApp,youtube,,
,False,Asia/Kolkata,,1752480307.311825,closedApp,youtube,,
,False,Asia/Kolkata,,1752480307.311825,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752481113.487937,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1752481373.9339662,openedApp,youtube,Need to check,
breathingExercise,False,Asia/Kolkata,6.0,1752482706.527677,openedApp,youtube,Relax,
breathingExercise,False,Asia/Kolkata,6.0,1752488251.974447,openedApp,youtube,Bored,
breathingExercise,False,Asia/Kolkata,6.0,1752488519.540351,openedApp,youtube,To learn,
breathingExercise,False,Asia/Kolkata,6.0,1752498188.9544559,openedApp,youtube,Relax,
breathingExercise,False,Asia/Kolkata,6.0,1752498510.886411,openedApp,youtube,Relax,
breathingExercise,False,Asia/Kolkata,6.0,1752498590.656107,openedApp,youtube,Relax,
,False,Asia/Kolkata,,1752498653.015099,openedApp,youtube,,
,False,Asia/Kolkata,,1752498773.0151,closedApp,youtube,,
,False,Asia/Kolkata,,1752498773.0151,dismissedAppOpening,youtube,,
,False,Asia/Kolkata,,1752499841.881528,openedApp,youtube,,
,False,Asia/Kolkata,,1752499961.881528,closedApp,youtube,,
,False,Asia/Kolkata,,1752499961.881528,dismissedAppOpening,youtube,,
,False,Asia/Kolkata,,1752508212.1593242,openedApp,youtube,,
,False,Asia/Kolkata,,1752508332.1593251,closedApp,youtube,,
,False,Asia/Kolkata,,1752508332.1593251,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752511831.088479,openedApp,youtube,To learn,
breathingExercise,False,Asia/Kolkata,6.0,1752514345.6477408,openedApp,youtube,Relax,
,False,Asia/Kolkata,,1752514588.8937569,openedApp,youtube,,
,False,Asia/Kolkata,,1752514708.8937569,closedApp,youtube,,
,False,Asia/Kolkata,,1752514708.8937569,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752515402.686596,openedApp,youtube,Relax,
,False,Asia/Kolkata,,1752515530.994129,openedApp,youtube,,
,False,Asia/Kolkata,,1752515650.9941301,closedApp,youtube,,
,False,Asia/Kolkata,,1752515650.9941301,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752516325.113749,openedApp,youtube,To learn,
breathingExercise,False,Asia/Kolkata,6.0,1752516938.787362,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752543141.5428538,openedApp,youtube,Entertainment,
,False,Asia/Kolkata,,1752543084.554594,openedApp,youtube,,
,False,Asia/Kolkata,,1752543204.554594,closedApp,youtube,,
,False,Asia/Kolkata,,1752543204.554595,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752545454.906101,openedApp,youtube,Relax,
breathingExercise,False,Asia/Kolkata,6.0,1752563238.886674,openedApp,youtube,Relax,
,False,Asia/Kolkata,,1752564097.9123921,openedApp,youtube,,
,False,Asia/Kolkata,,1752564217.912393,closedApp,youtube,,
,False,Asia/Kolkata,,1752564217.912393,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752564347.141252,openedApp,youtube,Relax,
,False,Asia/Kolkata,,1752564606.5324612,openedApp,youtube,,
,False,Asia/Kolkata,,1752564726.5324621,closedApp,youtube,,
,False,Asia/Kolkata,,1752564726.5324621,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752564897.393756,openedApp,youtube,Relax,
breathingExercise,False,Asia/Kolkata,6.0,1752564897.7105079,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752565784.4975681,dismissedAppOpening,youtube,,
breathingExercise,False,Asia/Kolkata,6.0,1752569374.7217689,openedApp,youtube,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752570878.486692,openedApp,youtube,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752571500.311228,openedApp,youtube,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752572640.561382,openedApp,youtube,Entertainment,
breathingExercise,False,Asia/Kolkata,6.0,1752573206.417543,openedApp,youtube,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752574289.5969381,openedApp,youtube,Escape / Avoid,
breathingExercise,False,Asia/Kolkata,6.0,1752580225.2963672,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1752584556.760809,openedApp,youtube,Message,
breathingExercise,False,Asia/Kolkata,6.0,1752584877.399242,openedApp,youtube,Entertainment,
