interventionDuration,isReIntervention,timestamp,app,interventionType,timezone,resolution
6,False,1748550483.012614,youtube,breathingExercise,Europe/Berlin,dismissedAppOpening
6,False,1748565524.64801,youtube,breathingExercise,Europe/Berlin,dismissedAppOpening
6,False,1748594421.312227,youtube,breathingExercise,Europe/Berlin,dismissedAppOpening
