resolution,interventionDuration,interventionType,timestamp,timezone,timeIntervalUntilReIntervention,app,isReIntervention
dismissedAppOpening,6.0,breathingExercise,1752073460.669894,America/Sao_Paulo,,instagram,True
openedApp,6.0,breathingExercise,1752073478.095829,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,breathingExercise,1752073740.409638,America/Sao_Paulo,180.0,instagram,True
dismissedAppOpening,6.0,breathingExercise,1752073914.005097,America/Sao_Paulo,,instagram,True
dismissedAppOpening,6.0,breathingExercise,1752073917.53075,America/Sao_Paulo,,instagram,False
dismissedAppOpening,6.0,breathingExercise,1752073923.5514789,America/Sao_Paulo,,instagram,False
dismissedAppOpening,6.0,breathingExercise,1752073977.4358459,America/Sao_Paulo,,instagram,False
dismissedAppOpening,6.0,breathingExercise,1752073986.29601,America/Sao_Paulo,,instagram,False
openedApp,6.0,breathingExercise,1752074021.792492,America/Sao_Paulo,480.0,instagram,False
openedApp,6.0,askForTimeLimit,1752074257.02909,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752074485.119183,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752074593.589253,America/Sao_Paulo,360.0,instagram,False
openedApp,6.0,askForTimeLimit,1752074679.278459,America/Sao_Paulo,540.0,instagram,False
openedApp,6.0,askForTimeLimit,1752074818.1131759,America/Sao_Paulo,360.0,instagram,False
dismissedAppOpening,6.0,breathingExercise,1752075188.863399,America/Sao_Paulo,,instagram,True
dismissedAppOpening,6.0,breathingExercise,1752075220.0329518,America/Sao_Paulo,,instagram,False
openedApp,6.0,askForTimeLimit,1752075352.556203,America/Sao_Paulo,1080.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752075571.506777,America/Sao_Paulo,900.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752075892.952553,America/Sao_Paulo,1260.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752076107.898254,America/Sao_Paulo,1140.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752076268.773705,America/Sao_Paulo,480.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752076290.275857,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752076503.629658,America/Sao_Paulo,360.0,instagram,False
openedApp,6.0,askForTimeLimit,1752076558.9425092,America/Sao_Paulo,900.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752076782.299181,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752077452.655963,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752077547.299652,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752077992.368545,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752078123.171647,America/Sao_Paulo,1200.0,tikTok,False
openedApp,6.0,breathingExercise,1752079344.997844,America/Sao_Paulo,1380.0,tikTok,True
openedApp,6.0,askForTimeLimit,1752080247.4483519,America/Sao_Paulo,360.0,instagram,False
openedApp,6.0,askForTimeLimit,1752080448.873627,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752080545.864884,America/Sao_Paulo,360.0,instagram,False
openedApp,6.0,askForTimeLimit,1752080731.7248201,America/Sao_Paulo,120.0,instagram,False
dismissedAppOpening,6.0,breathingExercise,1752080971.014225,America/Sao_Paulo,,instagram,False
dismissedAppOpening,6.0,breathingExercise,1752081020.3237062,America/Sao_Paulo,,instagram,False
openedApp,6.0,askForTimeLimit,1752081368.390799,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752081483.380801,America/Sao_Paulo,780.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752081564.607414,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752082301.2931418,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752083728.9938731,America/Sao_Paulo,240.0,instagram,False
dismissedAppOpening,6.0,askForTimeLimit,1752083859.21341,America/Sao_Paulo,,instagram,False
dismissedAppOpening,6.0,askForTimeLimit,1752083860.926958,America/Sao_Paulo,,instagram,False
openedApp,6.0,askForTimeLimit,1752083871.0514488,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752087329.954997,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752087422.28581,America/Sao_Paulo,360.0,instagram,False
openedApp,6.0,askForTimeLimit,1752087914.998847,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752089058.942421,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752089321.865078,America/Sao_Paulo,660.0,tikTok,False
dismissedAppOpening,6.0,askForTimeLimit,1752089446.121156,America/Sao_Paulo,,instagram,False
openedApp,6.0,askForTimeLimit,1752090709.4525619,America/Sao_Paulo,360.0,instagram,False
openedApp,6.0,askForTimeLimit,1752090856.422091,America/Sao_Paulo,300.0,instagram,False
openedApp,6.0,askForTimeLimit,1752091854.7451591,America/Sao_Paulo,360.0,instagram,False
openedApp,6.0,askForTimeLimit,1752091937.140757,America/Sao_Paulo,720.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752092040.497854,America/Sao_Paulo,240.0,instagram,False
openedApp,6.0,askForTimeLimit,1752092228.940006,America/Sao_Paulo,300.0,tikTok,False
openedApp,6.0,askForTimeLimit,1752092498.0582762,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752092703.057776,America/Sao_Paulo,180.0,instagram,False
openedApp,6.0,askForTimeLimit,1752092886.5022821,America/Sao_Paulo,240.0,instagram,False
