isReIntervention,timezone,resolution,timestamp,app,interventionType,interventionDuration,timeIntervalUntilReIntervention,purpose
False,America/Chicago,dismissedAppOpening,1749762109.520914,instagram,breathingExercise,6.0,,
False,America/Chicago,dismissedAppOpening,1749764746.3061829,instagram,breathingExercise,6.0,,
False,America/Chicago,openedApp,1749765770.165275,instagram,breathingExercise,6.0,900.0,camp
False,America/Chicago,dismissedAppOpening,1749765966.2903662,instagram,breathingExercise,6.0,,
False,America/Chicago,openedApp,1749766084.676437,instagram,breathingExercise,6.0,900.0,ddff
False,America/Chicago,dismissedAppOpening,1749766519.969027,instagram,breathingExercise,6.0,,
False,America/Chicago,openedApp,1749767400.576006,instagram,breathingExercise,6.0,600.0,campaign 
False,America/Chicago,dismissedAppOpening,1749770395.280359,instagram,journaling,,,
False,America/Chicago,dismissedAppOpening,1749774726.706335,instagram,journaling,,,
False,America/Chicago,dismissedAppOpening,1749774730.392943,instagram,journaling,,,
False,America/Chicago,dismissedAppOpening,1749775605.969757,instagram,journaling,,,
True,America/Chicago,openedApp,1749775701.365982,instagram,breathingExercise,6.0,900.0,Search Info
False,America/Chicago,dismissedAppOpening,1749790853.636013,instagram,journaling,,,
False,America/Chicago,dismissedAppOpening,1749790857.807343,instagram,journaling,,,
False,America/Chicago,openedApp,1749791110.226132,instagram,breathingExercise,6.0,900.0,Search Info
False,America/Chicago,dismissedAppOpening,1749791875.600751,instagram,breathingExercise,6.0,,
False,America/Chicago,openedApp,1749824690.3146338,instagram,breathingExercise,6.0,900.0,Search Info
True,America/Chicago,dismissedAppOpening,1749825609.5582252,instagram,breathingExercise,6.0,,
False,America/Chicago,dismissedAppOpening,1749831814.568249,instagram,breathingExercise,6.0,,
False,America/Chicago,dismissedAppOpening,1749831931.649322,instagram,breathingExercise,6.0,,
False,America/Chicago,dismissedAppOpening,1749833069.617343,instagram,breathingExercise,6.0,,
False,America/Chicago,dismissedAppOpening,1749833726.732872,instagram,breathingExercise,6.0,,
