isReIntervention,timestamp,resolution,timezone,app,interventionDuration,interventionType,purpose
False,1748847409.021291,openedApp,Asia/Kolkata,youtube,,,
False,1748848309.021291,closedApp,Asia/Kolkata,youtube,,,
False,1748848309.021291,dismissedAppOpening,Asia/Kolkata,youtube,,,
False,1748847436.163536,openedApp,Asia/Kolkata,youtube,,,
False,1748848336.163537,closedApp,Asia/Kolkata,youtube,,,
False,1748848336.163537,dismissedAppOpening,Asia/Kolkata,youtube,,,
False,1748847450.725438,openedApp,Asia/Kolkata,youtube,,,
False,1748848350.725439,closedApp,Asia/Kolkata,youtube,,,
False,1748848350.725439,dismissedAppOpening,Asia/Kolkata,youtube,,,
False,1748847503.752183,openedApp,Asia/Kolkata,youtube,,,
False,1748848403.752183,closedApp,Asia/Kolkata,youtube,,,
False,1748848403.752183,dismissedAppOpening,Asia/Kolkata,youtube,,,
False,1748847550.990104,openedApp,Asia/Kolkata,youtube,,,
False,1748848450.990104,closedApp,Asia/Kolkata,youtube,,,
False,1748848450.9901052,dismissedAppOpening,Asia/Kolkata,youtube,,,
False,1748847561.87217,openedApp,Asia/Kolkata,youtube,,,
False,1748848461.872171,closedApp,Asia/Kolkata,youtube,,,
False,1748848461.872171,dismissedAppOpening,Asia/Kolkata,youtube,,,
False,1748848502.474951,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748848586.680097,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748848589.495127,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748855533.212048,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Stay In the Loop
False,1748856182.875403,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Bored
False,1748856312.481903,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748856314.7895532,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748856327.6513882,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748856345.594768,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Stalk crush
False,1748858428.3315392,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Can’t sleep
False,1748863833.743643,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Search Info
False,1748864361.46805,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Escape / Avoid
False,1748867275.1333551,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Escape / Avoid
False,1748867425.578234,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748869455.783488,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Can’t sleep
False,1748870314.494687,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Search Info
False,1748876394.5321832,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Message
False,1748876791.60672,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Relax
False,1748878265.3069,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Entertainment
False,1748879301.6227489,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748880202.10234,dismissedAppOpening,Asia/Kolkata,twitter,6.0,breathingExercise,
False,1748884516.96905,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Escape / Avoid
False,1748885699.154422,openedApp,Asia/Kolkata,twitter,6.0,breathingExercise,Escape / Avoid
