timestamp,interventionType,isReIntervention,app,timezone,resolution,interventionDuration
1751020632.369977,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751021458.225246,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751023500.229222,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751025684.934964,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751025747.8942199,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751025779.399905,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751025789.661309,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751027043.744923,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751030007.704008,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751035212.396523,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751045615.5788069,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751047807.042155,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751095825.597208,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751100439.5104861,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751102388.8050098,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751114442.999524,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751114691.3722649,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751116124.401995,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751116276.0487518,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751116738.226399,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751116860.175076,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751116909.9645581,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751117628.027833,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751118020.110328,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751119899.582498,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751184148.925636,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751208600.281431,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751226267.151267,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751226313.029454,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751261851.8946671,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751275317.8376532,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751275702.021424,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751290356.703357,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751291344.033525,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751351471.582896,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751352864.7809548,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
1751357436.08354,breathingExercise,False,facebook,Europe/Paris,openedApp,6
1751466273.63456,breathingExercise,False,facebook,Europe/Paris,dismissedAppOpening,6
