timezone,timestamp,isReIntervention,app,resolution,interventionDuration,purpose,interventionType
America/Denver,1752195868.563113,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752197896.020581,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752198627.9469981,False,instagram,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752202996.7409291,False,instagram,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752203534.8611999,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752207907.6181312,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752209415.231128,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752210138.649766,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752235173.187868,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752235281.57869,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752236832.8934212,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752248028.924371,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752248912.604577,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752252175.084966,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752252474.30684,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752255393.6473489,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752260711.077074,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752263848.2618818,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752264139.0960178,False,tikTok,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1752266056.130425,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752267752.6898851,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752270358.5822701,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752274673.0471249,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752277276.3616009,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752278744.927887,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752282137.5887752,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752286990.9041681,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752326606.509776,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752351279.7029161,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752360932.422404,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752361340.059266,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752365467.422801,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752371447.2826638,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752375879.866427,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752408942.299804,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752409984.1458569,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752414090.465657,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752414545.978108,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752422603.0058498,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752438660.9599051,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752439065.006091,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752443563.359112,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752444138.401026,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752450526.136217,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752453919.777656,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752454947.504768,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752455137.552082,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752456738.921437,False,facebook,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1752497013.877383,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752498708.517126,False,instagram,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752507957.6967978,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752523282.01177,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752527107.5931,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752530259.056761,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752530607.423153,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752534998.10811,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752537505.760345,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752537741.632436,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752540278.1167321,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752544050.8406549,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752548484.5478802,False,facebook,openedApp,6.0,Post something,breathingExercise
America/Denver,1752587551.603838,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752588081.611886,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752593108.819916,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752597978.960794,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752607659.123287,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752618485.18519,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752621674.593223,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752623009.5530372,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752627051.314564,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752630313.1590471,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752631398.9425511,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752633561.251237,False,facebook,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1752635673.701488,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752674940.8785958,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752679224.742754,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752681681.160003,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752705895.5922608,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752711983.560163,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752714161.228901,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752718141.514689,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752720083.8455548,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752724218.14503,False,instagram,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752760026.7852159,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1752760938.376296,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752781012.6464539,False,facebook,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1752783094.887666,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752784804.621894,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752793946.096633,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752811021.368781,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752811294.927178,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752842128.263166,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752843209.054078,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752843741.643588,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752844748.915137,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752849722.9223518,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752851411.591786,False,facebook,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1752851832.336402,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752865056.159703,False,instagram,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752868170.2524629,False,bluesky,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752873844.068367,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752876389.589285,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752885376.4066691,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752895506.431107,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752926840.683186,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752931378.1866632,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752944661.979769,False,facebook,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1752944695.951488,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752949915.1938272,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752951491.01192,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752951681.918767,False,facebook,openedApp,6.0,Post something,breathingExercise
America/Denver,1752956204.976462,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752957842.5046082,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752960067.571245,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752960602.4203382,False,tikTok,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1752960622.772818,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752964380.764575,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752966144.059938,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752973493.627191,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752974004.4621859,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1752981485.6960459,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753017475.519722,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753019833.82898,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753020140.957741,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753032258.607187,False,instagram,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753036235.3047519,False,instagram,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753038885.8799381,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753041868.7139401,False,instagram,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753044864.6835551,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753045353.498136,False,instagram,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1753045379.025712,False,instagram,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753050476.5893002,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753055002.419992,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753060936.357732,False,instagram,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1753063470.558618,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753100834.678611,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753102662.477078,False,instagram,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753104281.274166,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753106191.305542,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753125739.907767,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753134663.31641,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753142795.806221,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753150729.2131472,False,instagram,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753151553.761894,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753153279.818526,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753186182.976273,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753196330.006818,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753209409.923785,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753227404.302841,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753232702.856823,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753233592.2792711,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753237800.543442,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753238394.279309,False,instagram,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753239922.822692,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753241357.521717,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753274848.822819,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753283521.093285,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753298085.484029,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753308347.300774,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753312060.544919,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753316583.359188,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753328296.642941,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753358153.646394,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753358883.118806,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753359881.080378,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753363243.9135761,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753366738.264771,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753377084.87692,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753379146.8535008,False,facebook,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1753379257.517089,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753386067.071188,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753387636.950306,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753393821.757484,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753396215.753901,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753396216.0037441,False,tikTok,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1753450773.2744741,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753452277.502749,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753453471.075931,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753456198.467525,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753460382.179905,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753463561.974117,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753468687.405839,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753472918.8525,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753477533.870311,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753489593.290196,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753491013.0354218,False,instagram,openedApp,,,
America/Denver,1753491133.0354218,False,instagram,closedApp,,,
America/Denver,1753491133.0354218,False,instagram,dismissedAppOpening,,,
America/Denver,1753491015.366868,False,instagram,openedApp,,,
America/Denver,1753491135.366869,False,instagram,closedApp,,,
America/Denver,1753491135.366869,False,instagram,dismissedAppOpening,,,
America/Denver,1753491158.30681,False,instagram,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753495340.674242,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753501598.959947,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753533830.0247831,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753534942.407768,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753539050.912343,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753565877.615889,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753566895.403617,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753567342.006438,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753573165.0674992,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753575713.7407398,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1753584135.056481,False,instagram,openedApp,6.0,Search Info,breathingExercise
