timezone,timestamp,isReIntervention,app,resolution,interventionDuration,purpose,interventionType
America/Denver,1750536109.460929,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750541961.679045,False,facebook,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1750550193.2902222,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750550482.403409,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750559740.044311,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750566649.2214499,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750595306.1060581,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750598691.028904,False,facebook,openedApp,6.0,Escape / Avoid,breathingExercise
America/Denver,1750600897.8064141,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750608378.14135,False,facebook,openedApp,6.0,Escape / Avoid,breathingExercise
America/Denver,1750612459.9940639,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750626223.892247,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750704691.1575909,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750709527.778744,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750716083.196893,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750721680.983893,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750727728.46985,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750732613.0075688,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750767096.265768,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750767718.483315,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750770761.0956411,False,facebook,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1750776864.921167,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750797327.901159,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750800299.2810268,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750811086.467072,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750814095.592492,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750854615.140868,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750854873.483708,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750864534.4713001,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750866396.329525,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750892891.64412,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750902983.939873,False,tikTok,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1750905073.033692,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750906072.7367659,False,instagram,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750908766.402855,False,facebook,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1750910731.756897,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750910758.103637,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750931217.032508,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750941212.984746,False,facebook,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1750941233.8019261,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750941783.6220021,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750942759.886179,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750944530.1173759,False,facebook,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1750944677.19175,False,tikTok,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1750951949.792346,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750964399.635103,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750964542.540093,False,tikTok,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1750969172.662399,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750970487.348665,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1750971527.973782,False,tikTok,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1750971741.0012121,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750971921.8347921,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750972154.6358461,False,instagram,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750983707.570488,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750984397.668616,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750985162.196151,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750986389.335257,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750987249.040767,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1750998445.67037,False,facebook,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1750998865.129613,False,tikTok,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1750999835.2318969,False,tikTok,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1751023388.366461,False,facebook,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1751025436.991195,False,facebook,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1751025743.279633,False,tikTok,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1751027298.442719,False,instagram,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1751041345.2512898,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751051407.9562268,False,facebook,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1751056032.5082679,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751063931.514155,False,tikTok,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1751075127.491877,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751077485.062319,False,tikTok,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1751078344.9844232,False,tikTok,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1751079961.295858,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751081410.6181011,False,facebook,openedApp,6.0,Stalk crush,breathingExercise
America/Denver,1751084733.550037,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751115163.901164,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751115682.306628,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751116242.338475,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751124869.5862288,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751146308.038831,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751147789.84514,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751148087.853849,False,facebook,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1751148217.802865,False,tikTok,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1751148244.030987,False,tikTok,openedApp,6.0,Entertainment,breathingExercise
America/Denver,1751160450.219194,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751161790.928292,False,instagram,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751163325.113974,False,bluesky,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751204588.892971,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751214505.494416,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751232151.584233,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751232865.615756,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751233724.4925199,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751236776.517931,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751238900.6122642,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751245527.417818,False,facebook,openedApp,6.0,Escape / Avoid,breathingExercise
America/Denver,1751248055.457745,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751248882.348277,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751250131.975675,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751252304.215801,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751252540.654238,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751253865.8899832,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751281671.223465,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751286287.7393599,False,facebook,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1751295143.902546,False,tikTok,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751313925.0427852,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751317282.8170118,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751325353.463306,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751329602.899544,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751332458.9225311,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751333374.629867,False,tikTok,openedApp,,,
America/Denver,1751333494.629867,False,tikTok,closedApp,,,
America/Denver,1751333494.629867,False,tikTok,dismissedAppOpening,,,
America/Denver,1751335556.81488,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751338581.209787,False,tikTok,dismissedAppOpening,6.0,,breathingExercise
America/Denver,1751338615.8222852,False,tikTok,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751373427.579669,False,facebook,openedApp,6.0,Stay In the Loop,breathingExercise
America/Denver,1751377466.442038,False,facebook,openedApp,6.0,Search Info,breathingExercise
America/Denver,1751377700.288904,False,tikTok,openedApp,6.0,Post something,breathingExercise
