interventionType,purpose,timezone,isReIntervention,interventionDuration,timestamp,resolution,app
breathingExercise,Publier quelque chose,Europe/Brussels,False,3,1751899674.5338411,openedApp,instagram
breathingExercise,,Europe/Brussels,False,3,1751900005.66297,dismissedAppOpening,instagram
breathingExercise,,Europe/Brussels,False,3,1751900018.8005462,dismissedAppOpening,instagram
breathingExercise,Rechercher des informations,Europe/Brussels,False,3,1751902833.174638,openedApp,facebook
breathingExercise,,Europe/Brussels,False,3,1751903207.83013,dismissedAppOpening,facebook
breathingExercise,Rechercher des informations,Europe/Brussels,False,3,1751903783.167666,openedApp,facebook
breathingExercise,Rechercher des informations,Europe/Brussels,False,3,1751905459.306957,openedApp,facebook
breathingExercise,,Europe/Brussels,False,3,1751905512.682662,dismissedAppOpening,facebook
breathingExercise,Rechercher des informations,Europe/Brussels,False,3,1751905529.9335861,openedApp,facebook
breathingExercise,Message,Europe/Brussels,False,3,1751906532.687315,openedApp,instagram
breathingExercise,,Europe/Brussels,False,3,1751906614.947403,dismissedAppOpening,facebook
breathingExercise,,Europe/Brussels,False,3,1751906624.739276,dismissedAppOpening,instagram
breathingExercise,Rester au courant,Europe/Brussels,False,3,1751908786.369391,openedApp,instagram
breathingExercise,Rester au courant,Europe/Brussels,False,3,1751908872.0353808,openedApp,tikTok
breathingExercise,Rechercher des informations,Europe/Brussels,False,3,1751911485.388036,openedApp,instagram
breathingExercise,Vérifier les likes,Europe/Brussels,False,3,1751911593.1049972,openedApp,instagram
breathingExercise,,Europe/Brussels,False,3,1751911636.7189,dismissedAppOpening,instagram
breathingExercise,Publier quelque chose,Europe/Brussels,False,3,1751912579.894141,openedApp,tikTok
breathingExercise,Message,Europe/Brussels,False,3,1751913767.7261481,openedApp,instagram
breathingExercise,Vérifier les likes,Europe/Brussels,False,3,1751915243.1749392,openedApp,instagram
breathingExercise,Message,Europe/Brussels,False,3,1751915290.769695,openedApp,facebook
breathingExercise,Vérifier les likes,Europe/Brussels,False,3,1751915370.3177671,openedApp,tikTok
breathingExercise,,Europe/Brussels,False,3,1751915385.762677,dismissedAppOpening,instagram
breathingExercise,Divertissement,Europe/Brussels,False,3,1751915508.952009,openedApp,instagram
breathingExercise,,Europe/Brussels,False,3,1751916747.162853,dismissedAppOpening,instagram
breathingExercise,Rester au courant,Europe/Brussels,False,3,1751916762.957391,openedApp,instagram
breathingExercise,Divertissement,Europe/Brussels,False,3,1751916886.458915,openedApp,tikTok
breathingExercise,,Europe/Brussels,False,3,1751917152.825163,dismissedAppOpening,instagram
breathingExercise,Ennuyé,Europe/Brussels,False,3,1751917169.165557,openedApp,facebook
breathingExercise,Rester au courant,Europe/Brussels,False,3,1751917221.041987,openedApp,beReal
breathingExercise,Rester au courant,Europe/Brussels,False,3,1751917255.0817971,openedApp,beReal
breathingExercise,Impossible de s'endormir,Europe/Brussels,False,3,1751917631.922453,openedApp,instagram
breathingExercise,Divertissement,Europe/Brussels,False,3,1751917653.8565369,openedApp,tikTok
breathingExercise,,Europe/Brussels,False,3,1751917702.922217,dismissedAppOpening,tikTok
breathingExercise,,Europe/Brussels,False,3,1751917704.656781,dismissedAppOpening,beReal
breathingExercise,Divertissement,Europe/Brussels,False,3,1751917815.9865088,openedApp,youtube
breathingExercise,Rester au courant,Europe/Brussels,False,3,1751967048.5652452,openedApp,instagram
breathingExercise,Rester au courant,Europe/Brussels,False,3,1751967210.210126,openedApp,tikTok
breathingExercise,Message,Europe/Brussels,False,3,1751967276.131748,openedApp,facebook
breathingExercise,Message,Europe/Brussels,False,3,1751967816.750747,openedApp,instagram
