isReIntervention,timestamp,interventionType,app,resolution,interventionDuration,timezone,purpose
False,1752874573.116768,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752874845.063179,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752874862.361185,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752874951.987218,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752876003.916255,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752876052.597198,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752879447.898668,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752887914.486014,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752888113.706012,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752888130.581306,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Escape / Avoid
False,1752888298.048635,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752888949.870373,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752888973.894139,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752889005.564128,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Escape / Avoid
False,1752891512.1332068,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752891643.4573479,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752891790.822051,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752893235.840217,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752893386.4312549,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752900361.435182,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752931450.724883,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752933729.670919,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752933803.669252,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752939023.043847,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752939024.95713,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752941815.5702991,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752942265.255742,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752942958.15043,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
