resolution,timezone,isReIntervention,timestamp,app
openedApp,Asia/Ho_Chi_Minh,False,1753211921.6770759,tikTok
closedApp,Asia/Ho_Chi_Minh,False,1753211981.6770759,tikTok
dismissedAppOpening,Asia/Ho_Chi_Minh,False,1753211981.6770759,tikTok
