resolution,timezone,timestamp,interventionDuration,isReIntervention,interventionType,app
openedApp,Africa/Cairo,1750170850.276537,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750171226.17102,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750171418.2578359,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750172198.445228,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750172239.626724,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750172936.60584,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750173294.852744,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750174037.553056,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750175114.044246,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750176053.4496632,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750177064.177398,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750178026.74178,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750179382.96748,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750182149.1802711,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750217125.1005769,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750217471.902672,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750218390.5263948,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750219291.940542,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750219397.370296,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750222256.6014152,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750223181.756607,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750226492.048713,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750228709.0046291,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750229585.835612,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750230209.425868,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750230314.1735759,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750230326.070421,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750230423.646924,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750230839.4959989,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750231113.2917771,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750231546.3923721,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750231556.303452,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750232718.987039,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750232957.262018,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750232959.118233,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750233013.927023,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750233383.2880878,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750233390.757246,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750233587.141185,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750233806.05153,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750233812.753257,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750233822.690284,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750235234.057028,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750235610.8989558,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750235698.796599,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750235925.919259,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750236150.755474,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750236234.369281,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750236751.473553,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750242059.349015,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750243561.9759278,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750243564.736497,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750243674.5194201,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750248370.08237,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750249218.9750051,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750252060.41138,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750253370.012584,3,False,breathingExercise,whastapp
dismissedAppOpening,Africa/Cairo,1750255057.747587,3,False,breathingExercise,safari
openedApp,Africa/Cairo,1750255116.966007,3,False,breathingExercise,safari
dismissedAppOpening,Africa/Cairo,1750256760.095903,3,False,breathingExercise,whastapp
openedApp,Africa/Cairo,1750258321.690202,3,False,breathingExercise,whastapp
