resolution,interventionDuration,timezone,timestamp,interventionType,app,isReIntervention
dismissedAppOpening,3,America/Bogota,1751235151.122299,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751235163.47373,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751236741.94221,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751237161.023519,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751237223.506871,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751237338.362961,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751237658.303756,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751239441.782465,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751240021.993586,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751242555.338602,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751246203.679851,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751246415.435927,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751246527.56055,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751247078.292465,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751247336.7672439,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751247640.7346559,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751280851.8539782,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751288877.539423,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751289553.414112,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751289983.171536,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751291388.045718,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751292979.4035091,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751293108.340623,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751293245.637995,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751293696.1831532,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751293754.552476,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751293854.8456159,breathingExercise,instagram,False
openedApp,3,America/Bogota,1751293950.502753,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751295100.1947699,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751304357.1049519,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751306334.719088,breathingExercise,instagram,False
dismissedAppOpening,3,America/Bogota,1751307394.0235062,breathingExercise,instagram,False
