app,interventionType,isReIntervention,timezone,timestamp,interventionDuration,resolution,purpose
instagram,breathingExercise,False,Europe/London,1748952852.2508821,3.0,dismissedAppOpening,
instagram,breathingExercise,False,Europe/London,1748957413.564636,3.0,openedApp,Bored
instagram,breathingExercise,False,Europe/London,1748959313.916131,3.0,dismissedAppOpening,
instagram,breathingExercise,False,Europe/London,1748959605.068989,3.0,openedApp,Bored
instagram,breathingExercise,False,Europe/London,1748960774.5491061,3.0,dismissedAppOpening,
instagram,breathingExercise,False,Europe/London,1748964751.9118881,3.0,openedApp,Bored
instagram,breathingExercise,False,Europe/London,1748967809.684692,3.0,openedApp,Post something
instagram,breathingExercise,False,Europe/London,1748968966.276758,3.0,openedApp,Post something
instagram,breathingExercise,False,Europe/London,1748983728.145088,3.0,openedApp,Search Info
instagram,breathingExercise,False,Europe/London,1748994204.634985,3.0,openedApp,Toilet
instagram,breathingExercise,False,Europe/London,1748994663.753643,3.0,openedApp,Can’t sleep
instagram,breathingExercise,False,Europe/London,1749014379.922775,3.0,openedApp,Bored
instagram,breathingExercise,False,Europe/London,1749032188.23132,3.0,openedApp,Message
instagram,breathingExercise,False,Europe/London,1749032230.656987,3.0,dismissedAppOpening,
instagram,breathingExercise,False,Europe/London,1749037108.646539,3.0,openedApp,Bored
instagram,breathingExercise,False,Europe/London,1749037669.197031,3.0,openedApp,Bored
instagram,breathingExercise,False,Europe/London,1749037942.530149,3.0,openedApp,Search Info
instagram,breathingExercise,False,Europe/London,1749039267.561559,3.0,openedApp,Bored
instagram,breathingExercise,False,Europe/London,1749040060.820335,3.0,openedApp,Relax
instagram,breathingExercise,False,Europe/London,1749041262.760258,3.0,openedApp,Bored
instagram,breathingExercise,False,Europe/London,1749042002.968481,3.0,openedApp,Bored
instagram,breathingExercise,False,Europe/London,1749047466.472386,3.0,openedApp,Message
instagram,breathingExercise,False,Europe/London,1749048336.3098202,3.0,openedApp,Bored
instagram,breathingExercise,False,Europe/London,1749052039.585079,3.0,openedApp,Bored
instagram,breathingExercise,False,Europe/London,1749052756.0690908,3.0,openedApp,Toilet
instagram,breathingExercise,False,Europe/London,1749065085.268857,3.0,openedApp,Toilet
instagram,breathingExercise,False,Europe/London,1749077219.7910662,3.0,openedApp,Can’t sleep
instagram,breathingExercise,False,Europe/London,1749077792.191143,3.0,openedApp,Can’t sleep
instagram,breathingExercise,False,Europe/London,1749109114.139529,3.0,openedApp,Message
instagram,breathingExercise,False,Europe/London,1749110096.948347,3.0,openedApp,Bored
instagram,breathingExercise,False,Europe/London,1749117584.361134,3.0,openedApp,Escape / Avoid
instagram,breathingExercise,False,Europe/London,1749123399.3687239,3.0,dismissedAppOpening,
instagram,breathingExercise,False,Europe/London,1749125515.451674,3.0,openedApp,Message
instagram,breathingExercise,False,Europe/London,1749126129.148058,3.0,dismissedAppOpening,
instagram,breathingExercise,False,Europe/London,1749126694.6772552,3.0,openedApp,Message
instagram,breathingExercise,False,Europe/London,1749129428.04019,3.0,openedApp,Message
instagram,breathingExercise,False,Europe/London,1749132395.871251,3.0,openedApp,Toilet
instagram,breathingExercise,False,Europe/London,1749133056.679816,3.0,dismissedAppOpening,
instagram,breathingExercise,False,Europe/London,1749133144.063235,3.0,openedApp,Search Info
instagram,breathingExercise,False,Europe/London,1749134033.773258,3.0,dismissedAppOpening,
instagram,breathingExercise,False,Europe/London,1749134527.558206,3.0,openedApp,Escape / Avoid
instagram,breathingExercise,False,Europe/London,1749135100.322802,3.0,dismissedAppOpening,
instagram,breathingExercise,False,Europe/London,1749135160.387465,3.0,openedApp,Bored
instagram,breathingExercise,False,Europe/London,1749135748.6449609,3.0,dismissedAppOpening,
instagram,breathingExercise,False,Europe/London,1749137332.501517,3.0,openedApp,Bored
instagram,breathingExercise,False,Europe/London,1749138114.90679,3.0,openedApp,Bored
instagram,breathingExercise,False,Europe/London,1749138972.6956081,3.0,openedApp,Bored
instagram,breathingExercise,False,Europe/London,1749140268.5873342,3.0,openedApp,Message
instagram,breathingExercise,False,Europe/London,1749141214.186387,3.0,dismissedAppOpening,
instagram,breathingExercise,False,Europe/London,1749141237.739419,3.0,openedApp,Message
instagram,breathingExercise,False,Europe/London,1749142058.279475,3.0,openedApp,Message
instagram,breathingExercise,False,Europe/London,1749142841.995595,3.0,openedApp,Message
instagram,breathingExercise,False,Europe/London,1749145197.61944,3.0,openedApp,Bored
instagram,breathingExercise,False,Europe/London,1749146025.093368,3.0,openedApp,Bored
instagram,breathingExercise,False,Europe/London,1749147468.375936,3.0,openedApp,Message
instagram,breathingExercise,False,Europe/London,1749148299.575883,3.0,dismissedAppOpening,
instagram,breathingExercise,False,Europe/London,1749150124.80427,3.0,dismissedAppOpening,
instagram,breathingExercise,False,Europe/London,1749151444.2826629,3.0,openedApp,Message
instagram,breathingExercise,False,Europe/London,1749151994.9589128,3.0,openedApp,Toilet
instagram,breathingExercise,False,Europe/London,1749157738.0620198,3.0,openedApp,Toilet
instagram,breathingExercise,False,Europe/London,1749195313.203203,3.0,dismissedAppOpening,
