resolution,timestamp,app,interventionType,interventionDuration,isReIntervention,timezone,purpose,timeIntervalUntilReIntervention,terminationReason
dismissedAppOpening,1751948365.1890712,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
dismissedAppOpening,1751971778.987911,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1751972647.596962,youtube,breathingExercise,3.0,0.0,America/Aruba,Escapar / Evitar,300.0,
dismissedAppOpening,1751973933.1026878,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
dismissedAppOpening,1751993318.085053,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1751993433.652533,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
dismissedAppOpening,1751993757.835271,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752006072.3315802,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,180.0,
openedApp,1752013853.703197,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,60.0,
dismissedAppOpening,1752018024.10912,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752018044.603259,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
openedApp,1752018106.759708,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
openedApp,1752018434.602124,youtube,breathingExercise,3.0,1.0,America/Aruba,Entretenimiento,300.0,
openedApp,1752026967.788341,youtube,breathingExercise,3.0,0.0,America/Aruba,Aburrido,300.0,
dismissedAppOpening,1752034322.797906,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752067262.078277,youtube,breathingExercise,3.0,0.0,America/Aruba,Mantente Informado,300.0,
dismissedAppOpening,1752067473.14821,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
dismissedAppOpening,1752092265.387501,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752092282.281465,youtube,breathingExercise,3.0,0.0,America/Aruba,Inodoro,300.0,
openedApp,1752092607.0288,youtube,breathingExercise,3.0,1.0,America/Aruba,Inodoro,300.0,
openedApp,1752096513.297007,youtube,breathingExercise,3.0,0.0,America/Aruba,Buscar info,300.0,
dismissedAppOpening,1752100036.3345032,twitter,breathingExercise,3.0,0.0,America/Aruba,,,
dismissedAppOpening,1752100083.778836,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752101000.7178369,youtube,breathingExercise,3.0,0.0,America/Aruba,Buscar info,60.0,
closedApp,1752101060.402098,youtube,,,0.0,America/Aruba,,,
closedApp,1752101080.571482,youtube,,,0.0,America/Aruba,,,
closedApp,1752101116.418112,youtube,,,0.0,America/Aruba,,,
openedApp,1752103762.224251,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752104069.937865,youtube,,,0.0,America/Aruba,,,
openedApp,1752104081.344637,youtube,breathingExercise,3.0,1.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752104384.144096,youtube,,,0.0,America/Aruba,,,
openedApp,1752104396.5139608,youtube,breathingExercise,3.0,1.0,America/Aruba,Relajarse,300.0,
closedApp,1752104698.732346,youtube,,,0.0,America/Aruba,,,
dismissedAppOpening,1752104904.123598,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752114727.435013,instagram,breathingExercise,3.0,0.0,America/Aruba,Buscar info,,
dismissedAppOpening,1752121569.589546,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752121591.055871,youtube,breathingExercise,3.0,0.0,America/Aruba,Relajarse,300.0,
closedApp,1752121898.1535401,youtube,,,0.0,America/Aruba,,,
openedApp,1752122033.411545,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752122339.440606,youtube,,,0.0,America/Aruba,,,
openedApp,1752164659.2439651,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752164966.425421,youtube,,,0.0,America/Aruba,,,
openedApp,1752168593.601829,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,120.0,
closedApp,1752168717.230276,youtube,,,0.0,America/Aruba,,,
dismissedAppOpening,1752168759.614708,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
dismissedAppOpening,1752188524.018752,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752190133.002159,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752190435.785729,youtube,,,0.0,America/Aruba,,,
openedApp,1752191010.063126,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752191202.555301,youtube,,,0.0,America/Aruba,,,
openedApp,1752191586.56076,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752191694.260081,youtube,,,0.0,America/Aruba,,,
openedApp,1752192685.131491,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752192769.673049,youtube,,,0.0,America/Aruba,,,
dismissedAppOpening,1752193071.1825671,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752193957.3371081,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752194022.631738,youtube,,,0.0,America/Aruba,,,
dismissedAppOpening,1752199675.504377,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752204345.099294,youtube,breathingExercise,3.0,0.0,America/Aruba,Buscar info,300.0,
closedApp,1752204622.356082,youtube,,,0.0,America/Aruba,,,
openedApp,1752205562.737813,youtube,breathingExercise,3.0,0.0,America/Aruba,Inodoro,300.0,
closedApp,1752205867.669619,youtube,,,0.0,America/Aruba,,,
openedApp,1752205879.385212,youtube,breathingExercise,3.0,1.0,America/Aruba,Inodoro,300.0,
closedApp,1752206147.298306,youtube,,,0.0,America/Aruba,,,
dismissedAppOpening,1752206310.493998,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752206413.2221332,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752206446.6513228,youtube,,,0.0,America/Aruba,,,
dismissedAppOpening,1752242830.499776,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752242871.7500749,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752243113.981711,youtube,,,0.0,America/Aruba,,,
dismissedAppOpening,1752243294.168469,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752243451.289196,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752243756.317298,youtube,,,0.0,America/Aruba,,,
openedApp,1752244893.518832,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752245007.2081618,youtube,,,0.0,America/Aruba,,,
openedApp,1752246080.793618,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
closedApp,1752246383.9874902,youtube,,,0.0,America/Aruba,,,
dismissedAppOpening,1752246543.891282,youtube,breathingExercise,3.0,0.0,America/Aruba,,,
openedApp,1752255355.1210399,youtube,breathingExercise,3.0,0.0,America/Aruba,Entretenimiento,300.0,
