resolution,interventionDuration,isReIntervention,interventionType,app,timezone,timestamp
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749575976.67571
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749576195.957104
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749586064.031368
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749586421.8762522
dismissedAppOpening,3,False,breathingExercise,tikTok,Europe/London,1749587400.244447
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749623063.8427029
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749641276.388051
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749653342.630319
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749655884.131082
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749657033.284282
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749658696.7839599
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749660577.424489
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749661190.668072
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749667615.406718
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749671385.4867458
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749674792.3482208
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749709684.399154
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749710205.9805741
dismissedAppOpening,3,False,breathingExercise,tikTok,Europe/London,1749711567.436991
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749711877.621568
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749712454.344099
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749713002.525529
dismissedAppOpening,3,False,breathingExercise,tikTok,Europe/London,1749713710.060938
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749735424.923215
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749744298.858948
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749744569.806155
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749750575.381727
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749751817.715719
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749792372.026884
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749795813.103061
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749797920.017088
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749810837.898543
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749812972.639639
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749813285.748008
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749816098.303107
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749816502.573832
dismissedAppOpening,3,False,breathingExercise,tikTok,Europe/London,1749818908.96938
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749823856.245813
dismissedAppOpening,3,False,breathingExercise,tikTok,Europe/London,1749823949.945288
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749826218.287451
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749827042.7611861
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749827934.9968982
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749831332.610108
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749840389.457114
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749842690.6098309
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749881991.909497
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749896015.545305
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749901075.005017
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749904446.607195
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749907228.285976
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749908294.13329
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749918108.321309
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749922346.92291
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749922642.299434
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749926278.473916
openedApp,3,False,breathingExercise,tikTok,Europe/London,1749926547.7944422
