timezone,resolution,app,timestamp,interventionDuration,isReIntervention,interventionType
America/New_York,openedApp,instagram,1753721452.3731198,3,False,breathingExercise
America/New_York,dismissedAppOpening,instagram,1753721536.56411,3,False,breathingExercise
America/New_York,openedApp,instagram,1753730254.564773,3,False,breathingExercise
America/New_York,dismissedAppOpening,instagram,1753730458.8463159,3,False,breathingExercise
America/New_York,openedApp,instagram,1753732612.2123299,3,False,breathingExercise
America/New_York,openedApp,instagram,1753733255.093818,3,False,breathingExercise
America/New_York,dismissedAppOpening,instagram,1753736826.448828,3,False,breathingExercise
America/New_York,openedApp,instagram,1753737537.355688,3,False,breathingExercise
America/New_York,dismissedAppOpening,instagram,1753737582.624901,3,False,breathingExercise
America/New_York,openedApp,instagram,1753748377.422371,3,False,breathingExercise
America/New_York,openedApp,instagram,1753753263.816215,3,False,breathingExercise
America/New_York,openedApp,instagram,1753809387.0751328,3,False,breathingExercise
America/New_York,openedApp,instagram,1753811300.745332,3,False,breathingExercise
America/New_York,openedApp,instagram,1753813477.724509,3,False,breathingExercise
America/New_York,dismissedAppOpening,instagram,1753819786.82733,3,False,breathingExercise
America/New_York,openedApp,instagram,1753819852.548974,3,False,breathingExercise
America/New_York,openedApp,instagram,1753822630.9438171,3,False,breathingExercise
America/New_York,openedApp,instagram,1753822662.12354,3,False,breathingExercise
America/New_York,dismissedAppOpening,instagram,1753822774.609277,3,False,breathingExercise
America/New_York,openedApp,instagram,1753893666.874166,3,False,breathingExercise
America/New_York,openedApp,instagram,1753894197.781805,3,False,breathingExercise
America/New_York,openedApp,instagram,1753897075.2527618,3,False,breathingExercise
America/New_York,dismissedAppOpening,instagram,1753897157.518774,3,False,breathingExercise
America/New_York,dismissedAppOpening,instagram,1753905449.98404,3,False,breathingExercise
America/New_York,openedApp,instagram,1753909962.7056952,3,False,breathingExercise
America/New_York,openedApp,instagram,1753910263.737173,3,False,breathingExercise
America/New_York,openedApp,instagram,1753910522.854093,3,False,breathingExercise
America/New_York,openedApp,instagram,1753916016.612839,3,False,breathingExercise
America/New_York,openedApp,instagram,1753918147.626334,3,False,breathingExercise
America/New_York,openedApp,instagram,1753961379.913443,3,False,breathingExercise
America/New_York,openedApp,instagram,1753962920.517755,3,False,breathingExercise
America/New_York,dismissedAppOpening,instagram,1753963758.102162,3,False,breathingExercise
America/New_York,openedApp,instagram,1754046160.417948,3,False,breathingExercise
America/New_York,openedApp,instagram,1754046391.329366,3,False,breathingExercise
America/New_York,openedApp,instagram,1754046857.217808,3,False,breathingExercise
America/New_York,openedApp,instagram,1754046939.857901,3,False,breathingExercise
America/New_York,openedApp,instagram,1754047052.18054,3,False,breathingExercise
America/New_York,openedApp,instagram,1754066964.648102,3,False,breathingExercise
America/New_York,openedApp,instagram,1754067741.4479342,3,False,breathingExercise
America/New_York,openedApp,instagram,1754067989.995055,3,False,breathingExercise
America/New_York,openedApp,instagram,1754075932.2442322,3,False,breathingExercise
America/New_York,openedApp,instagram,1754076240.2747679,3,False,breathingExercise
America/New_York,openedApp,instagram,1754076608.10953,3,False,breathingExercise
America/New_York,openedApp,instagram,1754077021.0107532,3,False,breathingExercise
America/New_York,openedApp,instagram,1754077206.839637,3,False,breathingExercise
America/New_York,dismissedAppOpening,instagram,1754078255.443115,3,False,breathingExercise
America/New_York,dismissedAppOpening,instagram,1754081290.441585,3,False,breathingExercise
America/New_York,openedApp,instagram,1754081470.22118,3,False,breathingExercise
America/New_York,openedApp,instagram,1754102074.051032,3,False,breathingExercise
America/New_York,openedApp,instagram,1754103765.485196,3,False,breathingExercise
America/New_York,openedApp,instagram,1754130471.837418,3,False,breathingExercise
America/New_York,openedApp,instagram,1754178191.544342,3,False,breathingExercise
America/New_York,dismissedAppOpening,instagram,1754178996.224218,3,False,breathingExercise
America/New_York,dismissedAppOpening,instagram,1754217181.6552892,3,False,breathingExercise
America/New_York,openedApp,instagram,1754218511.940133,3,False,breathingExercise
America/New_York,openedApp,instagram,1754228132.674574,3,False,breathingExercise
America/New_York,openedApp,instagram,1754237236.182673,3,False,breathingExercise
America/New_York,openedApp,instagram,1754252674.220282,3,False,breathingExercise
America/New_York,openedApp,instagram,1754259123.890808,3,False,breathingExercise
America/New_York,openedApp,instagram,1754260476.548026,3,False,breathingExercise
America/New_York,openedApp,instagram,1754262746.462524,3,False,breathingExercise
America/New_York,openedApp,instagram,1754263816.175928,3,False,breathingExercise
America/New_York,openedApp,instagram,1754268837.447328,3,False,breathingExercise
America/New_York,dismissedAppOpening,instagram,1754269007.418087,3,False,breathingExercise
America/New_York,openedApp,instagram,1754303159.93556,3,False,breathingExercise
America/New_York,dismissedAppOpening,instagram,1754326160.6582952,3,False,breathingExercise
