app,timestamp,isReIntervention,resolution,interventionDuration,interventionType,timezone
instagram,1750975954.9658132,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1750975962.325533,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751026919.7739558,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751028985.995029,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751032919.478723,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751058916.217869,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751059032.933214,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751108586.0554261,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751112109.679949,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751134514.88874,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751152554.526514,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751152633.9595299,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751152875.9920778,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751152970.454914,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751193309.4800339,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751194811.07685,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751196234.45683,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751205290.397865,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751205712.645508,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751229398.54361,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751230648.746207,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751234133.807468,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751234184.805573,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751280638.847908,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751281191.376405,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751284679.716167,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751286628.831801,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751288111.6464682,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751289581.040145,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751299296.9690251,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751362626.8961658,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751363712.589721,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751367571.236824,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751370250.493297,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751374452.2435122,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751374591.419119,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751374730.650887,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751375227.840352,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751375537.49439,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751375545.553173,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751375557.233052,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751375572.742745,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751375856.406199,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751409166.713011,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751488361.641469,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751488380.004733,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751488797.179836,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751488884.524246,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751489347.029026,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751492318.957695,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751495125.402221,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751495276.380307,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751535368.6787438,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751537041.187755,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751537144.3562222,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751538384.954251,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751540195.691427,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751540212.4246821,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751555723.074082,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751555736.6564279,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751555852.067112,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751557911.530007,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751559268.9712338,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751559343.421325,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751576859.086731,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751583683.556165,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751620000.566042,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751621194.201476,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751621265.734036,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751622727.597362,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751627548.788161,False,dismissedAppOpening,3,breathingExercise,Europe/Brussels
instagram,1751642597.8554611,False,openedApp,3,breathingExercise,Europe/Brussels
instagram,1751644145.9945521,False,openedApp,3,breathingExercise,Europe/Brussels
