resolution,interventionDuration,isReIntervention,timezone,app,interventionType,timestamp
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750589066.366503
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750599171.103796
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750599801.952488
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750600141.369626
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750600173.99853
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750600280.842701
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750600548.404356
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750600763.3814511
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750602717.240289
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750603358.845994
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750603574.425336
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750603697.8745909
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750603701.958737
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750603772.486759
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750603911.9298081
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750604220.156139
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750604918.358654
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750605146.234978
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750605510.48312
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750605691.736874
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750606228.102775
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750609275.992239
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750609331.0832372
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750610029.797831
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750610645.975531
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750610977.012772
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750616855.258796
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750617284.74507
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750617418.458304
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750618116.4771972
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750621494.380569
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750626052.001693
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750628047.730689
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750630073.2601662
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750630191.919818
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750630383.2141109
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750630677.9637198
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750650622.3442059
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750650714.615524
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750650766.986728
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750652377.75703
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750652508.5741858
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750653678.526603
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750653682.326833
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750653801.250494
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750653854.961434
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750654934.98245
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750655207.70176
dismissedAppOpening,3,False,Asia/Dhaka,instagram,breathingExercise,1750656065.754914
openedApp,3,False,Asia/Dhaka,instagram,breathingExercise,1750662699.870964
