timestamp,app,interventionDuration,timezone,isReIntervention,resolution,interventionType,purpose
1749203954.352614,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749204327.060596,whatsAppBusiness,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749204665.2488508,outlook,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749209607.672127,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749209733.367365,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749209846.336638,instagram,3.0,Europe/London,False,openedApp,breathingExercise,Search Info
1749209931.457913,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749210255.591723,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749210434.953227,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749211167.284459,instagram,3.0,Europe/London,False,openedApp,breathingExercise,Post something
1749211281.022671,instagram,3.0,Europe/London,False,openedApp,breathingExercise,Post something
1749211398.476228,instagram,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749211401.625824,outlook,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749211784.097118,instagram,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749212268.670567,instagram,3.0,Europe/London,False,openedApp,breathingExercise,Post something
1749212396.917855,instagram,3.0,Europe/London,False,openedApp,breathingExercise,Post something
1749213108.474879,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749213286.6170511,instagram,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749213975.31433,imessage,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749214110.8442411,imessage,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749215209.847328,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749216183.7630029,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749216361.9412088,outlook,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749216501.8806129,outlook,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749217070.82405,outlook,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749217129.1408892,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749217195.396442,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749223478.7490082,instagram,3.0,Europe/London,False,openedApp,breathingExercise,Search Info
1749223521.1104531,outlook,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749228496.876627,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749228866.7173882,whatsAppBusiness,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749230690.927576,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749231488.712873,whatsAppBusiness,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749234074.12428,whatsAppBusiness,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749243904.05505,whatsAppBusiness,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749246434.331668,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749272044.036217,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749273666.053956,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749275175.85127,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749278392.218855,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Stay In the Loop
1749278852.858245,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749278855.119431,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749279037.835561,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749282993.986116,whatsAppBusiness,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749284197.862719,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749284283.918071,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749284430.950784,whatsAppBusiness,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749288037.2915192,whatsAppBusiness,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749288048.537216,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749289770.984205,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749296380.581743,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749296392.299196,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Stay In the Loop
1749296491.050809,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749297856.437645,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749298292.6225982,imessage,3.0,Europe/London,False,openedApp,breathingExercise,Stay In the Loop
1749298312.514652,instagram,3.0,Europe/London,False,openedApp,breathingExercise,Stay In the Loop
1749298626.109211,instagram,3.0,Europe/London,False,openedApp,breathingExercise,Toilet
1749298711.81359,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749298884.415106,instagram,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749298999.1061969,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749299263.3089151,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749299310.721412,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749301575.3674622,whatsAppBusiness,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749302096.9135509,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749303515.999669,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749303745.8480911,whatsAppBusiness,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749303781.434157,instagram,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749306388.853554,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749306488.8870878,instagram,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749306502.091422,outlook,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749306504.7943459,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749306786.990242,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749307304.98193,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749308105.414562,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749308117.205029,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749308192.689048,instagram,3.0,Europe/London,False,openedApp,breathingExercise,Search Info
1749308225.408412,whatsAppBusiness,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749308459.0876842,mail,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749309470.1964989,whatsAppBusiness,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749310976.797639,whatsAppBusiness,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749313019.602346,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749314564.560862,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749314643.293651,whatsAppBusiness,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749314938.9663172,whatsAppBusiness,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749328257.9878368,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749360451.396978,outlook,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749364165.05611,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749365922.157985,whatsAppBusiness,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749365931.606481,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749366108.104285,instagram,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749366507.454556,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749369826.632996,outlook,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749371315.8618379,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749371342.6662111,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749371918.750544,outlook,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749371922.4031072,mail,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749376643.119946,whatsAppBusiness,3.0,Europe/London,False,openedApp,breathingExercise,Message
1749379586.883316,whatsAppBusiness,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
1749379655.476754,imessage,3.0,Europe/London,False,dismissedAppOpening,breathingExercise,
