resolution,interventionType,timestamp,interventionDuration,isReIntervention,timezone,app,purpose
dismissedAppOpening,breathingExercise,1752078627.7878551,6,False,Europe/London,clashOfClans,
dismissedAppOpening,breathingExercise,1752094525.081193,6,False,Europe/London,gmail,
openedApp,breathingExercise,1752097038.4532762,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1752097076.590167,6,False,Europe/London,google,
openedApp,breathingExercise,1752097091.432555,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752130015.672842,6,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1752130073.27,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752132334.690586,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752158825.118962,6,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1752179050.349942,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752179261.910273,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1752180726.913437,6,False,Europe/London,google,
openedApp,breathingExercise,1752180742.847231,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1752181578.5095181,6,False,Europe/London,google,
dismissedAppOpening,breathingExercise,1752181589.721191,6,False,Europe/London,google,
openedApp,breathingExercise,1752181607.685641,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752212925.589915,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752213374.905219,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752216638.109375,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752218180.784019,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1752244995.0417562,6,False,Europe/London,gmail,
openedApp,breathingExercise,1752251445.006398,6,False,Europe/London,whastapp,Bored
dismissedAppOpening,breathingExercise,1752251587.095094,6,False,Europe/London,google,
dismissedAppOpening,breathingExercise,1752251643.4895139,6,False,Europe/London,google,
dismissedAppOpening,breathingExercise,1752251671.5506868,6,False,Europe/London,google,
dismissedAppOpening,breathingExercise,1752251720.5325022,6,False,Europe/London,google,
openedApp,breathingExercise,1752251769.083932,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1752253222.6903648,6,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1752253226.6255279,6,False,Europe/London,whastapp,
openedApp,breathingExercise,1752255232.38277,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1752256581.660248,6,False,Europe/London,google,
dismissedAppOpening,breathingExercise,1752256585.469738,6,False,Europe/London,google,
dismissedAppOpening,breathingExercise,1752256588.40021,6,False,Europe/London,google,
openedApp,breathingExercise,1752264615.274414,6,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1752264636.6249561,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1752266374.048332,6,False,Europe/London,google,
openedApp,breathingExercise,1752269548.931972,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752269651.2334762,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752269851.530721,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752269984.318959,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752303000.633321,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752304599.4421191,6,False,Europe/London,spotify,Bored
openedApp,breathingExercise,1752312319.9727988,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1752321609.907675,6,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1752321612.813267,6,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1752321616.549854,6,False,Europe/London,whastapp,
openedApp,breathingExercise,1752321641.1565871,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1752322171.184727,6,False,Europe/London,google,
openedApp,breathingExercise,1752323915.557404,6,False,Europe/London,spotify,Bored
openedApp,breathingExercise,1752411434.066063,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1752422917.412569,6,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1752422922.2299209,6,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1752425556.022119,6,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1752425559.032414,6,False,Europe/London,whastapp,
openedApp,breathingExercise,1752425717.168189,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752426792.378614,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1752427509.1451988,6,False,Europe/London,google,
openedApp,breathingExercise,1752433190.509161,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752436940.454541,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1752472651.2802892,6,False,Europe/London,google,
openedApp,breathingExercise,1752472665.717555,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752474511.4256,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752505326.2663488,6,False,Europe/London,whastapp,Bored
dismissedAppOpening,breathingExercise,1752505449.1009169,6,False,Europe/London,gmail,
openedApp,breathingExercise,1752505529.2763128,6,False,Europe/London,whastapp,Bored
dismissedAppOpening,breathingExercise,1752505652.543425,6,False,Europe/London,whastapp,
openedApp,breathingExercise,1752505670.661965,6,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1752505902.8108,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1752506538.264719,6,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1752506541.261293,6,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1752508671.314477,6,False,Europe/London,google,
openedApp,breathingExercise,1752508695.9693608,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752519778.1451921,6,False,Europe/London,spotify,Bored
dismissedAppOpening,breathingExercise,1752520081.386683,6,False,Europe/London,google,
openedApp,breathingExercise,1752520181.771301,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752520899.7521539,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752523886.347348,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752527328.472475,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752558902.2681398,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752563783.609597,6,False,Europe/London,whastapp,Bored
dismissedAppOpening,breathingExercise,1752592053.904494,6,False,Europe/London,google,
openedApp,breathingExercise,1752592071.104617,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752595078.587316,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752595645.2229419,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752597550.578121,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1752601644.851505,6,False,Europe/London,gmail,
dismissedAppOpening,breathingExercise,1752601647.94726,6,False,Europe/London,gmail,
dismissedAppOpening,breathingExercise,1752601671.2055511,6,False,Europe/London,google,
openedApp,breathingExercise,1752601757.705147,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752603563.2309551,6,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1752604488.426707,6,False,Europe/London,google,
dismissedAppOpening,breathingExercise,1752604493.72019,6,False,Europe/London,google,
dismissedAppOpening,breathingExercise,1752604496.235575,6,False,Europe/London,google,
dismissedAppOpening,breathingExercise,1752604499.659486,6,False,Europe/London,google,
dismissedAppOpening,breathingExercise,1752605723.7301102,6,False,Europe/London,whastapp,
openedApp,breathingExercise,1752605737.701447,6,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1752605791.0502791,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752609219.862498,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752610513.3923302,6,False,Europe/London,google,Bored
openedApp,breathingExercise,1752646034.291397,6,False,Europe/London,google,Bored
