resolution,interventionType,timestamp,interventionDuration,isReIntervention,timezone,app,purpose
openedApp,breathingExercise,1750916811.3073359,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1750919781.803174,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1750920065.7048922,3,False,Europe/London,gmail,
openedApp,breathingExercise,1750920076.533263,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1750922007.146456,3,False,Europe/London,whastapp,Bored
dismissedAppOpening,breathingExercise,1750922067.829904,3,False,Europe/London,gmail,
openedApp,breathingExercise,1750948905.898106,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1750948919.53366,3,False,Europe/London,gmail,Bored
openedApp,breathingExercise,1750948972.8865829,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1750950304.07952,3,False,Europe/London,clashOfClans,Bored
dismissedAppOpening,breathingExercise,1750950391.973535,3,False,Europe/London,gmail,
dismissedAppOpening,breathingExercise,1750950399.87921,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1750950766.0469398,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1750951721.2965832,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1750953424.280476,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1750954261.387053,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1750955517.1857,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1750957513.192049,3,False,Europe/London,spotify,Post something
dismissedAppOpening,breathingExercise,1750960876.510425,3,False,Europe/London,google,
dismissedAppOpening,breathingExercise,1750961012.3466659,3,False,Europe/London,brawlStars,
openedApp,breathingExercise,1750961023.197715,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1750965495.018909,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1750968977.6182652,3,False,Europe/London,gmail,Bored
openedApp,breathingExercise,1750969010.416892,3,False,Europe/London,whastapp,Bored
dismissedAppOpening,breathingExercise,1750969702.365186,3,False,Europe/London,google,
openedApp,breathingExercise,1750969714.9889731,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1750972745.996172,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1750973859.252678,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751004345.055303,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751004351.839384,3,False,Europe/London,gmail,
openedApp,breathingExercise,1751004374.691657,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1751004514.397558,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1751006080.981399,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751006158.7075372,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751006828.887535,3,False,Europe/London,gmail,
dismissedAppOpening,breathingExercise,1751007366.771204,3,False,Europe/London,gmail,
dismissedAppOpening,breathingExercise,1751007371.56249,3,False,Europe/London,google,
openedApp,breathingExercise,1751007381.116263,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751009917.0570989,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751009919.440816,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751009924.015291,3,False,Europe/London,gmail,
dismissedAppOpening,breathingExercise,1751010175.387501,3,False,Europe/London,gmail,
openedApp,breathingExercise,1751010193.911473,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1751013293.1503649,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1751013524.895125,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751014032.1777282,3,False,Europe/London,gmail,
openedApp,breathingExercise,1751014657.6302419,3,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1751014781.3392491,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1751014828.506314,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1751017811.909531,3,False,Europe/London,gmail,
openedApp,breathingExercise,1751021815.009454,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1751024416.008071,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751024417.8346992,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1751024431.473793,3,False,Europe/London,whastapp,Bored
dismissedAppOpening,breathingExercise,1751024450.0424628,3,False,Europe/London,gmail,
openedApp,breathingExercise,1751024468.976925,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1751026369.945393,3,False,Europe/London,gmail,
dismissedAppOpening,breathingExercise,1751026373.78814,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1751026398.192741,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1751026829.5390968,3,False,Europe/London,brawlStars,Escape / Avoid
dismissedAppOpening,breathingExercise,1751027589.437045,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1751027594.8383079,3,False,Europe/London,gmail,
dismissedAppOpening,breathingExercise,1751027636.926394,3,False,Europe/London,brawlStars,
openedApp,breathingExercise,1751029833.7554998,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1751029864.520452,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1751030331.800354,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1751030342.698834,3,False,Europe/London,whastapp,Bored
openedApp,breathingExercise,1751033042.628546,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1751033712.930986,3,False,Europe/London,gmail,Bored
