interventionDuration,app,timezone,interventionType,resolution,timestamp,isReIntervention,timeIntervalUntilReIntervention
3,tikTok,Europe/Berlin,breathingExercise,dismissedAppOpening,1752506954.216249,False,
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752518216.838383,False,900.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752519141.376488,True,900.0
3,tikTok,Europe/Berlin,breathingExercise,dismissedAppOpening,1752519897.782937,False,
3,tikTok,Europe/Berlin,breathingExercise,dismissedAppOpening,1752522577.743541,False,
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752530267.686232,False,1800.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752531767.030232,False,600.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752590168.607644,False,900.0
3,tikTok,Europe/Berlin,breathingExercise,dismissedAppOpening,1752590664.708399,False,
3,tikTok,Europe/Berlin,breathingExercise,dismissedAppOpening,1752594116.520712,False,
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752594970.20454,False,900.0
3,tikTok,Europe/Berlin,breathingExercise,dismissedAppOpening,1752595776.24986,False,
3,tikTok,Europe/Berlin,breathingExercise,dismissedAppOpening,1752597994.303812,False,
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752678673.756192,False,900.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752681508.051042,False,900.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752683279.009256,False,900.0
3,tikTok,Europe/Berlin,breathingExercise,dismissedAppOpening,1752684298.9499269,False,
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752704070.6663198,False,900.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752761385.1836538,False,900.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752763416.083463,False,780.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752782265.5055919,False,900.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752785809.37745,False,540.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752846895.138514,False,900.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752847337.714264,False,720.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752847480.673631,False,720.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752866532.563613,False,540.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752874592.995585,False,900.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752875124.441489,False,900.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752875176.989616,False,840.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752920514.8885279,False,900.0
3,tikTok,Europe/Berlin,breathingExercise,dismissedAppOpening,1752924490.7682471,False,
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752927679.870974,False,900.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752927858.4480681,False,840.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752934862.109679,False,960.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752948297.539336,False,900.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752949234.177783,False,840.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1752956217.285966,False,600.0
3,tikTok,Europe/Berlin,breathingExercise,openedApp,1753009042.012655,False,780.0
