interventionDuration,timestamp,timezone,app,resolution,isReIntervention,interventionType
3,1753261850.2135448,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753263040.4704561,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753263326.1539888,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753263351.907764,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753267145.8794842,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753267155.870445,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753268179.947165,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753268184.890809,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753269006.6170812,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753269455.310293,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753269526.618058,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753272256.5429769,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753272259.6864882,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753276420.357081,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753276422.927356,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753276425.18701,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753276429.916875,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753276434.337398,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753276840.107919,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753276843.994123,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753277444.8010411,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753280262.602963,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753282780.833998,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753283356.185365,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753283365.728646,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753283935.984287,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753283938.469943,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753283941.166801,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753283950.478883,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753284619.782442,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753284622.23083,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753289114.887183,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753289118.035451,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753289361.4299788,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753289364.9541001,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753289367.104675,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753289370.3268719,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753289372.59896,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753289380.3838449,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753290979.528315,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753290985.7235851,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753290988.6877851,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753290995.023592,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753291893.852983,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753291897.652031,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753291899.588283,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753291903.153089,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753292392.70722,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753294751.575512,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753294754.476913,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753299348.954092,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753299351.750183,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753302521.236878,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753302650.1948981,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753303765.820201,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753303768.209959,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753304922.628697,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753305597.068744,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753309722.6426702,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753309726.917547,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753309729.291143,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753309733.263948,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753309735.699985,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753310984.015876,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753345081.390619,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753345091.4320211,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753346642.241296,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753347196.475058,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753347199.187568,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753347207.776507,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753351341.82301,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753351345.14192,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753351346.946908,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753351349.306034,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753351355.686185,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753351357.325906,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753351358.821683,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753351360.226877,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753354349.403915,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753354351.5515208,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753354353.4884028,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753354363.358495,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753356580.1996741,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753356586.2623491,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753356588.137248,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753356590.606032,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
