resolution,interventionDuration,interventionType,isReIntervention,purpose,timeIntervalUntilReIntervention,timezone,timestamp,app
openedApp,3,breathingExercise,False,Mensaje,60.0,America/Denver,1749049452.9317799,youtube
openedApp,3,breathingExercise,True,Aburrido,900.0,America/Denver,1749049532.487196,youtube
openedApp,3,breathingExercise,False,Mensaje,600.0,America/Denver,1749049634.941428,youtube
openedApp,3,breathingExercise,False,Mensaje,540.0,America/Denver,1749054095.5178962,youtube
openedApp,3,breathingExercise,False,Mensaje,300.0,America/Denver,1749054266.526015,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749054520.434918,telegram
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749060011.696054,youtube
openedApp,3,breathingExercise,False,Mensaje,900.0,America/Denver,1749067843.6768742,youtube
openedApp,3,breathingExercise,True,Buscar info,900.0,America/Denver,1749068762.922564,youtube
openedApp,3,breathingExercise,False,Mensaje,,America/Denver,1749080923.491376,telegram
openedApp,3,breathingExercise,False,Mensaje,900.0,America/Denver,1749081178.497149,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749081699.820045,youtube
openedApp,3,breathingExercise,False,Mensaje,480.0,America/Denver,1749081778.078553,youtube
dismissedAppOpening,3,breathingExercise,True,,,America/Denver,1749082267.534442,youtube
openedApp,3,breathingExercise,False,Mensaje,60.0,America/Denver,1749082280.643085,youtube
openedApp,3,breathingExercise,False,Mensaje,900.0,America/Denver,1749085383.846535,youtube
openedApp,3,breathingExercise,True,Entretenimiento,780.0,America/Denver,1749086304.993921,youtube
openedApp,3,breathingExercise,False,Mensaje,900.0,America/Denver,1749129941.482871,youtube
openedApp,3,breathingExercise,False,Mensaje,900.0,America/Denver,1749131179.94912,youtube
openedApp,3,breathingExercise,False,Mensaje,900.0,America/Denver,1749137458.804266,youtube
openedApp,3,breathingExercise,False,Mensaje,780.0,America/Denver,1749142471.187284,youtube
openedApp,3,breathingExercise,False,Mensaje,300.0,America/Denver,1749142504.5532432,youtube
openedApp,3,breathingExercise,False,Mensaje,300.0,America/Denver,1749144684.390096,youtube
openedApp,3,breathingExercise,False,Mensaje,900.0,America/Denver,1749146565.6195002,youtube
openedApp,3,breathingExercise,True,Mensaje,900.0,America/Denver,1749147492.380713,youtube
openedApp,3,breathingExercise,True,Mantente Informado,900.0,America/Denver,1749148407.512152,youtube
openedApp,3,breathingExercise,False,Mantente Informado,900.0,America/Denver,1749152021.988041,youtube
openedApp,3,breathingExercise,False,Mantente Informado,900.0,America/Denver,1749153035.254562,youtube
openedApp,3,breathingExercise,False,Mensaje,,America/Denver,1749183959.578337,telegram
openedApp,3,breathingExercise,False,Mensaje,,America/Denver,1749184085.442002,telegram
openedApp,3,breathingExercise,False,Mensaje,900.0,America/Denver,1749219583.5566869,youtube
openedApp,3,breathingExercise,True,Entretenimiento,60.0,America/Denver,1749220539.885818,youtube
openedApp,3,breathingExercise,False,Mensaje,900.0,America/Denver,1749221488.287173,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749221800.021369,youtube
dismissedAppOpening,3,breathingExercise,False,,,America/Denver,1749222889.750309,youtube
openedApp,3,breathingExercise,False,Entretenimiento,900.0,America/Denver,1749223036.0024529,youtube
