resolution,app,timezone,interventionType,interventionDuration,timestamp,isReIntervention,purpose
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749114512.347338,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749143807.4158158,False,Message
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749145216.7916188,False,Message
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749145400.0201778,False,
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749146905.0948892,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749152413.886845,False,Message
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749152448.2704182,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749154850.766036,False,Message
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749155288.003436,False,Message
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749155450.798376,False,
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749156768.699582,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749161500.240047,False,Message
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749171799.397094,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749173280.285939,False,Message
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749185469.091827,False,
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749186027.699057,False,
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749186832.091785,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749191493.504559,False,Message
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749191854.9550428,False,Search Info
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749194868.63657,False,Message
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749203414.924645,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749205337.0198169,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749233430.3775082,False,
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749234918.452178,False,
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749234921.844631,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749236587.3510919,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749243102.5734348,False,Message
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749243536.8740249,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749243548.499361,False,Message
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749244873.426262,False,Message
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749250043.458297,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749251866.9766011,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749254744.937315,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749254872.757823,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749258819.593374,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749259160.505394,False,Stay In the Loop
dismissedAppOpening,instagram,America/Los_Angeles,breathingExercise,3,1749261242.058994,False,
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749272668.90276,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749278239.143955,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749285984.794384,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749287300.1237001,False,Stay In the Loop
openedApp,instagram,America/Los_Angeles,breathingExercise,3,1749287512.176873,False,Stay In the Loop
