timestamp,app,interventionDuration,timezone,interventionType,isReIntervention,resolution
1753184922.718059,instagram,3.0,America/Chicago,breathingExercise,False,dismissedAppOpening
1753191059.1124,instagram,,America/Chicago,,False,openedApp
1753191239.112401,instagram,,America/Chicago,,False,closedApp
1753191239.112401,instagram,,America/Chicago,,False,dismissedAppOpening
1753211213.9466162,instagram,,America/Chicago,,False,openedApp
1753211393.9466162,instagram,,America/Chicago,,False,closedApp
1753211393.9466162,instagram,,America/Chicago,,False,dismissedAppOpening
1753233605.613954,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753233924.005764,instagram,,America/Chicago,,False,openedApp
1753234104.005764,instagram,,America/Chicago,,False,closedApp
1753234104.005764,instagram,,America/Chicago,,False,dismissedAppOpening
1753279170.668736,instagram,3.0,America/Chicago,breathingExercise,False,dismissedAppOpening
1753291825.398346,instagram,,America/Chicago,,False,openedApp
1753292005.398346,instagram,,America/Chicago,,False,closedApp
1753292005.398346,instagram,,America/Chicago,,False,dismissedAppOpening
1753366995.117382,instagram,3.0,America/Chicago,breathingExercise,False,dismissedAppOpening
1753375951.150446,instagram,,America/Chicago,,False,openedApp
1753376131.150447,instagram,,America/Chicago,,False,closedApp
1753376131.150447,instagram,,America/Chicago,,False,dismissedAppOpening
1753391086.199259,instagram,,America/Chicago,,False,openedApp
1753391266.199259,instagram,,America/Chicago,,False,closedApp
1753391266.199259,instagram,,America/Chicago,,False,dismissedAppOpening
1753411520.320759,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753412682.7616801,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753454864.014065,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753455795.111042,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753464832.5339541,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753509163.984154,instagram,,America/Chicago,,False,openedApp
1753509343.984154,instagram,,America/Chicago,,False,closedApp
1753509343.984154,instagram,,America/Chicago,,False,dismissedAppOpening
1753565196.778016,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753567890.2003121,instagram,,America/Chicago,,False,openedApp
1753568070.2003121,instagram,,America/Chicago,,False,closedApp
1753568070.2003121,instagram,,America/Chicago,,False,dismissedAppOpening
1753573639.190947,instagram,,America/Chicago,,False,openedApp
1753573819.190947,instagram,,America/Chicago,,False,closedApp
1753573819.190947,instagram,,America/Chicago,,False,dismissedAppOpening
1753586591.0937362,instagram,,America/Chicago,,False,openedApp
1753586771.0937362,instagram,,America/Chicago,,False,closedApp
1753586771.0937371,instagram,,America/Chicago,,False,dismissedAppOpening
1753620022.0003471,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753631748.2670898,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753647204.906069,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753662122.86873,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753667458.100225,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753671077.935888,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753714403.899746,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753716654.009227,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753719121.414415,instagram,,America/Chicago,,False,openedApp
1753719301.4144158,instagram,,America/Chicago,,False,closedApp
1753719301.4144158,instagram,,America/Chicago,,False,dismissedAppOpening
1753720529.335785,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753733109.3439941,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753738697.555461,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753804168.427681,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753824705.599638,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753875228.641429,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753890409.8835878,instagram,3.0,America/Chicago,breathingExercise,False,dismissedAppOpening
1753890436.846386,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753910976.617999,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753964158.448464,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1753989203.192683,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1754017062.842208,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1754017397.575597,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1754058967.30041,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1754063150.252156,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1754066522.1857672,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1754069681.729491,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1754072905.226256,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1754091925.356998,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1754110736.637286,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1754163669.537148,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1754191334.404294,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1754238058.906265,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
1754246800.7477288,instagram,3.0,America/Chicago,breathingExercise,False,openedApp
