timestamp,app,interventionType,resolution,isReIntervention,timezone,interventionDuration,timeIntervalUntilReIntervention,purpose
1752601108.1066651,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,600.0,Entertainment
1752603045.24455,instagram,breathingExercise,openedApp,False,America/Montevideo,3.0,360.0,Stay In the Loop
1752603242.694807,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,300.0,Stay In the Loop
1752607199.918437,tikTok,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752607865.1140208,twitter,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752608227.822453,tikTok,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752609243.489193,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,60.0,Stay In the Loop
1752614258.832117,instagram,breathingExercise,openedApp,False,America/Montevideo,3.0,300.0,Search Info
1752616456.870574,tikTok,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752616476.922435,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,360.0,Bored
1752621307.191256,twitter,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752626927.698964,twitter,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752630378.853096,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,480.0,Stay In the Loop
1752631034.628823,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,360.0,Stay In the Loop
1752667144.445169,twitter,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752670878.4583058,twitter,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752672265.0719419,tikTok,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752673008.303395,twitter,breathingExercise,openedApp,False,America/Montevideo,3.0,540.0,Stay In the Loop
1752676552.9977741,tikTok,breathingExercise,dismissedAppOpening,False,America/Montevideo,3.0,,
1752676665.5355968,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,600.0,Stay In the Loop
1752677117.981678,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,60.0,Search Info
1752677624.171922,tikTok,breathingExercise,openedApp,False,America/Montevideo,3.0,600.0,Stay In the Loop
