isReIntervention,interventionDuration,interventionType,timezone,resolution,timestamp,app,purpose
False,3.0,breathingExercise,Europe/Zurich,dismissedAppOpening,1748563912.980499,youtube,
False,3.0,breathingExercise,Europe/Zurich,openedApp,1748610491.434927,youtube,Search Info
False,,,Europe/Zurich,closedApp,1748610507.792911,youtube,
False,3.0,breathingExercise,Europe/Zurich,openedApp,1748610534.21872,youtube,Search Info
False,,,Europe/Zurich,closedApp,1748610712.097846,youtube,
False,3.0,breathingExercise,Europe/Zurich,openedApp,1748951961.216892,youtube,Search Info
False,,,Europe/Zurich,closedApp,1748952313.565805,youtube,
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749282249.7814121,instagram,Stay In the Loop
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749282316.604897,instagram,Stay In the Loop
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749282465.549382,instagram,Stay In the Loop
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749364810.2566972,pinterest,Stalk crush
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749416194.102422,C30D35AF-0052-4B78-8118-EB65990754A3,Stay In the Loop
False,,,Europe/Zurich,closedApp,1749416217.23658,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749416254.3721662,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749416315.756757,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749416316.842314,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749416319.300842,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749416395.1680012,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749416452.672219,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749416462.738103,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749416489.214067,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749416495.317723,C30D35AF-0052-4B78-8118-EB65990754A3,
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749416507.2930632,theGuardian,Stay In the Loop
False,,,Europe/Zurich,closedApp,1749416576.7827091,theGuardian,
False,,,Europe/Zurich,closedApp,1749416755.5300698,theGuardian,
False,,,Europe/Zurich,closedApp,1749416758.067048,theGuardian,
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749447186.437872,theGuardian,Stay In the Loop
False,,,Europe/Zurich,closedApp,1749447215.723736,theGuardian,
False,,,Europe/Zurich,closedApp,1749447355.6388721,theGuardian,
False,,,Europe/Zurich,closedApp,1749447394.432228,theGuardian,
False,,,Europe/Zurich,closedApp,1749447528.82449,theGuardian,
False,,,Europe/Zurich,closedApp,1749447538.333977,theGuardian,
False,,,Europe/Zurich,closedApp,1749447579.033236,theGuardian,
False,,,Europe/Zurich,closedApp,1749447628.7496219,theGuardian,
False,,,Europe/Zurich,closedApp,1749447782.836419,theGuardian,
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749448791.493309,C30D35AF-0052-4B78-8118-EB65990754A3,Stay In the Loop
False,,,Europe/Zurich,closedApp,1749448820.461563,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749451202.791068,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749451208.562309,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749451240.291245,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749451396.718812,C30D35AF-0052-4B78-8118-EB65990754A3,
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749462060.187127,instagram,Post something
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749465858.245936,instagram,Post something
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749466630.399862,instagram,Work 
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749466938.105733,instagram,Work 
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749496758.012319,C30D35AF-0052-4B78-8118-EB65990754A3,Stay In the Loop
False,,,Europe/Zurich,closedApp,1749496784.285979,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749496811.774581,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749496900.997921,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749496924.86934,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749496957.288537,C30D35AF-0052-4B78-8118-EB65990754A3,
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749496971.84748,theGuardian,Stay In the Loop
False,,,Europe/Zurich,closedApp,1749496977.0018802,theGuardian,
False,,,Europe/Zurich,closedApp,1749497137.833065,theGuardian,
False,,,Europe/Zurich,closedApp,1749497158.62759,theGuardian,
False,,,Europe/Zurich,closedApp,1749497324.4788399,theGuardian,
False,,,Europe/Zurich,closedApp,1749497510.771466,theGuardian,
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749585167.4265552,C30D35AF-0052-4B78-8118-EB65990754A3,Stay In the Loop
False,,,Europe/Zurich,closedApp,1749585184.046283,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749585194.985029,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749585240.370755,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749585250.212182,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749585267.278604,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749585319.046037,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749585324.494269,C30D35AF-0052-4B78-8118-EB65990754A3,
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749585342.261149,theGuardian,Stay In the Loop
False,,,Europe/Zurich,closedApp,1749585415.1328459,theGuardian,
False,,,Europe/Zurich,closedApp,1749585496.126865,theGuardian,
False,,,Europe/Zurich,closedApp,1749585498.763917,theGuardian,
False,,,Europe/Zurich,closedApp,1749585759.511307,theGuardian,
False,,,Europe/Zurich,closedApp,1749585777.1115,theGuardian,
False,,,Europe/Zurich,closedApp,1749585808.7615519,theGuardian,
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749627670.941311,instagram,Work 
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749678101.085119,theGuardian,Stay In the Loop
False,,,Europe/Zurich,closedApp,1749678154.596729,theGuardian,
False,,,Europe/Zurich,closedApp,1749678206.160365,theGuardian,
False,,,Europe/Zurich,closedApp,1749678208.886191,theGuardian,
False,,,Europe/Zurich,closedApp,1749678289.121238,theGuardian,
False,,,Europe/Zurich,closedApp,1749678349.820387,theGuardian,
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749678471.607436,theGuardian,Stay In the Loop
False,,,Europe/Zurich,closedApp,1749678506.9746032,theGuardian,
False,,,Europe/Zurich,closedApp,1749678591.229169,theGuardian,
False,,,Europe/Zurich,closedApp,1749678659.058038,theGuardian,
False,,,Europe/Zurich,closedApp,1749678705.49396,theGuardian,
False,,,Europe/Zurich,closedApp,1749678710.921912,theGuardian,
False,,,Europe/Zurich,closedApp,1749678840.028911,theGuardian,
False,,,Europe/Zurich,closedApp,1749678929.2445478,theGuardian,
False,,,Europe/Zurich,closedApp,1749679101.869961,theGuardian,
False,,,Europe/Zurich,closedApp,1749679171.687121,theGuardian,
False,,,Europe/Zurich,closedApp,1749679253.639123,theGuardian,
False,,,Europe/Zurich,closedApp,1749679307.228894,theGuardian,
False,,,Europe/Zurich,closedApp,1749679372.2685971,theGuardian,
False,,,Europe/Zurich,closedApp,1749679379.3602939,theGuardian,
False,,,Europe/Zurich,closedApp,1749679549.609966,theGuardian,
False,,,Europe/Zurich,closedApp,1749679557.139014,theGuardian,
False,3.0,breathingExercise,Europe/Zurich,openedApp,1749704108.106073,C30D35AF-0052-4B78-8118-EB65990754A3,Stay In the Loop
False,,,Europe/Zurich,closedApp,1749704116.2201371,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749704241.19294,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749704258.362525,C30D35AF-0052-4B78-8118-EB65990754A3,
False,,,Europe/Zurich,closedApp,1749704477.353314,C30D35AF-0052-4B78-8118-EB65990754A3,
