resolution,app,timestamp,interventionDuration,interventionType,isReIntervention,timezone,purpose
dismissedAppOpening,instagram,1750866310.513423,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1750876514.238914,3,breathingExercise,False,Asia/Kolkata,Entertainment
openedApp,instagram,1750878676.910353,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1750878913.03235,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
dismissedAppOpening,instagram,1750878954.037287,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1750905818.359033,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
dismissedAppOpening,instagram,1750906196.3107839,3,breathingExercise,False,Asia/Kolkata,
dismissedAppOpening,instagram,1750906215.4065828,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1750906250.534011,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1750908587.2951179,3,breathingExercise,False,Asia/Kolkata,Bored
openedApp,instagram,1750912102.878502,3,breathingExercise,False,Asia/Kolkata,Escape / Avoid
openedApp,instagram,1750921442.757643,3,breathingExercise,False,Asia/Kolkata,Toilet
openedApp,instagram,1750943920.479713,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1750952621.1046228,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1750954345.5038981,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
dismissedAppOpening,instagram,1750954946.230672,3,breathingExercise,False,Asia/Kolkata,
dismissedAppOpening,instagram,1750955163.125647,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1750958497.695356,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1750966790.6564379,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
dismissedAppOpening,instagram,1750967246.672567,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1750996142.414468,3,breathingExercise,False,Asia/Kolkata,Toilet
openedApp,instagram,1750998733.1630511,3,breathingExercise,False,Asia/Kolkata,Bored
dismissedAppOpening,instagram,1751001592.339168,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1751002999.438415,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751008000.346513,3,breathingExercise,False,Asia/Kolkata,Bored
openedApp,instagram,1751021781.023232,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751021945.544802,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751026821.296257,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
dismissedAppOpening,instagram,1751030207.301279,3,breathingExercise,False,Asia/Kolkata,
openedApp,instagram,1751040186.318416,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
openedApp,instagram,1751048406.826591,3,breathingExercise,False,Asia/Kolkata,Stay In the Loop
