timestamp,interventionType,timezone,app,interventionDuration,resolution,isReIntervention,purpose
1751678407.171447,breathingExercise,America/New_York,instagram,3,openedApp,False,Escape / Avoid
1751679491.287292,breathingExercise,America/New_York,instagram,3,openedApp,False,Escape / Avoid
1751717406.512257,breathingExercise,America/New_York,instagram,3,openedApp,False,Escape / Avoid
1751734677.867138,breathingExercise,America/New_York,instagram,3,openedApp,False,Toilet
1751763690.200705,breathingExercise,America/New_York,instagram,3,openedApp,False,Toilet
1751776715.644906,breathingExercise,America/New_York,instagram,3,openedApp,False,Can’t sleep
1751804084.80309,breathingExercise,America/New_York,instagram,3,openedApp,False,Stay In the Loop
1751813977.2717152,breathingExercise,America/New_York,instagram,3,openedApp,False,Search Info
1751815044.965035,breathingExercise,America/New_York,instagram,3,openedApp,False,Escape / Avoid
1751817050.366685,breathingExercise,America/New_York,instagram,3,dismissedAppOpening,False,
1751819905.165955,breathingExercise,America/New_York,instagram,3,openedApp,False,Stay In the Loop
1751830806.091418,breathingExercise,America/New_York,instagram,3,openedApp,False,Escape / Avoid
1751849201.6431708,breathingExercise,America/New_York,instagram,3,openedApp,False,Stay In the Loop
1751850675.186815,breathingExercise,America/New_York,instagram,3,openedApp,False,Search Info
1751850887.715702,breathingExercise,America/New_York,instagram,3,openedApp,False,Stay In the Loop
1751937102.145763,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1751938824.0610619,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1751972954.176838,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1751983656.38911,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1751990223.950314,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1751991840.2084022,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1751997624.832931,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1751998140.946934,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1751998254.193748,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1752015266.633765,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1752015840.2850041,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1752018651.5784779,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1752023791.961742,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1752024116.949109,breathingExercise,America/New_York,instagram,6,openedApp,False,Post something
1752029229.8609881,breathingExercise,America/New_York,instagram,6,openedApp,False,Can’t sleep
1752029735.2236261,breathingExercise,America/New_York,instagram,6,openedApp,False,Can’t sleep
1752096796.2242088,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1752101274.916939,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1752101488.821784,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1752106484.6611829,breathingExercise,America/New_York,instagram,6,openedApp,False,Search Info
1752113404.6891751,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1752113837.455648,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1752114840.9405031,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1752183606.287813,breathingExercise,America/New_York,instagram,6,openedApp,False,Search Info
1752184010.6437268,breathingExercise,America/New_York,instagram,6,openedApp,False,Entertainment
1752184686.148034,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1752184714.4914122,breathingExercise,America/New_York,instagram,6,openedApp,False,Entertainment
1752260257.7880502,breathingExercise,America/New_York,instagram,6,openedApp,False,Entertainment
1752260914.614141,breathingExercise,America/New_York,instagram,6,openedApp,False,Entertainment
1752284195.953357,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1752295894.343715,breathingExercise,America/New_York,instagram,6,openedApp,False,Can’t sleep
1752361981.1903172,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1752426908.791193,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1752427661.6924272,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1752428232.230561,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1752447667.4774241,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1752452428.7800279,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1752453050.4863272,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1752453055.87358,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1752453071.9246612,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1752453965.584008,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1752454376.0842628,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1752458178.024952,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1752458516.984198,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1752458895.240037,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1752458913.499722,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1752496089.394067,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1752523022.7909222,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1752531834.507601,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1752534621.309236,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1752539790.266289,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1752539829.411212,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1752546781.5913029,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1752584069.8967462,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1752594450.478677,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1752607780.869237,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1752609899.952877,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1752618745.709104,breathingExercise,America/New_York,instagram,6,openedApp,False,Stay In the Loop
1752632567.445179,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1752687031.631861,breathingExercise,America/New_York,instagram,6,openedApp,False,Escape / Avoid
1752689023.863388,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1752718485.388792,breathingExercise,America/New_York,instagram,6,dismissedAppOpening,False,
1752718694.5563722,breathingExercise,America/New_York,instagram,6,openedApp,False,Relax
1752722179.0342798,breathingExercise,America/New_York,instagram,6,openedApp,False,Can’t sleep
