participant_id,last_week,condition,dropout
0006F470-71F5-4743-BDB5-6E281CDDF0CF,1,ACC,1
00B2E996-861C-4EB9-A3F4-06CEB9893B1A,1,CCC,1
00B65324-C0A7-417A-8136-733D0D825110,2,ACC,1
00C7DC22-AB67-4D7A-ADF0-B8AA665767BC,1,BCC,1
011B6B0B-DFB4-4469-809D-643277DE9A67,2,ABC,1
01275D7E-29A2-418D-AFD7-9A4F971E054A,1,ACC,1
012C07FF-59AA-4B24-A863-DE76DBB32220,2,ABC,1
01BAA7E1-28DA-41D6-9A98-315FC8AAE4FA,1,ABC,1
01D91AA7-EB95-4F8D-8067-5BC173EDCD77,2,ACC,1
01F9651C-0107-4FF7-93DA-FF00C616D5FF,1,ACC,1
023DF4AC-FC89-425C-B5BD-4077536AF4EF,2,ABC,1
02B5712B-6C6C-474B-AB29-8BE15CAA4185,5,BCC,1
036CE412-FFB3-40FC-BE2A-B15CB8A4E5BF,5,BCC,1
046636CA-EAA0-42A1-81C3-D75FBE7609FD,1,CCC,1
052B7C79-3A8D-47E7-9EE7-168F5B17A40E,1,ACC,1
05A32404-68DA-44BE-889D-BE7328E22E7F,1,ABC,1
05A4EE97-3CC5-47AC-B311-23BA78B2AE51,2,ACC,1
06708BAE-EA94-4B94-9361-F785AB8796F3,2,CCC,1
06B3245D-3A98-4532-A940-4A9B6FB63110,1,ACC,1
0769750B-1428-433B-A1AB-0EBBA3138E58,2,ACC,1
080ED80E-2818-4BD5-BF97-A37485DA693B,4,CCC,1
08282A27-E37E-4781-AA5D-D29F965EC882,1,ABC,1
082F3BFA-9052-4730-9879-93447510F2B9,1,CCC,1
08425063-F269-49B5-8690-A797AD8E37F6,6,BCC,0
0906B557-9D43-4A96-8DCA-4E675A61BABA,1,ACC,1
091EAB99-84AB-4748-86E2-544962CF1B77,1,ACC,1
097A7465-3B53-4E36-9F08-62CE8B957FB1,6,CCC,0
09D02DA0-8CA6-4E02-8186-344F612A8961,4,CCC,1
0A55E3AA-F124-4786-83C3-DB9EE909FF9D,6,BCC,0
0ABC8EE0-266F-4702-A79F-315D0D50A449,1,ABC,1
0AD6A425-E20E-48C9-A221-51B580F4D5C2,2,ACC,1
0B17C973-CE31-49C3-A25C-59148F930FC2,2,ACC,1
0B9366B5-9DDA-4E0C-852E-036521274190,2,ACC,1
0C182804-100E-42A4-A555-EE42831C723E,1,ACC,1
0CAAC63B-C1C1-4D98-AB0C-7B931B57A4F4,2,ACC,1
0CB0A9E3-D862-4CC8-8C07-5758147797AA,1,CCC,1
0CD2C236-944D-4808-8F89-4D4A7FB5B5D7,5,CCC,1
0E3D0D20-7225-49FF-90C9-065691BFE4D4,2,ACC,1
0E5CEB7A-449E-4018-B2A5-6CCD290C1AD9,1,ACC,1
0EA71549-5A68-4BF5-B2A5-02773C69F7EF,2,ACC,1
0EBAF11F-290E-4AB5-AA96-4DC494EC721A,2,ACC,1
0EC0C0B7-249D-41A2-81D7-57EB5A041EA2,3,BCC,1
0F06659D-10BA-4A1C-AF5E-153850DFB89D,2,ACC,1
0F19138E-B333-415D-BF30-EBBA59D62B1B,2,ACC,1
0F4F9BB4-CF96-4C4E-A625-1403596FC2CF,2,ABC,1
1057AE4C-8958-4C12-8686-DD65BD86E8D8,2,ABC,1
10C1ABD6-7A8D-4C4D-9A49-FC3932EC25FE,1,ACC,1
11CE787E-2C5E-4BCF-B40D-604A9E05D2AC,2,ACC,1
13BAD8C1-A03E-4E37-8038-C8B5C746FD71,2,CCC,1
13F54DA7-312B-492E-A237-E8A9DFA6ECA2,4,CCC,1
14727A3E-0460-4CDC-AF83-8E2D0ECB16AA,6,CCC,0
14864EB0-DE88-4068-B950-22A9275383FE,3,CCC,1
14A925E8-D880-46BB-85DC-4976F91A5010,6,CCC,0
1501FA03-7BCE-4E4A-B60A-AA86AE04D74D,2,ABC,1
152F4D19-7E8A-4B4F-AB15-60ADB12BFF7E,1,ABC,1
15AE2C46-AD83-4DEE-AA06-F6F3985E8A9C,4,CCC,1
165823D3-6535-4BE5-80E5-EB14317E5597,2,ACC,1
178D0273-B84E-4610-B64F-B9B1934F88A7,2,ABC,1
17D7BCB0-B4BD-4BDA-AA72-C2B041E472FC,2,ACC,1
183D66C5-5717-479E-A2A0-2C987D19E122,4,BCC,1
185411C2-42CF-4724-A818-09AA602A3506,2,ABC,1
18B23D72-B27F-4270-9A82-A7D3A587A2F3,2,ABC,1
190B5A06-86CA-4465-8E11-FF5A557C4103,1,ABC,1
1934DCE9-AE0A-4684-BF92-A18C40954499,2,ACC,1
19847835-C508-4CBA-A43E-8D2F98904F76,2,ABC,1
19D034B0-9018-4D04-86D7-4F34FBD0B4FF,2,ACC,1
1A0D93F0-8CC2-41ED-8D15-160522A1EE0A,6,CCC,0
1A0E11E4-4FBE-43FA-8C1F-20531A81E4D4,2,ACC,1
1A2DA9B0-6662-4950-BD03-9F1A74B693D1,2,ABC,1
1A827C3A-6E83-4EA8-AE23-CB50FCD55402,2,ABC,1
1B228C6C-A67E-440F-B29E-911640274B9C,1,CCC,1
1B8581AE-E9C4-428E-A96B-391C3B4F6A69,1,CCC,1
1BE74253-AD6B-4807-B92E-2915FA921B1D,2,ABC,1
1BEBF3E1-B6CF-468B-8738-2844B25201D9,2,ACC,1
1C2520F4-C07C-4C4E-8427-D0191CCC9498,1,CCC,1
1CBB7E8A-ADB1-43AD-9CF7-D7F965ED144C,4,BCC,1
1D8B07FC-FF56-4C2F-B3DE-01F856DDF5C9,6,CCC,0
1E2B3D16-5908-46E0-9275-FE8CB25C296A,1,ACC,1
1E79286C-77D3-4BE7-82F2-4E2BF915A610,1,ABC,1
1E798E17-8C19-4609-9E89-2CFE6E51D344,1,BCC,1
1E7CD7C8-E69C-4B63-8AFE-596EFC38B622,2,ACC,1
1ECD2129-668D-4A62-93E4-13A05A275937,2,ABC,1
1FAFACF3-4C0C-457C-A48F-457E90CE34FC,1,ABC,1
20E1D932-32D6-46ED-81B3-BD266516E65E,1,ACC,1
20F414B0-3EFD-4FAF-ABAF-1E5143A41AF9,1,ACC,1
212AC733-9416-4952-AEA4-09C8BE2BB6E2,2,ACC,1
216B52DC-E5B5-42BB-AC77-284E8E4255CC,1,CCC,1
220706C4-CD1B-4AF8-8D95-1B364CD2AF3B,2,ABC,1
22576278-0D0A-4070-A129-094909924470,2,BCC,1
226E8982-3B23-43CE-8456-24724FBB6D7C,4,BCC,1
23086283-9834-45A3-A2CF-DF8420B24C9D,1,ACC,1
23964DB1-EF99-4950-BE47-5E5BD4B96E55,1,ACC,1
23CBE57E-CB31-4249-A4F3-E47D2AC68779,2,ABC,1
2416F95F-BB53-4AF2-AD66-46E2D9EB1691,6,BCC,0
2419F0E8-7A2F-4BE9-B80D-2734EB4CE018,2,ACC,1
246D3B34-56EF-485E-B30F-364025EA6B83,2,ACC,1
24A74408-218A-4B9F-923B-F6B51D8111C4,2,ACC,1
250080E4-5C71-4667-BBD3-A8C5A7E7EBF1,4,BCC,1
250F9D11-FCD8-4A60-98B4-FA5F9017B748,6,CCC,0
2515D411-5AFA-4179-8928-F6ED2026F4AF,2,CCC,1
25343B52-7BE6-4184-8760-805E48B781BA,5,CCC,1
2566BE9A-FFB6-414B-87D5-21C6ACEE83B9,3,CCC,1
25D1FDD5-D7D9-42BE-B31E-02AB3E6AB213,1,ABC,1
2657040F-5F03-40A1-8B42-E8579099FAC3,2,ABC,1
267E0800-0E18-4B0D-9333-7000E66E1D0A,6,BCC,0
26A48AF4-E1E4-47CD-9611-B195620FF951,1,ABC,1
26CC7F67-C53C-4DAE-8402-370A4D6F3D57,1,BCC,1
2739CF79-31F6-485A-B6BD-41DCEACF25E7,5,CCC,1
273F54B4-6C34-4D49-8C0C-680F5706FAF8,2,ACC,1
2899B31C-7DDC-4DD1-B4A1-86166570DC17,3,CCC,1
29981929-9B15-4D02-9453-E47C6D38EA61,2,ACC,1
29CF2FAA-75DD-4219-9ED9-B3F1C19D93BE,1,ABC,1
2A9585F1-17CB-4F71-BD63-F9B911076CD7,1,ABC,1
2AF409EF-DD00-4AEF-8DB4-A127A23C4994,2,ABC,1
2B859EA7-D200-446C-8048-2CD67D461B0B,6,BCC,0
2BA6950C-720D-4FAD-B150-895FFDDB6F10,2,ACC,1
2BCB934C-67F2-4767-832E-4A9D6C088348,2,ABC,1
2BF592AC-89EF-4AB8-ABDA-380EA91EFC4E,2,ABC,1
2C5E25C1-103F-49BD-86A4-49D660BFF711,5,CCC,1
2E8AD694-D066-4D03-8DB3-8DFBDD51C4C9,4,BCC,1
2EEFAD72-A619-4CEF-AB6C-E1FE4153DB2A,2,ABC,1
2FD7001C-E4C0-40A9-A56C-6AA44DAA7587,2,ACC,1
2FFC58C1-BEA0-4215-B5FA-4C0962F22F91,1,BCC,1
3028BD4E-B26D-4540-B996-C854EB3C49B6,2,ABC,1
320B3FFD-8C78-48BB-BAA5-B0F0085F8C68,2,ABC,1
322552C9-E69F-45D6-8230-3AFC8ED235D4,2,ACC,1
328128C2-6F77-4119-B081-B8D194BB4006,2,ABC,1
3285F425-E097-4B1D-A135-1791763B53F8,4,BCC,1
32F60A23-9481-429D-8763-0AD45DE1974F,5,BCC,1
33432CFC-6BED-46C0-89E7-548C2E5AFA95,2,ACC,1
3352E773-8AFF-4FA6-BA0F-2DD12276AC8B,1,ACC,1
33E58243-CE87-419B-AC9F-D1949F226729,1,ACC,1
341DD416-EE34-4DEB-9CED-2AF540BD7F2D,1,BCC,1
3442CA8B-F0B8-45E0-96A6-034EE2DF0CF6,2,ABC,1
3454623D-96AA-4A0A-B439-D4920FF79B03,2,ACC,1
34FE51C2-FC71-4FEB-BEFE-FA825311373D,5,BCC,1
354A35BB-1EB0-4913-BF96-73238B0A13C8,1,ABC,1
354FCFF2-2085-4F55-891D-F03A6054FA0A,1,BCC,1
35A8F1C0-3FE7-4F44-BAF0-8D4AA3C0FF55,2,ABC,1
35B88BEF-07DB-450B-A99A-204E4B000055,3,BCC,1
35E9CEAD-14F1-453C-AD77-09DB1EADFB5C,2,ACC,1
35FF53BA-951A-4C1E-96D1-141DF91BAA49,4,BCC,1
36326542-8129-4DA7-92CD-9CD8971F6CE8,1,ABC,1
3649BCD2-0F59-41BD-BB58-BA6785C4F281,1,ACC,1
36C86988-813D-433D-BF85-3F866186CC1E,2,ACC,1
36D0EE39-C23A-423B-8C48-D25690F62819,3,BCC,1
370C89A7-1791-4E7B-8297-943107CCE87D,1,CCC,1
37929737-637B-46AC-8C99-B9745BAF1B32,4,CCC,1
379C8858-7419-4E30-9A67-3EE523989C8F,1,ACC,1
37F22EA8-490E-4EB8-BA0B-C5FA90A1692E,1,CCC,1
38483A33-B46D-4945-A56E-092A48E0E6AE,1,BCC,1
38F3E3EE-6BB4-4CD8-B9EC-15F630B1F2F9,6,BCC,0
38F9D9A9-6B6A-49C3-8B00-35C1E79E7EE3,1,ABC,1
394E3A05-7C69-4B7C-9929-27D1D9C998B5,1,ABC,1
39DB0619-8DC9-4DFB-84E7-EF31902AD71C,6,CCC,0
39EF3BB5-704F-4682-A888-81257DD00A24,2,ACC,1
3A3C5D0E-FB8F-4BCA-88AB-0E13A91214FB,2,ABC,1
3A6A1F9F-11E3-4028-B88F-068F3468CEF7,2,ACC,1
3A7212C6-0EC6-4D2B-AEA7-C5591BE33E2E,2,ACC,1
3B0EE149-9FBB-4732-BF31-83F2229C7B4D,1,ABC,1
3B14EB90-C712-40F3-A037-2C7F8BC98AB2,3,CCC,1
3B1E9452-4DC3-4B74-B71C-0620A081358B,2,ABC,1
3B1EDEF7-F7AB-41B5-801B-783822C66F66,6,CCC,0
3C2C37F2-95B1-431C-BA27-3A3A0E2065C3,5,BCC,1
3C3F26DC-B48E-4CEF-ADF0-274313F04531,5,BCC,1
3C430345-E130-4283-8F98-EDCE06136F31,2,ACC,1
3C77A8E5-5802-470D-9E5F-2BBA39D90CAE,2,ACC,1
3CD5FB45-6F1C-4841-9FF9-56965FF92E28,2,ACC,1
3D430DA9-EDB3-4685-9EE9-D0255AF313AC,1,CCC,1
3D4BC01B-C831-4DB2-BD20-D789933FE913,2,ABC,1
3D4C267E-D1A1-4A6C-9F79-C8F084121DC0,2,ACC,1
3D6493A2-96B9-4621-9877-1A9CC2B0756B,1,BCC,1
3DF645A6-7068-4832-A94F-6124BD1DC601,2,ACC,1
3E597416-2977-4A1E-87EC-EB9A6AAE011D,1,ABC,1
400EE5DB-775A-41B4-9257-CB7AE5C3BB10,2,ABC,1
4043F9F1-4E99-4BF7-9DC6-D72F9FFF0DA8,1,ABC,1
4154C3FE-9674-4DC2-B130-069C689CEAF1,1,ACC,1
41619804-3BBD-47DC-A178-D5966254226B,2,ACC,1
417DFD1D-6439-47E5-ABA3-58C1158AB1D2,2,ABC,1
42025A9D-82DF-4EB4-9933-52187B0FE24B,1,ABC,1
423E967B-F8B5-45A6-9072-685986E21F14,1,ACC,1
4285F583-DEDD-41B8-ABE4-AD427320BBF4,2,ACC,1
42A89D52-E0D0-48FB-B446-65676B6B64F4,3,CCC,1
42AB9581-912B-45E8-A18D-27F76574A83C,2,ACC,1
43712857-3DF6-40B8-AF50-AC2C23A4ABB1,6,CCC,0
43776A37-E960-4996-A48E-7B22972EA94D,2,CCC,1
4451866E-9A7B-46E6-86A8-B279C38B2F35,2,ABC,1
451188B1-95DE-4A13-8C6A-CDB534A507C6,1,CCC,1
45E0989A-B7E5-4145-A3B6-2413D723EA23,2,ABC,1
46B1F9AD-032E-4CFD-87B3-F3DBB0977906,2,ABC,1
46CB04EF-5867-44FF-B468-F854A44A0933,2,ACC,1
46D57898-6A4E-4E5F-AFA2-9FE9DCC01A34,1,ACC,1
46E0F79F-9A33-4018-8668-530E6A061DB2,2,ACC,1
4749D586-FE6E-44C4-9815-BFA7586D8039,1,BCC,1
4871601D-6106-4AC4-845F-7C7C59FF5755,4,BCC,1
487F4AA9-54A5-47BF-8461-19E22BF6D13E,5,BCC,1
48F7E7C0-5E6F-428B-8C5C-08E33F5D6E5F,2,ABC,1
49503CCA-AD64-498F-B8D0-7A56686BABA9,1,BCC,1
4967A975-A371-4784-A03E-7B645651BA5F,5,BCC,1
4A15F5E9-AA75-486A-9A9C-2DDB5AB74DB8,2,ACC,1
