participant_id,condition,phase,study_week,attempted,dismissed,executed,delay_type,delay_secs
DF5D9DE3-BF17-419F-AE8F-D2704C51F8D8,BCC,phase1,3,2,0,2,C,10
DF5D9DE3-BF17-419F-AE8F-D2704C51F8D8,BCC,phase1,4,4,2,2,C,10
DF722471-E38F-41B1-BC8C-93F0D14C8583,ACC,phase2,1,111,51,60,A,3
DF722471-E38F-41B1-BC8C-93F0D14C8583,ACC,phase2,2,178,43,135,A,3
DF722471-E38F-41B1-BC8C-93F0D14C8583,ACC,phase2,3,160,29,131,C,10
DF722471-E38F-41B1-BC8C-93F0D14C8583,ACC,phase2,4,58,14,44,C,10
DF7D41BF-12A3-4D67-96B6-1E397296B483,ACC,phase1,1,134,6,128,A,3
DFC369DD-9385-482C-9D2D-FBBEEF95C225,BCC,phase1,1,76,2,74,B,6
DFC369DD-9385-482C-9D2D-FBBEEF95C225,BCC,phase1,2,63,4,59,B,6
DFC369DD-9385-482C-9D2D-FBBEEF95C225,BCC,phase1,3,85,11,74,C,10
DFC369DD-9385-482C-9D2D-FBBEEF95C225,BCC,phase1,4,77,9,68,C,10
DFC369DD-9385-482C-9D2D-FBBEEF95C225,BCC,phase1,5,3,0,3,C,10
DFE2FCDB-DB81-4FEB-928D-3FA55388ED34,ACC,phase2,1,43,11,32,A,3
DFF97FA6-6553-4E22-9EC4-58E3DEB767F5,BCC,phase1,1,10,3,7,B,6
E0187D5E-D5CC-4B33-B10D-959A37A2C8B2,BCC,phase2,1,105,9,96,B,6
E0187D5E-D5CC-4B33-B10D-959A37A2C8B2,BCC,phase2,2,89,5,84,B,6
E0187D5E-D5CC-4B33-B10D-959A37A2C8B2,BCC,phase2,3,73,9,64,C,10
E0187D5E-D5CC-4B33-B10D-959A37A2C8B2,BCC,phase2,4,41,10,31,C,10
E0187D5E-D5CC-4B33-B10D-959A37A2C8B2,BCC,phase2,5,42,5,37,C,10
E0187D5E-D5CC-4B33-B10D-959A37A2C8B2,BCC,phase2,6,20,3,17,C,10
E03C5915-0AA8-4A86-96B7-E36ABA3041EE,CCC,phase2,1,81,27,54,C,10
E03C5915-0AA8-4A86-96B7-E36ABA3041EE,CCC,phase2,2,55,22,33,C,10
E03C5915-0AA8-4A86-96B7-E36ABA3041EE,CCC,phase2,3,56,17,39,C,10
E06EE336-867B-4625-B6FD-FDADDFBCB269,ABC,phase2,1,8,5,3,A,3
E077A70F-26DE-4586-B63B-DAFD827A285C,CCC,phase1,1,47,14,33,C,10
E077A70F-26DE-4586-B63B-DAFD827A285C,CCC,phase1,2,62,15,47,C,10
E077A70F-26DE-4586-B63B-DAFD827A285C,CCC,phase1,3,43,13,30,C,10
E077A70F-26DE-4586-B63B-DAFD827A285C,CCC,phase1,4,44,12,32,C,10
E077A70F-26DE-4586-B63B-DAFD827A285C,CCC,phase1,5,35,14,21,C,10
E077A70F-26DE-4586-B63B-DAFD827A285C,CCC,phase1,6,40,10,30,C,10
E0918A77-B4B7-4639-86D9-62442C3325CD,BCC,phase2,1,134,83,51,B,6
E0918A77-B4B7-4639-86D9-62442C3325CD,BCC,phase2,2,115,56,59,B,6
E0918A77-B4B7-4639-86D9-62442C3325CD,BCC,phase2,3,83,44,39,C,10
E0918A77-B4B7-4639-86D9-62442C3325CD,BCC,phase2,4,146,79,67,C,10
E0918A77-B4B7-4639-86D9-62442C3325CD,BCC,phase2,5,48,31,17,C,10
E094E232-6A52-4801-9309-85FDAD2B4361,ACC,phase1,1,86,35,51,A,3
E094E232-6A52-4801-9309-85FDAD2B4361,ACC,phase1,2,41,5,36,A,3
