participant_id,condition,dismissed_w1,dismissed_w6,attempted_w1,attempted_w6
1D8B07FC-FF56-4C2F-B3DE-01F856DDF5C9,CCC,46,9,212,45
1E2B3D16-5908-46E0-9275-FE8CB25C296A,ACC,1,NA,1,NA
1E79286C-77D3-4BE7-82F2-4E2BF915A610,ABC,1,NA,1,NA
1E798E17-8C19-4609-9E89-2CFE6E51D344,BCC,1,NA,1,NA
1E7CD7C8-E69C-4B63-8AFE-596EFC38B622,ACC,17,NA,51,NA
1ECD2129-668D-4A62-93E4-13A05A275937,ABC,48,NA,102,NA
1FAFACF3-4C0C-457C-A48F-457E90CE34FC,ABC,7,NA,79,NA
20E1D932-32D6-46ED-81B3-BD266516E65E,ACC,0,NA,1,NA
20F414B0-3EFD-4FAF-ABAF-1E5143A41AF9,ACC,1,NA,1,NA
212AC733-9416-4952-AEA4-09C8BE2BB6E2,ACC,54,NA,153,NA
216B52DC-E5B5-42BB-AC77-284E8E4255CC,CCC,0,NA,1,NA
220706C4-CD1B-4AF8-8D95-1B364CD2AF3B,ABC,45,NA,62,NA
22576278-0D0A-4070-A129-094909924470,BCC,11,NA,43,NA
226E8982-3B23-43CE-8456-24724FBB6D7C,BCC,0,NA,2,NA
23086283-9834-45A3-A2CF-DF8420B24C9D,ACC,39,NA,129,NA
23964DB1-EF99-4950-BE47-5E5BD4B96E55,ACC,6,NA,9,NA
23CBE57E-CB31-4249-A4F3-E47D2AC68779,ABC,53,NA,336,NA
2416F95F-BB53-4AF2-AD66-46E2D9EB1691,BCC,9,4,13,12
2419F0E8-7A2F-4BE9-B80D-2734EB4CE018,ACC,145,NA,1167,NA
246D3B34-56EF-485E-B30F-364025EA6B83,ACC,64,NA,147,NA
24A74408-218A-4B9F-923B-F6B51D8111C4,ACC,18,NA,93,NA
250080E4-5C71-4667-BBD3-A8C5A7E7EBF1,BCC,9,NA,78,NA
250F9D11-FCD8-4A60-98B4-FA5F9017B748,CCC,78,65,148,65
2515D411-5AFA-4179-8928-F6ED2026F4AF,CCC,6,NA,13,NA
25343B52-7BE6-4184-8760-805E48B781BA,CCC,49,NA,137,NA
2566BE9A-FFB6-414B-87D5-21C6ACEE83B9,CCC,16,NA,39,NA
25D1FDD5-D7D9-42BE-B31E-02AB3E6AB213,ABC,0,NA,2,NA
2657040F-5F03-40A1-8B42-E8579099FAC3,ABC,17,NA,37,NA
267E0800-0E18-4B0D-9333-7000E66E1D0A,BCC,55,8,188,63
26A48AF4-E1E4-47CD-9611-B195620FF951,ABC,2,NA,12,NA
26CC7F67-C53C-4DAE-8402-370A4D6F3D57,BCC,0,NA,1,NA
2739CF79-31F6-485A-B6BD-41DCEACF25E7,CCC,115,NA,297,NA
273F54B4-6C34-4D49-8C0C-680F5706FAF8,ACC,3,NA,19,NA
2899B31C-7DDC-4DD1-B4A1-86166570DC17,CCC,317,NA,455,NA
29981929-9B15-4D02-9453-E47C6D38EA61,ACC,27,NA,112,NA
29CF2FAA-75DD-4219-9ED9-B3F1C19D93BE,ABC,8,NA,26,NA
2A9585F1-17CB-4F71-BD63-F9B911076CD7,ABC,1,NA,1,NA
2AF409EF-DD00-4AEF-8DB4-A127A23C4994,ABC,18,NA,208,NA
2B859EA7-D200-446C-8048-2CD67D461B0B,BCC,49,10,149,60
2BA6950C-720D-4FAD-B150-895FFDDB6F10,ACC,241,NA,349,NA
2BCB934C-67F2-4767-832E-4A9D6C088348,ABC,18,NA,22,NA
2BF592AC-89EF-4AB8-ABDA-380EA91EFC4E,ABC,42,NA,131,NA
2C5E25C1-103F-49BD-86A4-49D660BFF711,CCC,8,NA,54,NA
2E8AD694-D066-4D03-8DB3-8DFBDD51C4C9,BCC,86,NA,225,NA
2EEFAD72-A619-4CEF-AB6C-E1FE4153DB2A,ABC,9,NA,51,NA
2FD7001C-E4C0-40A9-A56C-6AA44DAA7587,ACC,17,NA,43,NA
2FFC58C1-BEA0-4215-B5FA-4C0962F22F91,BCC,0,NA,1,NA
3028BD4E-B26D-4540-B996-C854EB3C49B6,ABC,246,NA,452,NA
320B3FFD-8C78-48BB-BAA5-B0F0085F8C68,ABC,15,NA,54,NA
322552C9-E69F-45D6-8230-3AFC8ED235D4,ACC,73,NA,84,NA
328128C2-6F77-4119-B081-B8D194BB4006,ABC,9,NA,74,NA
3285F425-E097-4B1D-A135-1791763B53F8,BCC,478,NA,663,NA
32F60A23-9481-429D-8763-0AD45DE1974F,BCC,68,NA,213,NA
33432CFC-6BED-46C0-89E7-548C2E5AFA95,ACC,78,NA,119,NA
3352E773-8AFF-4FA6-BA0F-2DD12276AC8B,ACC,1,NA,1,NA
33E58243-CE87-419B-AC9F-D1949F226729,ACC,13,NA,20,NA
341DD416-EE34-4DEB-9CED-2AF540BD7F2D,BCC,1,NA,1,NA
3442CA8B-F0B8-45E0-96A6-034EE2DF0CF6,ABC,70,NA,90,NA
3454623D-96AA-4A0A-B439-D4920FF79B03,ACC,3,NA,8,NA
34FE51C2-FC71-4FEB-BEFE-FA825311373D,BCC,103,NA,361,NA
